test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-4.8,binaryTrees_2.c 21,19.851114,1612,1688299989.844004,-,-,428,12.98,3295,1896,2.59,14134,0,108,451,351,343,1057,7,4720,36,5677,0.00,0.12,0.07,0.04,0.39,0.01,7.66,0.05,78.62,13.62,0.06,0.59,72.76,67,67,98.14,400,300,103.37,99.54,1.69,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.96,186.48,0.37,9.91,0.00,0.00
2,g++-4.8 4.8.5,binaryTrees_2.c 21,19.991413,1636,1688300009.881649,-,-,426,12.93,3294,1896,2.58,14215,0,111,306,403,358,1265,7,4758,13,5104,0.00,0.06,0.08,0.04,0.47,0.01,7.49,0.07,78.77,13.65,0.04,0.69,72.68,67,68,97.86,300,300,103.33,99.49,1.97,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,232.47,187.70,0.43,10.07,0.00,0.00
3,g++-4.8 4.8.5,binaryTrees_2.c 21,19.699794,1589,1688300029.617682,-,-,429,12.89,3325,1896,2.60,12954,0,32,395,588,426,887,4,3827,37,5084,0.00,0.02,0.06,0.05,0.35,0.00,6.67,0.07,79.80,13.52,0.06,0.51,73.02,65,65,98.43,300,300,103.19,99.52,1.40,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229.10,185.35,0.26,9.70,0.00,0.00
4,g++-4.8 4.8.5,binaryTrees_2.c 21,19.836984,1607,1688300049.498324,-,-,428,12.94,3304,1896,2.59,13865,0,117,627,408,259,967,5,4170,41,5533,0.00,0.16,0.07,0.03,0.39,0.01,6.93,0.11,79.29,13.70,0.04,0.60,72.72,66,66,98.35,300,300,103.47,99.56,1.49,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,231.10,186.98,0.27,9.92,0.00,0.00
5,g++-4.8 4.8.5,binaryTrees_2.c 21,19.821090,1662,1688300069.358501,-,-,425,12.86,3303,1896,2.60,13140,0,24,208,329,239,762,3,4050,40,5080,0.00,0.04,0.05,0.03,0.31,0.00,6.96,0.10,79.58,13.47,0.03,0.50,73.14,65,65,98.47,300,300,102.91,99.54,1.36,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,231.04,187.15,0.25,9.75,0.00,0.00
6,g++-4.8 4.8.5,binaryTrees_2.c 21,20.053565,1636,1688300089.452101,-,-,428,13.07,3276,1896,2.57,14298,0,121,957,546,285,962,9,4387,25,5299,0.00,0.26,0.08,0.04,0.36,0.01,7.53,0.10,78.49,13.96,0.05,0.51,72.41,65,66,98.47,300,300,104.23,99.54,1.42,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,233.25,188.68,0.25,9.96,0.00,0.00
7,g++-4.8 4.8.5,binaryTrees_2.c 21,19.932333,1677,1688300109.427122,-,-,427,12.98,3287,1896,2.58,16100,0,293,953,464,334,1159,16,5041,130,6476,0.00,0.14,0.09,0.04,0.43,0.00,8.74,0.43,77.10,13.63,0.05,0.66,72.68,67,67,98.40,300,300,103.25,99.53,1.44,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,232.75,188.07,0.25,9.84,0.00,0.00
8,g++-4.8 4.8.5,binaryTrees_2.c 21,19.714478,1581,1688300129.181543,-,-,426,12.84,3314,1896,2.61,12599,0,7,145,318,274,815,2,3842,25,4609,0.00,0.03,0.04,0.03,0.35,0.00,6.42,0.08,80.16,13.44,0.05,0.54,73.13,65,65,98.53,300,300,102.90,99.55,1.30,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229.14,185.55,0.23,9.66,0.00,0.00
9,g++-4.8 4.8.5,binaryTrees_2.c 21,19.710860,1704,1688300148.931642,-,-,428,12.88,3323,1896,2.60,13443,0,106,359,441,371,1042,4,4289,40,4905,0.00,0.07,0.06,0.04,0.42,0.00,7.18,0.10,79.18,13.63,0.05,0.70,72.74,65,65,98.39,300,300,103.24,99.53,1.43,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229.05,185.33,0.26,9.68,0.00,0.00
10,g++-4.8 4.8.5,binaryTrees_2.c 21,20.015116,1713,1688300168.983598,-,-,431,13.12,3288,1896,2.56,22669,0,20,228,559,422,1216,12,4919,433,7453,0.00,0.06,0.05,0.04,0.50,0.01,7.57,1.43,77.14,13.63,0.04,0.72,72.49,64,67,98.53,300,300,103.82,99.38,1.35,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,233.78,189.31,0.24,9.95,0.00,0.00
