test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-5,binaryTrees_2.c 21,19.827970,1681,1688300388.495689,-,-,426,13.03,3270,1896,2.62,17938,0,51,359,439,380,1563,9,5609,353,7591,0.00,0.06,0.09,0.05,0.60,0.01,8.39,1.25,76.45,13.79,0.06,0.80,72.33,66,66,97.77,300,300,103.81,99.38,2.08,2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229.96,185.65,0.42,10.00,0.00,0.00
2,g++-5 5.5.0,binaryTrees_2.c 21,19.780324,1661,1688300408.322658,-,-,428,13.05,3282,1896,2.62,15138,0,156,774,399,329,1206,5,5036,48,5639,0.00,0.15,0.07,0.04,0.44,0.00,8.11,0.16,77.90,13.66,0.06,0.67,72.56,67,67,97.81,300,300,103.54,99.48,2.01,1.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,231.24,186.93,0.40,9.99,0.00,0.00
3,g++-5 5.5.0,binaryTrees_2.c 21,19.558227,1625,1688300427.921728,-,-,425,12.84,3312,1896,2.65,15827,0,26,124,268,282,996,5,4191,274,6973,0.00,0.03,0.04,0.03,0.39,0.00,6.72,0.94,78.93,13.54,0.04,0.56,73.01,65,66,98.46,300,300,102.81,99.41,1.40,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,226.09,182.71,0.25,9.65,0.00,0.00
4,g++-5 5.5.0,binaryTrees_2.c 21,19.865391,1653,1688300447.827054,-,-,426,12.98,3283,1896,2.62,13786,0,114,505,375,264,787,11,3919,69,5602,0.00,0.14,0.08,0.04,0.31,0.01,6.35,0.20,79.84,13.69,0.04,0.43,72.86,64,64,98.41,300,300,103.66,99.55,1.42,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,231.52,187.57,0.25,9.88,0.00,0.00
5,g++-5 5.5.0,binaryTrees_2.c 21,19.819917,1610,1688300467.688323,-,-,422,12.85,3284,1896,2.64,17043,0,131,272,307,292,906,0,4109,383,7418,0.00,0.06,0.04,0.03,0.37,0.00,6.75,1.50,78.31,13.62,0.04,0.61,72.88,65,66,98.54,300,300,102.93,99.38,1.34,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.63,186.97,0.24,9.70,0.00,0.00
6,g++-5 5.5.0,binaryTrees_2.c 21,19.831238,1620,1688300487.562736,-,-,423,12.87,3283,1896,2.63,16840,0,30,177,361,301,1122,7,4743,324,6851,0.00,0.07,0.07,0.03,0.46,0.00,7.18,1.08,78.15,13.61,0.04,0.62,72.85,66,66,98.51,300,300,102.63,99.40,1.38,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.00,186.34,0.25,9.74,0.00,0.00
7,g++-5 5.5.0,binaryTrees_2.c 21,19.796766,1674,1688300507.402424,-,-,421,12.84,3283,1896,2.64,17189,0,83,287,374,277,1022,4,4345,383,7139,0.00,0.07,0.04,0.03,0.43,0.00,6.93,1.49,78.09,13.65,0.04,0.69,72.78,66,66,98.54,300,300,102.94,99.38,1.34,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.63,186.91,0.24,9.77,0.00,0.00
8,g++-5 5.5.0,binaryTrees_2.c 21,19.792660,1644,1688300527.242896,-,-,423,12.85,3291,1896,2.63,15344,0,13,184,277,299,902,2,4277,265,6339,0.00,0.03,0.05,0.04,0.36,0.00,7.14,0.68,78.78,13.38,0.04,0.49,73.23,68,68,98.46,300,300,102.45,99.48,1.39,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.87,186.67,0.25,9.71,0.00,0.00
9,g++-5 5.5.0,binaryTrees_2.c 21,19.831754,1651,1688300547.110549,-,-,424,12.95,3274,1896,2.63,15760,0,80,504,573,503,1232,10,4714,185,6189,0.00,0.10,0.08,0.07,0.46,0.01,7.51,0.51,78.24,13.54,0.07,0.67,72.77,68,68,98.40,300,300,103.00,99.48,1.43,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.84,186.36,0.26,9.81,0.00,0.00
10,g++-5 5.5.0,binaryTrees_2.c 21,19.944250,1656,1688300567.094651,-,-,437,13.36,3270,1896,2.57,21044,0,197,727,568,376,1160,15,4475,118,5962,0.00,0.15,0.08,0.04,0.44,0.00,7.01,0.39,78.46,13.62,0.06,0.65,72.30,69,69,98.47,300,300,105.00,99.51,1.38,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,235.11,190.29,0.25,10.02,0.00,0.00
