test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-11 11.4.0,nbody_2.c 5000000,8.833813,1155,1689864521.903160,-,-,522,12.75,4095,1896,2.18,5456,0,8,343,103,86,271,1,1247,16,2393,0.00,0.22,0.04,0.03,0.22,0.00,4.75,0.18,81.72,13.24,0.03,0.31,73.66,85,85,99.09,450,300,101.42,99.55,0.78,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,149.40,127.40,0.05,5.32,0.00,0.00
2,g++-11 11.4.0,nbody_2.c 5000000,8.800054,1086,1689864530.743367,-,-,522,12.76,4094,1896,2.19,5504,0,22,288,140,91,273,2,1499,31,2255,0.00,0.14,0.09,0.04,0.25,0.01,5.76,0.18,80.69,13.48,0.05,0.35,73.36,87,87,99.07,450,300,101.99,99.50,0.77,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.46,130.24,0.06,5.30,0.00,0.00
3,g++-11 11.4.0,nbody_2.c 5000000,8.849752,1134,1689864539.635244,-,-,519,12.67,4096,1896,2.19,5251,0,9,176,122,62,277,1,1266,22,2134,0.00,0.13,0.04,0.03,0.24,0.00,4.80,0.13,81.88,13.22,0.02,0.33,73.76,92,95,98.92,450,300,101.25,99.55,0.74,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155.00,132.66,0.05,5.32,0.00,0.00
4,g++-11 11.4.0,nbody_2.c 5000000,8.886008,1214,1689864548.564265,-,-,525,12.82,4096,1896,2.17,5535,0,2,254,117,63,254,7,1504,15,2422,0.00,0.12,0.09,0.04,0.27,0.02,5.37,0.15,81.05,13.41,0.02,0.36,73.38,93,95,98.80,450,300,102.19,99.52,0.85,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,159.69,136.75,0.06,5.35,0.00,0.00
5,g++-11 11.4.0,nbody_2.c 5000000,8.851739,1101,1689864557.455669,-,-,518,12.65,4096,1896,2.19,5613,0,136,199,84,64,205,3,1275,29,2194,0.00,0.13,0.08,0.03,0.19,0.00,4.91,0.15,81.78,13.39,0.03,0.33,73.60,95,95,98.85,450,300,101.31,99.52,0.77,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,158.06,135.30,0.06,5.32,0.00,0.00
6,g++-11 11.4.0,nbody_2.c 5000000,9.071140,1138,1689864566.568692,-,-,518,12.84,4035,1896,2.15,22644,0,16,235,124,131,831,0,4026,1975,11368,0.00,0.09,0.06,0.03,0.90,0.00,10.35,11.52,64.02,14.23,0.03,1.13,71.77,96,96,99.18,450,300,101.94,98.47,0.57,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,158.73,135.69,0.05,5.47,0.00,0.00
7,g++-11 11.4.0,nbody_2.c 5000000,8.808775,1124,1689864575.422432,-,-,521,12.71,4097,1896,2.19,5484,0,10,57,68,50,241,5,1308,34,2478,0.00,0.03,0.03,0.01,0.24,0.00,5.12,0.21,81.56,13.18,0.02,0.35,73.74,97,97,98.96,450,300,101.58,99.51,0.68,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.73,135.28,0.05,5.29,0.00,0.00
8,g++-11 11.4.0,nbody_2.c 5000000,8.836276,1091,1689864584.302528,-,-,522,12.77,4090,1896,2.18,10253,0,120,558,188,70,570,9,2096,324,4910,0.00,0.25,0.06,0.04,0.56,0.02,6.32,2.07,77.83,13.54,0.02,0.65,73.02,95,98,98.83,450,300,101.40,99.36,0.75,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,159.55,136.69,0.05,5.32,0.00,0.00
9,g++-11 11.4.0,nbody_2.c 5000000,9.108822,1067,1689864593.452325,-,-,513,12.83,3997,1896,2.16,17823,0,89,487,257,124,1130,7,3816,1174,8653,0.00,0.20,0.09,0.05,1.12,0.00,9.89,8.29,67.36,14.27,0.05,1.55,71.30,93,97,98.96,450,300,102.09,98.66,0.85,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156.16,132.75,0.07,5.52,0.00,0.00
10,g++-11 11.4.0,nbody_2.c 5000000,8.963470,1108,1689864602.458684,-,-,547,13.43,4071,1896,2.10,32842,0,50,481,277,198,1960,13,5560,1944,17087,0.00,0.14,0.07,0.06,1.90,0.02,13.48,7.10,63.59,14.79,0.08,2.55,69.15,98,98,98.82,450,300,104.58,98.39,0.81,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,164.86,141.74,0.06,5.50,0.00,0.00
