test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-4.7 4.7.4,nbody_2.c 5000000,7.602877,1067,1689861544.922151,-,-,517,12.62,4096,1896,2.33,4618,0,37,156,84,51,163,0,980,17,1699,0.00,0.23,0.06,0.03,0.22,0.00,4.73,0.09,81.97,13.33,0.04,0.24,73.77,86,86,99.00,450,300,100.95,99.59,0.83,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,128.39,109.31,0.05,4.59,0.00,0.00
2,g++-4.7 4.7.4,nbody_2.c 5000000,7.504859,1083,1689861552.547867,-,-,520,12.70,4096,1896,2.34,4381,0,20,113,85,48,155,0,1088,7,1723,0.00,0.08,0.05,0.02,0.22,0.00,5.14,0.07,81.65,13.22,0.03,0.27,73.79,87,87,99.06,450,300,101.48,99.58,0.73,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130.91,112.09,0.04,4.52,0.00,0.00
3,g++-4.7 4.7.4,nbody_2.c 5000000,7.521627,1146,1689861560.112788,-,-,519,12.67,4097,1896,2.34,4360,0,18,122,85,51,162,0,992,9,1779,0.00,0.18,0.07,0.02,0.20,0.00,4.85,0.15,81.78,13.10,0.03,0.30,73.90,92,94,98.91,450,300,100.76,99.60,0.70,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,133.19,114.07,0.04,4.53,0.00,0.00
4,g++-4.7 4.7.4,nbody_2.c 5000000,7.541262,1343,1689861567.699067,-,-,519,12.67,4095,1896,2.34,11558,0,3,135,131,66,349,4,1777,664,6190,0.00,0.13,0.10,0.02,0.34,0.01,7.15,3.79,75.68,13.89,0.03,0.47,72.93,94,94,98.80,450,300,101.49,99.20,0.74,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.12,115.90,0.05,4.55,0.00,0.00
5,g++-4.7 4.7.4,nbody_2.c 5000000,7.651537,1121,1689861575.400001,-,-,513,12.62,4064,1896,2.33,16578,0,162,375,144,108,667,0,2578,1493,8226,0.00,0.27,0.05,0.04,0.74,0.00,8.81,11.93,65.37,14.33,0.05,1.02,71.99,95,95,98.88,450,300,101.10,98.64,0.78,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.56,115.87,0.05,4.61,0.00,0.00
6,g++-4.7 4.7.4,nbody_2.c 5000000,7.744113,1201,1689861583.191956,-,-,509,12.64,4029,1896,2.32,18885,0,1,188,132,112,810,6,3024,1709,9873,0.00,0.19,0.04,0.04,0.86,0.00,9.38,11.33,65.32,14.34,0.05,1.19,71.77,94,98,98.95,450,300,101.03,98.44,0.77,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.56,114.83,0.05,4.66,0.00,0.00
7,g++-4.7 4.7.4,nbody_2.c 5000000,7.587939,1163,1689861590.818933,-,-,522,12.77,4089,1896,2.32,11967,0,107,410,199,156,559,9,2167,641,5945,0.00,0.26,0.08,0.07,0.63,0.02,7.49,4.37,74.20,13.85,0.07,0.77,72.53,95,98,99.01,450,300,101.48,99.18,0.56,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,136.80,117.29,0.04,4.59,0.00,0.00
8,g++-4.7 4.7.4,nbody_2.c 5000000,7.521704,1121,1689861598.387555,-,-,519,12.68,4096,1896,2.34,7379,0,3,162,170,144,345,0,1380,186,3679,0.00,0.04,0.05,0.05,0.38,0.00,6.00,1.92,78.79,13.29,0.04,0.53,73.45,96,96,98.83,450,300,101.26,99.42,0.75,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.96,115.77,0.05,4.54,0.00,0.00
9,g++-4.7 4.7.4,nbody_2.c 5000000,7.619111,1203,1689861606.050402,-,-,515,12.63,4076,1896,2.33,9393,0,99,170,168,85,322,1,1696,266,4733,0.00,0.10,0.03,0.02,0.35,0.00,6.65,3.05,77.06,13.51,0.02,0.50,73.34,96,96,98.75,450,300,100.98,99.20,0.83,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.91,116.16,0.05,4.60,0.00,0.00
10,g++-4.7 4.7.4,nbody_2.c 5000000,7.660936,1161,1689861613.749800,-,-,514,12.69,4054,1896,2.33,11261,0,3,201,407,218,555,0,2004,496,5871,0.00,0.06,0.13,0.08,0.53,0.00,7.66,6.47,72.25,13.72,0.11,0.67,72.82,98,98,98.81,450,300,101.29,99.03,0.82,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.32,115.61,0.06,4.63,0.00,0.00
