test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,g++-4.9,nbody_2_test.c 50000000,0.007671,5034,1688134791.567184,-,-,222,27.54,800,1909,0.76,37,0,0,10,14,13,48,0,7,0,0,0.00,12.19,5.54,5.58,39.41,0.00,10.75,0.00,0.00,50.58,6.06,15.46,0.37,55,55,78.22,300,300,192.54,98.87,24.05,24.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.00,0.01,0.00,0.00
2,g++-4.9 4.9.3,nbody_2_test.c 50000000,0.002881,1909,1688134791.681784,-,-,505,25.14,2000,1904,0.85,20,0,0,24,24,17,12,0,3,0,0,0.00,16.63,13.54,22.91,18.74,0.00,3.78,0.00,0.00,55.86,16.73,2.26,0.00,56,56,34.71,300,300,187.24,100.42,64.32,64.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00
3,g++-4.9 4.9.3,nbody_2_test.c 50000000,0.002987,1929,1688134791.742163,-,-,501,24.65,2000,1927,0.82,31,0,0,10,27,23,13,0,2,0,0,0.00,11.92,9.27,28.62,22.73,0.00,4.39,0.00,0.00,47.03,23.63,4.69,0.00,56,56,33.48,300,300,173.43,99.08,62.13,61.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00
4,g++-4.9 4.9.3,nbody_2_test.c 50000000,0.002535,1599,1688134791.801222,-,-,790,31.73,2400,1966,0.96,62,0,0,17,6,7,14,0,0,0,0,0.00,27.53,13.81,7.57,22.01,0.00,0.00,0.00,0.00,62.50,0.08,5.69,0.00,58,57,39.45,300,300,211.81,101.01,55.04,55.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00
5,g++-4.9 4.9.3,nbody_2_test.c 50000000,0.005672,4996,1688134791.845911,-,-,584,22.56,3200,1533,1.02,25,0,0,8,16,13,9,0,3,0,0,0.00,5.24,6.91,4.85,34.13,0.00,11.55,0.00,0.00,34.76,0.81,39.33,2.54,62,58,0.00,300,300,82.82,41.55,36.86,36.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00
6,g++-4.9 4.9.3,nbody_2_test.c 50000000,0.001966,1242,1688134791.894762,-,-,1134,35.03,3200,1919,0.81,42,0,1,46,28,14,17,0,3,0,0,0.05,30.06,20.30,4.32,10.73,0.00,0.81,0.00,0.00,64.79,0.07,0.00,0.12,63,63,0.00,300,300,229.10,100.58,78.77,78.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.00,0.00,0.00
7,g++-4.9 4.9.3,nbody_2_test.c 50000000,0.006598,5661,1688134791.942464,-,-,1124,47.55,3200,1400,0.71,43,0,2,62,200,38,5,0,0,0,0,0.11,7.03,26.04,5.49,0.65,0.00,0.00,0.00,0.00,50.33,2.12,0.00,0.00,64,64,0.00,300,300,158.20,48.50,48.50,48.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.00,0.01,0.00,0.00
8,g++-4.9 4.9.3,nbody_2_test.c 50000000,0.002091,1300,1688134791.987909,-,-,1176,34.33,3100,2095,0.66,49,0,1,68,89,10,2,0,0,0,0,0.10,34.58,34.58,3.54,0.62,0.00,0.00,0.00,0.00,65.67,0.00,0.00,0.00,64,64,0.00,300,300,284.00,105.19,105.19,105.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.00,0.01,0.00,0.00
9,g++-4.9 4.9.3,nbody_2_test.c 50000000,0.001998,1326,1688134792.032079,-,-,946,30.58,3100,1892,0.95,45,0,1,30,13,15,15,0,3,0,0,0.10,34.13,17.97,7.81,9.46,0.00,0.25,0.00,0.00,68.55,0.66,0.22,0.00,62,62,0.00,300,300,204.27,97.33,97.33,97.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00
10,g++-4.9 4.9.3,nbody_2_test.c 50000000,0.001954,1218,1688134792.076948,-,-,799,25.69,3000,1964,0.81,16,0,2,21,34,14,15,0,0,0,0,0.26,23.64,25.38,5.32,23.08,0.00,0.00,0.00,0.00,67.78,1.70,4.83,0.00,61,61,51.18,300,300,183.13,100.82,62.80,62.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00
