test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,13.0.2,binarytrees.java 21,0.99,0.87,0.30,0.06,0.02,0.60,4.08,1.17,0.08,13.99,2.00,1893869534 ns,35266784274,3.347 GHz,39967160128,1.11,10537.20 msec,5.564,35509546147,3.370 GHz,156,17693690204,225836217,10537.94 msec,5.564,1006 C,6118710258,12157666,0.20%,0,9068909944,569386,569277,8,732705019,552664935,75.428,11518922010,436833228,3.79%,28110646,14421513,51.30%,23058841,11101898736,9564063,0.09%,521126,399317,76.63%,0,3
2,13.0.2,binarytrees.java 21,0.99,0.89,0.29,0.08,0.01,0.60,3.93,1.11,0.08,14.83,2.00,1927831077 ns,37961969449,3.538 GHz,43369530080,1.15,10728.60 msec,5.565,38209950622,3.561 GHz,158,18960710962,231290729,10729.33 msec,5.565,841 C,6080134603,10532351,0.17%,0,8715770147,562942,562808,8,732654867,560291444,76.474,10901633101,433090105,3.97%,28123731,13203919,46.95%,22515141,11227056903,10360795,0.09%,622874,904160,145.16%,0,0
3,13.0.2,binarytrees.java 21,0.99,0.89,0.29,0.07,0.01,0.62,4.07,1.15,0.08,14.42,2.00,1904063241 ns,36617711172,3.461 GHz,43445252166,1.21,10578.35 msec,5.556,37066605998,3.504 GHz,188,18399568332,234420530,10579.12 msec,5.556,749 C,6549630531,11197581,0.17%,0,9843885548,601447,601322,8,832106789,598453355,71.920,11578438878,457242035,3.95%,30798257,14537540,47.20%,21199217,11279006179,9708814,0.09%,603221,779734,129.26%,0,0
4,13.0.2,binarytrees.java 21,0.99,0.88,0.30,0.05,0.01,0.64,4.06,1.12,0.05,13.65,2.00,1880572370 ns,35483847792,3.406 GHz,40865463762,1.14,10418.81 msec,5.540,35954255278,3.451 GHz,152,17917441701,225540773,10419.58 msec,5.541,620 C,6174246323,10373833,0.17%,0,9352562646,546054,545915,8,797503151,572510148,71.788,11492012688,458482561,3.99%,30966374,15886900,51.30%,32381833,11726085597,11645780,0.10%,233084,698734,299.78%,0,0
5,13.0.2,binarytrees.java 21,0.99,0.87,0.30,0.07,0.02,0.61,3.99,1.14,0.07,14.07,1.99,1897239329 ns,35523796646,3.393 GHz,40446702976,1.12,10468.76 msec,5.518,35990815324,3.438 GHz,172,18022756325,227211688,10469.59 msec,5.518,524 C,6081650040,9704006,0.16%,0,9057666239,564756,564600,8,752171308,576249011,76.611,11346623208,445468950,3.93%,27976342,13759548,49.18%,24435257,11123207203,10056958,0.09%,823487,1104993,134.18%,0,0
6,13.0.2,binarytrees.java 21,0.99,0.85,0.30,0.07,0.02,0.60,3.90,1.19,0.11,13.98,1.88,1958724183 ns,34986157390,3.207 GHz,41491696412,1.20,10908.83 msec,5.569,34678593053,3.179 GHz,196,18481794948,233001389,10909.61 msec,5.570,552 C,6277508156,11185956,0.18%,0,9281961261,666809,666690,8,773383240,593127625,76.693,11413271038,467186637,4.09%,29359482,14573552,49.64%,29895627,11683176114,11667967,0.10%,271969,331318,121.82%,0,0
7,13.0.2,binarytrees.java 21,0.99,0.87,0.30,0.07,0.02,0.59,3.82,1.17,0.11,13.74,1.87,1990558395 ns,34696403206,3.136 GHz,41510750925,1.18,11063.06 msec,5.558,35216259397,3.183 GHz,173,18851940453,238230783,11063.75 msec,5.558,442 C,6196452719,11661151,0.19%,0,8808184862,607854,607732,8,750469814,571629547,76.170,11039357490,444873768,4.03%,26191607,12886120,49.20%,23573351,11280633402,10934998,0.10%,328090,312472,95.24%,0,0
8,13.0.2,binarytrees.java 21,0.99,0.83,0.31,0.07,0.01,0.59,3.95,1.20,0.13,14.60,1.86,1947718481 ns,33888053338,3.161 GHz,41240152903,1.21,10721.87 msec,5.505,34046860609,3.175 GHz,194,18426167578,234467941,10722.63 msec,5.505,487 C,6174719211,8983489,0.15%,0,9263924500,555908,555783,12,769298304,596063288,77.481,11581734152,456248285,3.94%,28227726,15357859,54.41%,27478871,11461555133,9776251,0.09%,855566,466289,54.50%,0,1
9,13.0.2,binarytrees.java 21,0.99,0.84,0.31,0.08,0.02,0.55,3.82,1.21,0.12,14.85,1.78,1986190915 ns,35591224713,3.196 GHz,45194941501,1.31,11136.62 msec,5.607,35883004935,3.222 GHz,277,20104633485,247870710,11137.39 msec,5.607,427 C,6546493860,11781709,0.18%,0,9350688397,577602,577450,8,764765914,575891475,75.303,11123106007,427329497,3.84%,24753946,12669399,51.18%,21734156,10602119263,9315195,0.09%,256355,510318,199.07%,0,0
10,13.0.2,binarytrees.java 21,0.99,0.82,0.32,0.08,0.02,0.56,3.90,1.24,0.13,15.10,1.78,1978089612 ns,34995004897,3.164 GHz,43214625200,1.26,11058.96 msec,5.591,34731352753,3.140 GHz,187,19524190417,243657547,11059.72 msec,5.591,460 C,6402002883,11335295,0.18%,0,9079276363,602638,602516,8,728164586,547651343,75.210,11282309162,436452821,3.87%,25790046,14364383,55.70%,20399259,11101723330,9538977,0.09%,443981,404631,91.14%,0,4
