test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,9.0.4,binarytrees.java 21,2.902170,2208,1701437950.730309,-,-,2416,72.46,3336,1895,1.05,7043,0,32,335,424,116,508,3,1100,1,873,0.00,0.29,0.35,0.13,0.94,0.00,9.01,0.00,16.49,14.73,0.59,0.99,11.23,58,58,97.69,300,300,342.22,99.23,2.11,2.10,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.11,71.01,0.05,6.05,0.00,0.00
2,9.0.4,binarytrees.java 21,2.977050,2688,1701437953.743204,-,-,2440,72.68,3358,1895,1.03,7504,0,10,309,361,189,743,0,1280,7,695,0.00,0.26,0.29,0.16,1.57,0.00,10.28,0.10,14.33,12.58,0.26,1.52,12.96,63,63,97.58,300,300,335.19,99.08,2.38,2.37,0.04,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.21,74.06,0.07,6.10,0.00,0.00
3,9.0.4,binarytrees.java 21,3.006787,2181,1701437956.781018,-,-,2341,70.90,3303,1895,1.05,7228,0,34,355,323,119,626,1,1411,7,842,0.00,0.24,0.23,0.12,1.41,0.00,10.02,0.03,16.66,13.42,0.57,1.41,13.70,65,66,97.45,300,300,331.29,99.13,2.50,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.85,70.59,0.07,6.09,0.00,0.00
4,9.0.4,binarytrees.java 21,2.925520,2839,1701437959.738780,-,-,2382,71.70,3323,1895,1.05,6911,0,24,375,282,173,640,0,1057,10,831,0.00,0.21,0.18,0.13,1.44,0.00,7.70,0.25,18.02,12.09,0.34,1.54,14.33,65,68,97.69,300,300,330.03,99.19,2.24,2.22,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.23,70.22,0.06,6.05,0.00,0.00
5,9.0.4,binarytrees.java 21,2.927180,2418,1701437962.697298,-,-,2298,71.18,3230,1895,1.05,7371,0,42,243,284,158,723,0,1304,2,759,0.00,0.20,0.27,0.12,1.62,0.00,9.46,0.09,16.74,14.20,0.51,1.41,12.70,71,71,97.50,300,300,336.44,99.31,2.39,2.36,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.55,66.38,0.07,6.02,0.00,0.00
6,9.0.4,binarytrees.java 21,3.389751,2162,1701437966.119146,-,-,1484,72.16,2057,1895,1.44,8242,0,24,314,318,194,697,3,1268,17,858,0.00,0.18,0.17,0.18,1.42,0.02,8.54,0.22,16.94,9.73,0.40,1.54,16.17,67,67,97.68,300,300,324.05,99.66,2.19,2.18,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.24,31.02,0.06,6.30,0.00,0.00
7,9.0.4,binarytrees.java 21,3.464178,2736,1701437969.614657,-,-,1475,73.39,2011,1895,1.41,8029,0,25,354,301,147,645,0,1060,21,946,0.00,0.22,0.17,0.11,1.32,0.00,5.65,0.37,18.61,9.32,0.14,1.15,16.01,66,69,97.74,300,300,326.77,99.61,2.10,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.44,31.24,0.06,6.33,0.00,0.00
8,9.0.4,binarytrees.java 21,3.444795,2591,1701437973.090645,-,-,1476,72.52,2036,1895,1.43,8181,0,18,340,249,147,725,0,1311,6,857,0.00,0.30,0.15,0.11,1.38,0.00,7.74,0.05,17.59,8.55,0.22,1.30,17.42,66,68,97.65,300,300,319.63,99.66,2.23,2.22,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.58,31.22,0.06,6.34,0.00,0.00
9,9.0.4,binarytrees.java 21,3.437446,2224,1701437976.560919,-,-,1488,72.90,2042,1895,1.43,8093,0,20,354,343,142,646,0,1122,3,767,0.00,0.25,0.21,0.12,1.08,0.00,7.09,0.06,18.12,9.75,0.31,1.13,15.91,67,67,97.92,300,300,326.26,99.70,2.02,2.02,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.68,31.56,0.06,6.32,0.00,0.00
10,9.0.4,binarytrees.java 21,3.434956,2309,1701437980.026501,-,-,1477,72.09,2050,1895,1.42,8183,0,11,350,258,172,646,0,1359,20,902,0.00,0.29,0.14,0.11,1.26,0.00,8.53,0.32,17.09,8.38,0.24,1.41,17.89,68,68,97.70,300,300,317.17,99.64,2.14,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.59,31.38,0.06,6.30,0.00,0.00
