test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,20.0.2,nbody.java 50000000,4.095845,2932,1701450877.142402,-,-,513,12.66,4050,1895,2.04,2013,0,12,27,47,25,175,1,340,1,569,0.00,0.03,0.02,0.02,0.32,0.00,2.60,0.02,84.18,13.04,0.04,0.46,73.80,42,43,99.30,300,200,100.95,99.31,0.59,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.88,45.64,0.02,1.21,0.00,0.00
2,20.0.2,nbody.java 50000000,4.097156,2606,1701450881.283615,-,-,514,12.71,4047,1895,2.03,2055,0,10,79,51,31,167,1,346,2,668,0.00,0.12,0.02,0.02,0.30,0.00,2.65,0.03,84.00,13.23,0.05,0.46,73.55,45,48,99.22,300,300,101.21,99.25,0.55,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.48,46.25,0.02,1.22,0.00,0.00
3,20.0.2,nbody.java 50000000,4.080675,2875,1701450885.400703,-,-,514,12.65,4066,1896,2.04,2053,0,1,75,58,42,140,0,343,1,598,0.00,0.06,0.01,0.04,0.34,0.00,2.84,0.02,83.89,13.14,0.06,0.52,73.63,49,51,99.25,300,300,101.06,99.15,0.49,0.46,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.30,47.16,0.02,1.20,0.00,0.00
4,20.0.2,nbody.java 50000000,4.082460,3322,1701450889.520873,-,-,513,12.68,4051,1895,2.04,2069,0,0,65,56,37,124,0,416,1,600,0.00,0.06,0.05,0.05,0.35,0.00,3.24,0.01,83.42,13.26,0.07,0.61,73.39,49,52,99.25,300,200,101.26,99.24,0.51,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.21,47.09,0.02,1.20,0.00,0.00
5,20.0.2,nbody.java 50000000,4.076930,1239,1701450893.636246,-,-,515,12.67,4063,1896,2.04,2019,0,3,55,66,28,189,0,334,0,549,0.00,0.05,0.10,0.03,0.33,0.00,2.71,0.00,83.99,13.25,0.04,0.49,73.55,49,49,99.27,300,200,101.27,99.37,0.51,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.76,47.54,0.02,1.20,0.00,0.00
6,20.0.2,nbody.java 50000000,4.113043,2098,1701450897.786426,-,-,527,13.14,4009,1895,1.98,2400,16,21,125,141,34,183,3,485,8,712,0.00,0.17,0.06,0.03,0.32,0.01,3.92,0.15,82.28,13.53,0.05,0.43,72.85,54,57,99.34,300,200,103.27,99.15,0.67,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.20,48.00,0.02,1.22,0.00,0.00
7,20.0.2,nbody.java 50000000,4.095550,2362,1701450901.918694,-,-,515,12.72,4046,1895,2.03,2302,0,12,71,69,43,184,1,624,2,684,0.00,0.13,0.06,0.02,0.36,0.00,5.34,0.03,81.16,13.40,0.03,0.51,73.34,52,54,99.42,300,200,101.75,99.10,0.63,0.60,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.02,47.70,0.02,1.21,0.00,0.00
8,20.0.2,nbody.java 50000000,4.090230,2660,1701450906.047447,-,-,515,12.71,4057,1895,2.03,2083,0,1,63,50,41,143,0,411,1,604,0.00,0.05,0.06,0.04,0.22,0.00,3.28,0.02,83.47,13.21,0.06,0.34,73.68,55,55,99.58,300,200,101.37,99.27,0.40,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.11,47.86,0.01,1.20,0.00,0.00
9,20.0.2,nbody.java 50000000,4.084944,2123,1701450910.170863,-,-,515,12.70,4056,1895,2.04,2044,0,2,99,57,35,128,0,326,4,705,0.00,0.08,0.01,0.03,0.25,0.00,2.85,0.02,83.91,13.26,0.05,0.43,73.57,53,53,99.51,300,200,101.64,99.24,0.42,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.89,47.74,0.01,1.20,0.00,0.00
10,20.0.2,nbody.java 50000000,4.093570,2485,1701450914.302098,-,-,514,12.69,4057,1895,2.03,2430,0,63,151,49,37,155,0,370,8,876,0.00,0.22,0.01,0.03,0.28,0.00,3.18,0.04,83.38,13.32,0.05,0.37,73.58,59,59,99.52,300,200,100.95,99.23,0.48,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.51,48.26,0.02,1.21,0.00,0.00
