test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,16.0.2,nbody.java 50000000,1.00,0.43,0.59,0.03,0.01,0.37,5.40,2.33,0.00,0.00,2.16,4060284983 ns,16339950956,4.042 GHz,38042201247,2.34,4042.32 msec,0.996,16379900321,4.052 GHz,15,7600126235,96209638,4042.44 msec,0.996,834 C,2512140475,82404,0.00%,0,4075547009,3409,3399,9,294159,56781,19.303,9349790001,147030,0.00%,15438,1402,9.08%,384504,9403751558,23,0.00%,4030,4018,99.70%,4,1
2,16.0.2,nbody.java 50000000,1.00,0.44,0.58,0.05,0.01,0.37,5.39,2.30,0.01,0.00,2.16,4123903609 ns,16381097878,3.977 GHz,38016117604,2.30,4118.98 msec,0.999,16420239334,3.986 GHz,22,7621018985,96577741,4119.09 msec,0.999,695 C,2486355641,23635,0.00%,0,4044134847,3392,3383,8,298180,29291,9.823,9477701994,159875,0.00%,18658,1126,6.03%,450613,9564225618,549,0.00%,5034,4689,93.15%,0,0
3,16.0.2,nbody.java 50000000,1.00,0.43,0.59,0.03,0.01,0.37,5.42,2.34,0.00,0.00,2.16,4050212607 ns,16380957060,4.053 GHz,38078335205,2.34,4041.19 msec,0.998,16398672052,4.058 GHz,16,7598216961,96176330,4041.28 msec,0.998,693 C,2510556674,82959,0.00%,0,4073851263,3393,3384,8,341492,33987,9.953,9341787569,145142,0.00%,17815,1473,8.27%,405973,9416445537,54,0.00%,4538,3852,84.88%,0,0
4,16.0.2,nbody.java 50000000,1.00,0.44,0.58,0.04,0.01,0.36,5.42,2.32,0.01,0.00,2.16,4073611747 ns,16358815294,4.025 GHz,37871982749,2.33,4064.21 msec,0.998,16393237846,4.033 GHz,15,7604404224,96333517,4064.34 msec,0.998,685 C,2502677312,29537,0.00%,0,4038599213,3414,3403,10,1673679,488939,29.213,9581193992,474379,0.00%,16854,1826,10.83%,404833,9424672594,0,0.00%,3543,4466,126.05%,0,0
5,16.0.2,nbody.java 50000000,1.00,0.43,0.58,0.04,0.01,0.38,5.40,2.33,0.00,0.00,2.16,4042341991 ns,16352636177,4.051 GHz,38123306992,2.34,4036.80 msec,0.999,16360587202,4.053 GHz,19,7592721312,96137773,4036.94 msec,0.999,616 C,2515286068,93313,0.00%,0,3984839212,3398,3389,8,719822,40930,5.686,9385663526,194647,0.00%,35417,2370,6.69%,584939,9423488179,193,0.00%,5705,8032,140.79%,0,0
6,16.0.2,nbody.java 50000000,1.00,0.43,0.59,0.03,0.01,0.37,5.42,2.34,0.00,0.00,2.16,4049130235 ns,16378998460,4.057 GHz,38233294600,2.35,4036.67 msec,0.997,16383347882,4.059 GHz,15,7592900453,96083171,4036.80 msec,0.997,601 C,2510998860,84484,0.00%,0,4062740780,3413,3404,8,394179,30039,7.621,9345563514,141571,0.00%,22893,1843,8.05%,430750,9444920517,479,0.00%,3399,3519,103.53%,0,0
7,16.0.2,nbody.java 50000000,1.00,0.43,0.59,0.04,0.01,0.38,5.37,2.32,0.00,0.00,2.16,4108850563 ns,16405476721,3.998 GHz,38120419035,2.32,4103.54 msec,0.999,16427777828,4.003 GHz,18,7620849858,96589473,4103.66 msec,0.999,617 C,2489167991,21973,0.00%,0,4050369971,3418,3409,8,264030,36066,13.660,9511684832,156853,0.00%,23028,1366,5.93%,433391,9550419115,12117,0.00%,15235,15471,101.55%,0,0
8,16.0.2,nbody.java 50000000,1.00,0.43,0.59,0.03,0.01,0.38,5.42,2.33,0.00,0.00,2.16,4052607085 ns,16349254882,4.047 GHz,38090895303,2.34,4040.25 msec,0.997,16378404874,4.054 GHz,22,7593392291,96128280,4040.36 msec,0.997,576 C,2513308608,95275,0.00%,0,4075230979,3414,3403,10,538046,100095,18.603,9354988353,179296,0.00%,23554,1618,6.87%,474444,9408025413,38,0.00%,3790,4298,113.40%,0,0
9,16.0.2,nbody.java 50000000,1.00,0.43,0.58,0.04,0.01,0.38,5.37,2.32,0.00,0.00,2.16,4110307289 ns,16392368512,3.993 GHz,38083803773,2.32,4104.78 msec,0.999,16405426975,3.997 GHz,16,7607652247,96404116,4104.92 msec,0.999,596 C,2485077789,28982,0.00%,0,4042560716,3414,3405,8,258332,30227,11.701,9518906141,141513,0.00%,13646,2285,16.74%,410224,9561927912,9085,0.00%,18747,13602,72.56%,0,0
10,16.0.2,nbody.java 50000000,1.00,0.43,0.59,0.03,0.01,0.37,5.43,2.34,0.00,0.00,2.16,4038198257 ns,16341984476,4.056 GHz,38039959028,2.34,4029.49 msec,0.998,16350124903,4.058 GHz,14,7583944079,93553805,4029.61 msec,0.998,569 C,2451878740,23586,0.00%,0,4001208395,3418,3409,8,252252,30283,12.005,9427756397,144414,0.00%,20529,2653,12.92%,404905,9444178296,54,0.00%,5413,3814,70.46%,0,0
