test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,20.0.2,nbody.java 50000000,3.945990,1566,1690642398.866299,-,-,530,13.03,4070,1896,1.72,16621,0,0,167,236,296,7376,0,6986,0,0,0.00,0.08,0.13,0.22,11.81,0.00,74.51,0.00,0.00,15.68,0.24,6.57,64.48,65,65,98.71,450,300,103.89,97.98,1.13,1.09,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.27,49.01,0.04,1.28,0.00,0.00
2,20.0.2,nbody.java 50000000,3.972790,1160,1690642402.874009,-,-,538,13.20,4076,1896,1.72,16971,0,90,576,477,440,7594,3,7043,0,0,0.00,0.23,0.27,0.34,12.23,0.02,73.49,0.00,0.00,15.75,0.29,7.58,63.17,65,65,98.87,450,300,103.98,97.96,1.17,1.14,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.80,50.36,0.04,1.32,0.00,0.00
3,20.0.2,nbody.java 50000000,3.944558,1101,1690642406.854566,-,-,532,13.04,4076,1896,1.71,16603,0,25,263,269,318,7391,3,7000,0,0,0.00,0.17,0.17,0.25,11.99,0.01,74.15,0.00,0.00,15.78,0.26,6.55,64.36,67,67,98.87,450,300,103.81,97.98,1.18,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.36,49.98,0.04,1.28,0.00,0.00
4,20.0.2,nbody.java 50000000,3.973520,2135,1690642410.862679,-,-,531,13.03,4075,1896,1.73,16976,0,166,393,260,273,7376,6,7114,0,0,0.01,0.21,0.11,0.21,11.38,0.00,74.83,0.00,0.00,15.50,0.17,6.67,64.64,70,68,98.93,450,300,103.09,97.95,1.05,1.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.53,51.15,0.04,1.28,0.00,0.00
5,20.0.2,nbody.java 50000000,3.956500,1063,1690642414.856000,-,-,531,13.03,4075,1896,1.74,16643,0,8,250,292,303,7355,1,7031,0,0,0.00,0.12,0.19,0.26,11.43,0.00,74.75,0.00,0.00,15.82,0.27,6.87,64.01,70,70,98.85,450,300,103.91,97.98,1.11,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.81,51.42,0.04,1.29,0.00,0.00
6,20.0.2,nbody.java 50000000,3.970022,1411,1690642418.863972,-,-,528,12.96,4074,1896,1.71,16700,0,46,211,262,327,7370,6,7111,0,0,0.00,0.16,0.16,0.24,11.73,0.00,74.54,0.00,0.00,15.53,0.23,6.36,64.91,70,70,98.77,450,300,103.00,97.94,1.20,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.68,51.39,0.04,1.28,0.00,0.00
7,20.0.2,nbody.java 50000000,3.954523,1525,1690642422.855518,-,-,532,13.04,4075,1896,1.74,16639,0,10,250,320,409,7338,0,7048,0,0,0.00,0.17,0.16,0.29,12.03,0.00,74.07,0.00,0.00,15.93,0.33,6.43,64.26,72,72,98.77,450,300,104.01,97.95,1.18,1.15,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.87,51.54,0.05,1.29,0.00,0.00
8,20.0.2,nbody.java 50000000,3.938192,1136,1690642426.831116,-,-,531,13.03,4076,1896,1.72,16626,0,11,234,276,327,7365,1,6959,0,0,0.00,0.11,0.17,0.24,12.38,0.00,73.85,0.00,0.00,15.83,0.23,6.80,64.11,79,79,98.75,450,300,103.95,98.00,1.21,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.88,51.45,0.04,1.28,0.00,0.00
9,20.0.2,nbody.java 50000000,3.955007,2418,1690642430.823016,-,-,530,13.00,4076,1896,1.71,16632,0,1,163,275,360,7373,1,7025,0,0,0.00,0.07,0.17,0.25,12.06,0.00,74.22,0.00,0.00,15.64,0.28,6.63,64.44,78,78,98.84,450,300,103.45,97.97,1.11,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.90,52.54,0.04,1.28,0.00,0.00
10,20.0.2,nbody.java 50000000,3.959100,1095,1690642434.816105,-,-,537,13.20,4073,1896,1.72,16933,0,48,716,659,464,7448,2,6994,0,0,0.00,0.14,0.27,0.36,12.20,0.01,73.60,0.00,0.00,15.91,0.36,7.03,63.51,77,77,98.68,450,300,104.39,97.96,1.20,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.61,53.24,0.04,1.29,0.00,0.00
