test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,18.0.2-ea,nbody.java 50000000,3.896382,1678,1693297624.664201,-,-,520,12.69,4095,1896,2.23,2842,0,18,154,131,40,179,1,605,8,953,0.00,0.11,0.15,0.05,0.34,0.00,4.66,0.14,81.78,13.49,0.06,0.48,73.28,70,70,98.68,450,300,101.54,99.03,1.24,1.14,0.22,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.75,47.98,0.05,2.40,0.00,0.00
2,18.0.2-ea,nbody.java 50000000,3.923563,1164,1693297628.619047,-,-,522,12.75,4092,1896,2.21,3110,0,9,263,363,194,323,0,638,4,807,0.00,0.07,0.14,0.16,0.59,0.00,4.99,0.13,81.10,13.34,0.18,0.71,73.02,68,68,98.81,450,300,101.66,99.10,1.16,1.07,0.17,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.71,48.96,0.05,2.41,0.00,0.00
3,18.0.2-ea,nbody.java 50000000,3.894931,2104,1693297632.543401,-,-,522,12.74,4096,1896,2.22,2787,0,1,127,119,41,170,0,571,4,841,0.00,0.14,0.06,0.06,0.36,0.00,4.27,0.03,82.27,13.08,0.05,0.48,73.65,75,75,98.59,450,300,101.25,99.25,1.24,1.07,0.10,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.88,49.13,0.05,2.39,0.00,0.00
4,18.0.2-ea,nbody.java 50000000,3.912389,2303,1693297636.490419,-,-,517,12.63,4096,1896,2.23,2943,0,2,121,141,42,150,1,670,5,857,0.00,0.13,0.16,0.03,0.34,0.00,5.30,0.12,81.22,13.50,0.03,0.49,73.35,73,74,98.53,450,300,101.05,99.11,1.26,1.11,0.08,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.21,49.44,0.05,2.39,0.00,0.00
5,18.0.2-ea,nbody.java 50000000,3.889216,1195,1693297640.411106,-,-,520,12.71,4094,1896,2.23,2748,0,1,136,96,45,164,0,622,5,922,0.00,0.11,0.06,0.04,0.31,0.00,4.78,0.04,81.86,13.38,0.06,0.44,73.42,72,74,98.50,450,300,101.74,99.08,1.23,1.08,0.04,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.65,49.94,0.05,2.39,0.00,0.00
6,18.0.2-ea,nbody.java 50000000,3.899600,1078,1693297644.340594,-,-,536,13.13,4084,1896,2.18,3657,0,22,696,471,280,321,0,1039,8,1011,0.00,0.34,0.28,0.19,0.56,0.00,8.21,0.28,76.91,14.40,0.22,0.63,71.62,81,82,98.55,450,300,104.52,98.96,1.18,1.06,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.66,51.92,0.05,2.41,0.00,0.00
7,18.0.2-ea,nbody.java 50000000,3.923273,2081,1693297648.294956,-,-,521,12.72,4094,1896,2.21,3024,0,5,277,195,84,205,0,696,5,1001,0.00,0.26,0.24,0.06,0.40,0.00,5.42,0.15,80.67,13.51,0.07,0.55,73.15,79,81,98.74,450,300,100.99,98.92,1.10,0.94,0.10,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.66,50.88,0.04,2.40,0.00,0.00
8,18.0.2-ea,nbody.java 50000000,3.891015,1741,1693297652.219926,-,-,521,12.73,4093,1896,2.23,3125,0,73,254,137,29,166,0,675,11,959,0.00,0.25,0.20,0.04,0.40,0.00,5.39,0.11,80.81,13.52,0.09,0.52,73.14,78,78,98.74,450,300,101.52,99.08,1.14,0.99,0.09,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.57,50.70,0.04,2.38,0.00,0.00
9,18.0.2-ea,nbody.java 50000000,3.901815,1171,1693297656.149849,-,-,526,12.86,4088,1896,2.21,3085,0,16,569,439,208,299,1,630,3,863,0.00,0.31,0.25,0.14,0.50,0.00,5.34,0.02,80.50,13.95,0.12,0.60,72.47,75,75,98.77,450,300,102.39,98.97,1.08,0.92,0.11,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.01,51.13,0.04,2.40,0.00,0.00
10,18.0.2-ea,nbody.java 50000000,3.888497,1979,1693297660.070914,-,-,519,12.67,4095,1896,2.23,2783,0,5,87,95,69,186,0,589,2,952,0.00,0.11,0.20,0.05,0.36,0.00,4.70,0.04,81.78,13.55,0.05,0.47,73.26,83,83,98.37,450,300,101.38,99.16,1.24,1.04,0.07,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.94,51.98,0.05,2.38,0.00,0.00
