test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,16.0.2,binarytrees.java 21,3.541092,1946,1693999935.337921,-,-,648,16.12,4021,1896,2.26,3329,0,14,441,278,90,337,1,992,3,1265,0.00,1.01,0.65,0.11,0.60,0.00,7.65,0.09,73.65,15.13,0.24,0.69,67.82,75,76,98.56,300,300,115.14,98.93,1.18,1.06,0.21,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.12,64.57,0.04,5.89,0.00,0.00
2,16.0.2,binarytrees.java 21,3.420876,1979,1693999938.793671,-,-,652,16.24,4015,1896,2.28,3455,0,8,603,363,122,418,0,1071,12,1132,0.00,1.26,0.88,0.10,0.61,0.00,9.00,0.32,71.47,15.96,0.14,0.66,67.00,77,77,98.43,300,300,115.71,98.97,1.31,1.28,0.11,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.31,63.08,0.04,5.81,0.00,0.00
3,16.0.2,binarytrees.java 21,3.446971,1745,1693999942.296338,-,-,652,16.24,4016,1896,2.28,3455,0,8,582,344,106,378,0,1073,12,1130,0.00,1.65,0.87,0.12,0.80,0.00,8.63,0.18,71.39,16.02,0.08,0.90,66.75,76,79,98.43,300,300,114.88,98.91,1.30,1.19,0.14,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.35,64.07,0.04,5.82,0.00,0.00
4,16.0.2,binarytrees.java 21,3.432755,1539,1693999945.759883,-,-,643,16.07,4004,1896,2.28,4302,0,61,453,335,103,463,0,1213,76,1628,0.00,0.89,0.83,0.07,0.81,0.00,9.28,1.76,70.14,15.51,0.09,0.87,67.46,80,81,98.40,300,300,114.52,98.73,1.31,1.29,0.06,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.50,63.19,0.04,5.80,0.00,0.00
5,16.0.2,binarytrees.java 21,3.574762,1661,1693999949.365245,-,-,651,16.24,4010,1896,2.23,5162,0,3,304,376,113,538,0,1413,136,2262,0.00,0.90,0.87,0.06,0.87,0.00,9.94,2.86,68.11,15.16,0.09,1.15,67.35,83,83,98.36,300,300,114.04,98.84,1.24,1.14,0.03,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.15,67.34,0.04,5.91,0.00,0.00
6,16.0.2,binarytrees.java 21,3.510962,2054,1693999952.907515,-,-,640,16.10,3976,1896,2.28,6027,0,21,562,308,88,479,0,1460,261,2647,0.00,1.21,0.49,0.09,0.97,0.00,10.06,4.20,66.72,15.38,0.17,1.34,67.02,82,86,98.46,300,300,114.57,98.59,1.20,1.08,0.07,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.93,64.25,0.04,5.86,0.00,0.00
7,16.0.2,binarytrees.java 21,3.510517,1859,1693999956.450341,-,-,637,16.20,3934,1896,2.27,5154,0,19,496,317,85,437,0,1396,147,2149,0.00,1.09,0.74,0.08,0.82,0.00,10.36,3.06,67.49,15.43,0.11,0.92,67.34,87,87,98.50,300,300,114.78,98.68,1.21,1.16,0.05,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.76,62.03,0.04,5.87,0.00,0.00
8,16.0.2,binarytrees.java 21,3.655159,2222,1693999960.137241,-,-,632,16.13,3915,1896,2.25,7448,0,3,314,293,121,636,0,1763,367,3414,0.00,0.69,0.59,0.08,1.07,0.00,11.30,6.08,63.86,15.13,0.12,1.42,67.20,86,86,98.33,300,300,113.85,98.48,1.25,1.13,0.09,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.17,64.20,0.04,5.96,0.00,0.00
9,16.0.2,binarytrees.java 21,3.756626,2161,1693999963.924920,-,-,616,16.24,3796,1896,2.23,10363,0,51,587,406,119,988,1,2579,732,4445,0.00,0.68,0.67,0.10,1.88,0.00,14.99,9.71,55.56,15.54,0.11,2.24,65.87,84,86,98.68,300,300,114.81,98.23,1.18,1.08,0.08,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.09,59.76,0.04,6.05,0.00,0.00
10,16.0.2,binarytrees.java 21,3.500160,2552,1693999967.455931,-,-,632,16.11,3924,1896,2.29,7579,0,8,442,332,121,754,1,2019,338,3310,0.00,0.91,0.50,0.15,1.47,0.00,13.25,5.62,61.77,15.25,0.22,1.77,66.64,85,88,98.17,300,300,114.79,98.28,1.29,1.16,0.15,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.79,61.08,0.04,5.86,0.00,0.00
