test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,10.0.2,binarytrees.java 21,4.295274,1943,1693298763.574745,-,-,692,17.26,4008,1896,2.40,3638,0,9,298,196,150,543,0,1199,18,1618,0.00,0.30,0.09,0.10,0.83,0.00,6.39,0.21,74.67,13.18,0.26,0.98,68.32,76,76,98.11,450,300,117.23,99.12,1.63,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.69,81.98,0.07,6.43,0.00,0.00
2,10.0.2,binarytrees.java 21,4.484562,1218,1693298768.088652,-,-,689,17.21,4004,1896,2.34,3956,0,28,635,739,275,597,2,1286,5,1569,0.00,0.24,0.33,0.13,0.87,0.01,6.74,0.18,74.15,13.44,0.31,0.87,68.17,84,84,98.38,450,300,117.90,99.29,1.29,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.06,86.13,0.06,6.59,0.00,0.00
3,10.0.2,binarytrees.java 21,4.288413,2366,1693298772.406976,-,-,695,17.41,3993,1896,2.40,6385,0,19,388,339,240,632,0,1602,218,2991,0.00,0.31,0.17,0.15,1.03,0.00,8.41,3.22,69.11,13.82,0.43,1.08,67.26,85,88,98.15,450,300,119.35,99.04,1.45,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.36,84.90,0.07,6.43,0.00,0.00
4,10.0.2,binarytrees.java 21,4.440609,1997,1693298776.878187,-,-,664,17.09,3884,1896,2.42,9067,0,20,273,369,235,707,3,1851,499,4563,0.00,0.19,0.28,0.16,1.00,0.01,9.29,7.29,64.47,14.35,0.40,0.96,67.20,82,88,98.14,450,300,118.25,98.73,1.56,1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.99,79.97,0.08,6.55,0.00,0.00
5,10.0.2,binarytrees.java 21,4.430221,1818,1693298781.338604,-,-,669,17.21,3884,1896,2.41,8590,0,62,406,299,226,735,2,1597,498,3897,0.00,0.38,0.12,0.16,1.04,0.00,8.09,8.38,64.40,14.30,0.39,1.23,66.87,93,93,98.01,450,300,119.03,98.80,1.53,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.50,80.30,0.07,6.53,0.00,0.00
6,10.0.2,binarytrees.java 21,4.501988,2023,1693298785.870995,-,-,660,17.10,3857,1896,2.40,6770,0,13,293,333,173,686,0,1723,248,2954,0.00,0.27,0.18,0.11,0.97,0.00,8.33,3.94,68.90,13.68,0.49,1.13,67.60,91,91,98.13,450,300,116.96,98.99,1.45,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.30,79.10,0.08,6.58,0.00,0.00
7,10.0.2,binarytrees.java 21,4.431289,1565,1693298790.330265,-,-,660,17.21,3834,1896,2.46,6946,0,22,545,510,259,822,0,1616,242,2916,0.00,0.31,0.20,0.17,1.07,0.00,8.26,4.12,68.48,13.72,0.28,0.96,67.83,91,91,98.19,450,300,118.37,99.05,1.43,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.04,76.90,0.07,6.55,0.00,0.00
8,10.0.2,binarytrees.java 21,4.661912,2579,1693298795.022012,-,-,636,17.15,3707,1896,2.41,10850,0,43,210,376,251,950,3,2281,696,5187,0.00,0.16,0.14,0.14,1.26,0.03,10.33,8.18,62.46,14.17,0.29,1.52,66.86,94,94,98.33,450,300,118.66,99.06,1.45,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.48,73.80,0.07,6.72,0.00,0.00
9,10.0.2,binarytrees.java 21,4.685982,1809,1693298799.738371,-,-,625,17.06,3662,1896,2.44,10790,0,52,312,335,183,830,1,2148,669,5431,0.00,0.24,0.19,0.12,1.13,0.00,10.25,8.31,62.56,14.32,0.25,1.25,67.12,91,91,98.61,450,300,118.14,99.03,1.23,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.25,72.50,0.06,6.72,0.00,0.00
10,10.0.2,binarytrees.java 21,4.541611,1870,1693298804.310499,-,-,644,17.19,3747,1896,2.42,9631,0,26,241,354,216,837,0,2146,534,4610,0.00,0.14,0.25,0.15,1.22,0.00,10.46,6.21,64.20,13.98,0.30,1.53,67.00,91,94,98.31,450,300,117.81,98.96,1.35,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.87,73.53,0.07,6.63,0.00,0.00
