test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,16.0.2,binarytrees.java 21,0.99,0.91,0.28,0.06,0.01,0.64,3.91,1.11,0.07,14.42,2.00,1866538960 ns,35946427583,3.462 GHz,40118758908,1.11,10382.62 msec,5.562,36412866724,3.507 GHz,183,17924748701,228465062,10383.26 msec,5.563,1109 C,6959959413,11902961,0.17%,0,8738298959,441119,441110,8,728771681,548483906,75.261,9545312117,432306778,4.53%,24704550,15508784,62.78%,18048231,9350904625,8782922,0.09%,332849,824274,247.64%,0,0
2,16.0.2,binarytrees.java 21,0.99,0.91,0.29,0.06,0.01,0.64,3.64,1.08,0.06,13.55,2.01,1854933809 ns,35304368731,3.408 GHz,38352383489,1.06,10358.31 msec,5.584,35456210874,3.423 GHz,158,17767961219,226466448,10359.04 msec,5.585,952 C,6898164914,11727094,0.17%,0,8621216085,440930,440921,8,789860130,572989293,72.543,8972953738,443472966,4.94%,24826905,12708397,51.19%,10586102,9037943602,9168029,0.10%,338764,999808,295.13%,0,0
3,16.0.2,binarytrees.java 21,0.99,0.96,0.28,0.09,0.01,0.61,3.77,1.13,0.07,14.47,2.00,1872109081 ns,36784188182,3.544 GHz,41845092316,1.17,10378.97 msec,5.544,37241213094,3.588 GHz,154,18701819370,232246041,10379.52 msec,5.544,767 C,7135614226,11653034,0.16%,0,9114893459,438136,438127,8,787288443,587989118,74.685,9259868832,437841513,4.73%,21574998,11043675,51.19%,12498352,8552495208,8483096,0.10%,830680,986614,118.77%,0,0
4,16.0.2,binarytrees.java 21,0.99,0.90,0.28,0.05,0.01,0.65,3.93,1.08,0.07,13.96,2.00,1881053452 ns,36030358170,3.507 GHz,38943617687,1.10,10273.71 msec,5.462,36207386852,3.524 GHz,168,18006750623,226082025,10274.57 msec,5.462,706 C,6915609524,10668540,0.15%,0,8811134629,462029,462020,8,763115849,564656081,73.993,9201415443,452928981,4.92%,28144989,14640993,52.02%,15933881,9356104881,9363005,0.10%,357718,866754,242.30%,0,0
5,16.0.2,binarytrees.java 21,0.99,0.91,0.28,0.08,0.01,0.61,3.78,1.10,0.08,14.18,2.00,1874752373 ns,35641494175,3.445 GHz,40224124630,1.14,10346.22 msec,5.519,36153778884,3.494 GHz,164,18235988987,230169180,10346.89 msec,5.519,576 C,6976056158,11856896,0.17%,0,8590964607,439038,439029,8,754947810,578076991,76.572,9333297166,439451049,4.71%,21597349,11830672,54.78%,15646154,9211787670,8390294,0.09%,546133,683220,125.10%,0,13
6,16.0.2,binarytrees.java 21,0.99,0.91,0.28,0.07,0.01,0.61,3.94,1.12,0.06,13.98,1.92,1886349153 ns,34656319894,3.317 GHz,38541346216,1.10,10449.23 msec,5.539,35069053038,3.356 GHz,190,18197860002,226883574,10449.96 msec,5.540,524 C,6741686561,10403201,0.15%,0,8737464359,434617,434608,8,755210557,568499009,75.277,8732439417,435596961,4.99%,24105122,12989618,53.89%,10500181,8755846680,8177383,0.09%,586092,1084375,185.02%,0,2
7,16.0.2,binarytrees.java 21,0.99,0.88,0.29,0.07,0.01,0.62,3.73,1.10,0.07,13.85,1.87,1930386502 ns,34064114356,3.189 GHz,39004389961,1.14,10681.17 msec,5.533,34547597588,3.234 GHz,170,18491630947,233578614,10681.91 msec,5.534,492 C,6891579554,9131809,0.13%,0,8737459833,461901,461892,8,757798264,577295281,76.181,9338310702,450594942,4.83%,25818886,13423863,51.99%,18183679,9392833951,9092910,0.10%,978260,1092483,111.68%,0,0
8,16.0.2,binarytrees.java 21,0.99,0.86,0.30,0.07,0.01,0.62,3.87,1.17,0.07,14.19,1.86,1901674217 ns,33839141775,3.198 GHz,40171099698,1.20,10580.20 msec,5.564,34294896670,3.241 GHz,179,18601704117,236375752,10580.94 msec,5.564,494 C,7039890304,12091447,0.17%,0,8750186483,441075,441062,12,759094415,587863972,77.443,9167183681,448398968,4.89%,26176714,14261314,54.48%,12305493,8937379718,8710344,0.10%,364788,846149,231.96%,0,14
9,16.0.2,binarytrees.java 21,0.99,0.87,0.30,0.08,0.01,0.60,3.78,1.18,0.08,13.04,1.82,1997567873 ns,33637856056,3.054 GHz,39643565154,1.15,11012.86 msec,5.513,34147639888,3.101 GHz,159,18731736953,233942524,11013.53 msec,5.513,469 C,6846018614,12206817,0.18%,0,8695045449,458346,458337,8,774054118,596437967,77.054,9987665719,443241464,4.44%,23554095,11485713,48.76%,16190343,9959274743,9428554,0.09%,857154,859065,100.22%,0,0
10,16.0.2,binarytrees.java 21,0.99,0.86,0.31,0.08,0.01,0.60,3.88,1.18,0.07,13.28,1.83,1980200373 ns,34051400082,3.123 GHz,40394906220,1.20,10904.02 msec,5.507,34170501153,3.134 GHz,188,18811446319,234965857,10904.73 msec,5.507,500 C,6912484367,11627163,0.17%,0,8622283826,463237,463228,8,750847708,561380571,74.766,9541600976,430679115,4.51%,23299045,11564199,49.63%,16016047,9731640612,9122829,0.09%,407077,756846,185.92%,0,0
