version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1.8.0_382,binarytrees.java 21,4.79085,2052.2,1693996067.241289,0.00,0.00,1283.00,33.47,3833.30,1896.00,1.25,34510.10,0.00,11.40,169.00,194.20,124.10,493.40,0.10,1840.50,333.50,3487.90,0.00,0.15,0.14,0.06,0.76,0.00,8.33,4.29,52.61,11.22,0.06,0.95,54.30,83.80,85.60,98.40,300.00,300.00,173.30,98.93,1.42,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107.51,93.45,0.07,7.02,0.00,0.00
9.0.4,binarytrees.java 21,4.42979,1920.3,1693996579.155544,0.00,0.00,674.90,17.39,3879.30,1896.00,2.36,8194.10,0.00,42.50,350.80,384.50,260.50,844.50,0.60,1794.40,416.30,3742.60,0.00,0.21,0.20,0.15,1.27,0.00,9.18,5.55,65.85,14.03,0.40,1.34,66.84,84.10,84.90,98.22,300.00,300.00,119.21,98.88,1.53,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.69,78.68,0.07,6.61,0.00,0.00
10.0.2,binarytrees.java 21,4.50861,1730.7,1693997080.786917,0.00,0.00,660.90,17.13,3858.50,1896.00,2.40,8733.70,0.00,21.20,324.50,340.70,199.80,758.90,0.90,1925.90,474.80,4127.80,0.00,0.21,0.16,0.13,1.16,0.00,9.59,6.00,65.42,14.03,0.33,1.27,67.25,84.10,85.20,98.18,300.00,300.00,118.20,98.92,1.53,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.57,79.37,0.07,6.67,0.00,0.00
11.0.20.1,binarytrees.java 21,3.58294,1921.5,1693997571.478783,0.00,0.00,661.70,16.79,3942.60,1896.00,2.29,6036.30,0.00,18.10,247.50,286.50,158.90,507.30,0.60,1399.30,255.70,2446.30,0.00,0.25,0.27,0.13,0.94,0.00,9.94,4.52,66.98,14.31,0.19,1.10,67.62,82.40,83.80,97.95,300.00,300.00,118.01,98.95,1.72,1.68,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.50,64.67,0.06,5.99,0.00,0.00
12.0.2,binarytrees.java 21,3.59534,1914.3,1693998051.190243,0.00,0.00,656.70,16.64,3947.00,1896.00,2.30,6607.90,0.00,45.80,312.40,314.80,175.80,585.50,0.90,1490.40,280.00,2928.80,0.00,0.25,0.30,0.12,1.02,0.00,9.95,4.62,66.92,14.28,0.17,1.19,67.71,82.40,83.40,97.95,300.00,300.00,116.96,98.88,1.73,1.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.66,64.80,0.06,5.98,0.00,0.00
13.0.2,binarytrees.java 21,3.61582,1701.8,1693998530.729004,0.00,0.00,634.70,16.14,3933.60,1896.00,2.34,6343.10,0.00,51.60,265.30,260.20,143.40,573.90,0.00,1414.50,288.20,2823.10,0.00,0.25,0.25,0.11,1.03,0.00,9.40,4.67,67.97,14.39,0.15,1.21,68.12,82.70,83.90,97.96,300.00,300.00,115.41,98.94,1.75,1.71,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.22,64.31,0.06,5.99,0.00,0.00
14.0.2,binarytrees.java 21,3.61289,1847,1693999011.831537,0.00,0.00,642.40,16.29,3943.10,1895.90,2.36,6926.30,0.00,64.90,486.20,477.90,178.40,661.00,0.60,1632.80,322.60,3106.10,0.00,0.74,0.86,0.12,1.03,0.00,10.19,4.88,65.70,15.57,0.16,1.20,66.77,82.20,84.00,98.48,300.00,300.00,115.56,98.81,1.27,1.23,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.28,64.38,0.04,5.96,0.00,0.00
15.0.2,binarytrees.java 21,3.50463,1979,1693999492.031048,0.00,0.00,642.50,16.25,3954.30,1896.00,2.32,6345.60,0.00,27.90,462.50,394.60,169.10,544.20,0.40,1611.80,282.90,2750.50,0.00,0.91,0.76,0.12,0.93,0.00,11.44,4.34,65.07,15.63,0.18,1.12,66.82,82.80,83.80,98.49,300.00,300.00,115.35,98.33,1.26,1.18,0.13,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.38,61.80,0.04,5.86,0.00,0.00
16.0.2,binarytrees.java 21,3.53499,1971.8,1693999967.455931,0.00,0.00,640.30,16.17,3961.10,1896.00,2.26,5627.40,0.00,19.60,478.40,335.20,106.80,542.80,0.30,1497.90,208.40,2338.20,0.00,1.03,0.71,0.10,0.99,0.00,10.45,3.39,67.02,15.45,0.14,1.20,67.05,81.50,82.90,98.43,300.00,300.00,114.71,98.66,1.25,1.16,0.10,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.02,63.36,0.04,5.88,0.00,0.00
17.0.8.1,binarytrees.java 21,3.68832,1880,1694000445.389636,0.00,0.00,810.80,21.13,3867.60,1896.00,2.09,7448.20,0.00,211.10,2963.10,1500.90,613.30,1430.60,9.90,1935.80,154.30,2153.80,0.01,1.38,1.16,0.41,1.91,0.01,12.49,2.41,58.93,19.32,0.34,1.49,57.72,85.80,86.90,98.59,300.00,300.00,148.43,99.11,1.23,1.20,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.57,74.16,0.04,6.46,0.00,0.00
18.0.2-ea,binarytrees.java 21,3.57215,1955.3,1694000923.057292,0.00,0.00,623.90,15.79,3953.30,1896.00,2.30,6497.40,0.00,23.00,534.00,515.60,208.70,574.60,0.50,1603.30,281.70,2847.50,0.00,1.19,0.92,0.11,0.90,0.00,11.06,4.42,65.43,16.11,0.14,1.13,66.84,82.00,82.90,98.47,300.00,300.00,113.38,98.31,1.23,1.14,0.14,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.08,63.32,0.04,5.89,0.00,0.00
19.0.2,binarytrees.java 21,3.51445,1937.5,1694001397.653336,0.00,0.00,649.60,16.41,3959.80,1896.00,2.27,6389.80,0.00,31.60,568.80,481.70,145.80,585.50,0.30,1631.90,257.40,2703.80,0.00,1.10,0.95,0.11,0.99,0.00,11.05,4.00,65.22,15.98,0.14,1.18,66.29,82.50,83.50,98.47,300.00,300.00,115.62,98.87,1.25,1.22,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.82,63.19,0.04,5.87,0.00,0.00
20.0.2,binarytrees.java 21,3.58161,2060.7,1694001872.662922,0.00,0.00,637.30,16.19,3937.60,1896.00,2.33,6098.50,0.00,16.40,434.40,445.90,134.50,599.90,0.90,1590.20,293.80,2715.90,0.00,0.92,0.92,0.11,0.99,0.00,10.91,4.63,65.15,15.92,0.16,1.18,66.55,81.70,83.00,98.49,300.00,300.00,115.31,98.95,1.24,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.96,64.18,0.04,5.92,0.00,0.00
