test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,15.0.2,binarytrees.java 21,3.405582,2346,1693299555.908786,-,-,655,16.33,4013,1896,2.35,3446,0,2,338,336,75,332,0,1037,15,1509,0.00,0.79,0.78,0.06,0.61,0.00,8.33,0.43,72.55,15.09,0.08,0.85,67.65,73,77,98.49,450,300,115.38,98.64,1.30,1.28,0.07,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.94,60.82,0.05,5.73,0.00,0.00
2,15.0.2,binarytrees.java 21,3.362172,1856,1693299559.304451,-,-,659,16.44,4011,1896,2.34,3264,0,3,303,374,99,393,0,881,4,1356,0.00,0.74,1.01,0.08,0.79,0.00,6.55,0.15,74.11,15.65,0.15,1.00,66.75,85,87,98.15,450,300,116.21,99.00,1.63,1.46,0.10,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.65,61.56,0.06,5.72,0.00,0.00
3,15.0.2,binarytrees.java 21,3.404328,2091,1693299562.739052,-,-,659,16.44,4010,1896,2.33,3510,0,18,454,364,123,403,0,1120,7,1192,0.00,1.09,0.76,0.12,0.80,0.00,8.80,0.13,71.74,15.52,0.18,1.02,66.85,82,83,97.96,450,300,116.29,98.88,1.74,1.69,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.61,62.43,0.07,5.75,0.00,0.00
4,15.0.2,binarytrees.java 21,3.383585,1576,1693299566.152707,-,-,656,16.36,4009,1896,2.34,3414,0,3,437,331,84,372,0,1067,6,1245,0.00,1.21,0.94,0.07,0.65,0.00,8.69,0.15,71.79,16.23,0.08,0.78,66.55,82,84,97.97,450,300,116.38,99.00,1.68,1.55,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.13,63.07,0.06,5.73,0.00,0.00
5,15.0.2,binarytrees.java 21,3.408417,2049,1693299569.590845,-,-,653,16.30,4010,1896,2.32,4209,0,1,383,342,126,503,0,1220,67,1720,0.00,0.91,0.84,0.10,0.86,0.00,9.52,1.57,69.75,15.57,0.20,1.06,66.86,90,90,97.85,450,300,115.45,98.65,1.74,1.50,0.14,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.05,63.60,0.07,5.75,0.00,0.00
6,15.0.2,binarytrees.java 21,3.509111,1626,1693299573.127448,-,-,648,16.51,3925,1896,2.32,9049,0,23,653,775,313,812,1,2156,514,3958,0.00,0.94,0.71,0.27,1.50,0.01,13.68,6.89,59.28,16.08,0.37,1.71,65.34,87,87,98.09,450,300,117.17,98.23,1.61,1.38,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.59,61.90,0.06,5.83,0.00,0.00
7,15.0.2,binarytrees.java 21,3.436239,1945,1693299576.593914,-,-,644,16.35,3937,1896,2.31,7085,0,4,407,422,93,535,2,1733,341,3208,0.00,0.78,0.82,0.08,1.01,0.01,11.41,6.81,62.53,15.74,0.10,1.43,66.39,91,91,97.87,450,300,116.18,98.43,1.72,1.60,0.16,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.75,61.28,0.07,5.77,0.00,0.00
8,15.0.2,binarytrees.java 21,3.490958,2068,1693299580.114691,-,-,643,16.33,3942,1896,2.32,6504,0,5,299,468,164,549,0,1749,345,2921,0.00,0.54,0.60,0.08,1.03,0.00,11.49,6.12,63.60,14.80,0.11,1.40,67.37,93,94,98.08,450,300,114.36,98.40,1.54,1.34,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.31,61.70,0.06,5.80,0.00,0.00
9,15.0.2,binarytrees.java 21,3.499063,2110,1693299583.645088,-,-,639,16.31,3919,1896,2.34,7456,0,107,484,387,199,546,7,1724,391,3287,0.01,0.74,0.53,0.12,0.97,0.00,10.88,6.60,63.64,15.47,0.15,1.40,66.66,85,91,98.05,450,300,115.92,98.45,1.58,1.46,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.21,61.43,0.07,5.83,0.00,0.00
10,15.0.2,binarytrees.java 21,3.560824,1448,1693299587.235924,-,-,626,16.22,3862,1896,2.35,7335,0,2,415,420,228,560,0,1841,345,3213,0.00,0.72,0.58,0.10,1.16,0.00,11.91,5.46,63.67,15.36,0.10,1.35,66.96,91,93,97.98,450,300,115.54,98.43,1.70,1.58,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.17,59.38,0.07,5.86,0.00,0.00
