test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,9.0.4,binarytrees.java 21,0.99,0.94,0.28,0.07,0.01,0.64,3.86,1.07,0.07,9.69,1.72,2983839462 ns,52792491626,3.086 GHz,55458820816,1.06,17104.74 msec,5.732,52964730759,3.096 GHz,240,30669439401,383385640,17106.04 msec,5.733,1706 C,8991323612,23295328,0.26%,8,11446085456,583850,583800,8,865510870,569282553,65.774,15486372064,496661720,3.21%,32584129,16895659,51.85%,31442651,15052835051,10780279,0.07%,724534,960305,132.54%,0,0
2,9.0.4,binarytrees.java 21,0.99,0.96,0.27,0.09,0.01,0.63,3.77,1.07,0.06,10.10,1.77,2982194531 ns,53509586612,3.139 GHz,57011413642,1.09,17047.91 msec,5.717,54176176820,3.178 GHz,241,30533851915,384138016,17049.30 msec,5.717,1523 C,9107330657,27765142,0.30%,0,11703049509,549008,548954,8,874402004,583850842,66.771,15200185540,476352250,3.13%,32168624,17671802,54.93%,29070226,14930874320,11001643,0.07%,506360,1017738,200.99%,0,4
3,9.0.4,binarytrees.java 21,0.99,0.92,0.29,0.08,0.01,0.63,3.88,1.10,0.07,10.07,1.71,2975899239 ns,52041837523,3.082 GHz,55924196412,1.10,16883.31 msec,5.673,52469169419,3.108 GHz,220,30740329436,386510745,16884.37 msec,5.674,1381 C,9134389279,24393247,0.27%,0,11945045949,565006,564956,8,822719225,579735589,70.466,14981067379,455354181,3.04%,33443729,18201644,54.42%,33679987,14472141590,11221865,0.08%,772412,706272,91.44%,0,0
4,9.0.4,binarytrees.java 21,0.99,0.94,0.28,0.09,0.01,0.63,3.72,1.06,0.07,9.90,1.74,2975542160 ns,52125286875,3.043 GHz,56090308334,1.07,17130.05 msec,5.757,52453069044,3.062 GHz,278,30033777679,377451528,17131.36 msec,5.757,1317 C,8992095761,26287996,0.29%,8,11601624618,546686,546636,8,862412613,578030846,67.025,15067078066,465617068,3.09%,33440436,18842834,56.35%,33731270,15122449399,9706315,0.06%,1058944,840363,79.36%,0,0
5,9.0.4,binarytrees.java 21,0.99,0.93,0.28,0.07,0.01,0.64,3.82,1.09,0.08,9.85,1.71,3034471815 ns,51967310327,3.030 GHz,56563820871,1.09,17150.27 msec,5.652,52394072257,3.055 GHz,262,30625537482,386838908,17151.47 msec,5.652,1370 C,9224176732,23344765,0.25%,0,12002801113,611542,611494,8,849439549,591574047,69.643,14956777928,469674869,3.14%,29716479,15339845,51.62%,34854566,14975252471,12767860,0.09%,925976,530586,57.30%,0,16
6,9.0.4,binarytrees.java 21,0.99,0.70,0.37,0.08,0.01,0.53,4.14,1.46,0.09,8.76,1.08,3463046018 ns,38185551478,1.902 GHz,54951017514,1.42,20072.28 msec,5.796,38629307232,1.924 GHz,382,35652127748,448348602,20074.13 msec,5.797,1528 C,8785527975,15759094,0.18%,4,11437258758,605133,605078,8,941124900,592107417,62.915,14762597482,488773641,3.31%,30212378,12038114,39.84%,61383726,14438910392,11693910,0.08%,1511369,929981,61.53%,0,4
7,9.0.4,binarytrees.java 21,0.99,0.68,0.38,0.09,0.01,0.53,3.98,1.44,0.10,9.05,1.09,3446015284 ns,38593208010,1.946 GHz,55247540001,1.45,19835.25 msec,5.756,38588296718,1.945 GHz,274,35541166100,446857708,19836.65 msec,5.756,1526 C,8677719113,19852832,0.23%,0,11407060526,606549,606504,8,873023667,566020860,64.835,14601481709,479806723,3.29%,28581581,11956697,41.83%,37644846,14730014185,12114107,0.08%,496814,318115,64.03%,0,3
8,9.0.4,binarytrees.java 21,0.99,0.71,0.37,0.12,0.01,0.52,3.61,1.38,0.09,8.82,1.10,3511987961 ns,40736701650,1.967 GHz,56577476718,1.41,20706.20 msec,5.896,40951460763,1.978 GHz,304,37314375005,469505362,20707.55 msec,5.896,1542 C,8929258040,22231406,0.25%,0,11776478407,540238,540176,8,907517435,584105468,64.363,14904467668,486698894,3.27%,25985198,9600449,36.95%,31190247,15130568212,11134069,0.07%,1140504,648953,56.90%,0,0
9,9.0.4,binarytrees.java 21,0.99,0.71,0.37,0.09,0.01,0.53,3.93,1.41,0.09,9.03,1.10,3516227936 ns,40178780359,1.965 GHz,56486884553,1.42,20448.16 msec,5.815,40310038466,1.971 GHz,304,36924808890,462168683,20449.35 msec,5.816,1576 C,8744097201,22004287,0.25%,8,11340710958,630762,630709,8,879044083,570087505,64.853,14855579027,486455772,3.27%,27115236,11997550,44.25%,30056434,14815232106,12609066,0.09%,487311,532674,109.31%,0,4
10,9.0.4,binarytrees.java 21,0.99,0.68,0.38,0.09,0.01,0.53,3.92,1.43,0.10,8.85,1.10,3432634862 ns,37982419859,1.928 GHz,54277863820,1.41,19694.71 msec,5.737,38231441961,1.941 GHz,302,34681933360,441452830,19696.19 msec,5.738,1561 C,8750924510,23455162,0.27%,4,11512305059,611942,611880,8,897148963,574590324,64.046,14477638258,485728152,3.36%,27739813,10885854,39.24%,36553481,14675333764,10525421,0.07%,860347,433944,50.44%,0,179
