test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,12.0.2,binarytrees.java 21,2.887196,2731,1701439338.904312,-,-,2172,69.93,3103,1898,0.91,6826,0,11,244,275,107,540,2,1338,10,923,0.00,0.29,0.30,0.08,1.17,0.01,10.91,0.08,16.97,13.57,0.09,1.17,15.22,61,61,97.57,300,300,327.87,98.90,2.35,2.34,0.05,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.49,54.30,0.06,5.96,0.00,0.00
2,12.0.2,binarytrees.java 21,2.774264,1290,1701439341.712559,-,-,2208,71.43,3092,1895,0.92,6819,0,39,362,270,114,493,0,1065,4,790,0.00,0.38,0.37,0.12,1.12,0.00,7.99,0.03,18.23,15.56,0.21,1.06,11.74,63,63,97.32,300,300,342.09,99.11,2.37,2.35,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.25,53.56,0.06,5.90,0.00,0.00
3,12.0.2,binarytrees.java 21,2.818689,2645,1701439344.575046,-,-,2170,71.01,3057,1896,0.94,7043,0,19,378,285,185,502,2,1251,9,845,0.00,0.42,0.53,0.13,1.01,0.00,10.47,0.07,16.03,15.61,0.12,1.02,12.23,65,66,97.21,300,300,339.70,99.00,2.47,2.42,0.04,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.81,52.92,0.06,5.95,0.00,0.00
4,12.0.2,binarytrees.java 21,2.885578,2205,1701439347.491187,-,-,2169,70.27,3088,1895,0.94,7187,0,26,309,311,158,478,0,1204,5,782,0.00,0.47,0.32,0.13,1.02,0.00,10.32,0.07,17.08,14.79,0.20,1.26,13.48,71,71,97.52,300,300,333.41,99.29,2.25,2.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.02,55.02,0.06,5.98,0.00,0.00
5,12.0.2,binarytrees.java 21,2.772712,2203,1701439350.294332,-,-,2229,71.89,3102,1895,0.93,6630,0,9,246,231,134,478,0,993,20,869,0.00,0.30,0.32,0.13,1.00,0.00,7.86,0.69,17.48,14.78,0.16,0.94,12.23,71,72,97.67,300,300,340.97,99.11,2.20,2.19,0.03,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.62,54.94,0.05,5.88,0.00,0.00
6,12.0.2,binarytrees.java 21,2.859270,2458,1701439353.183601,-,-,2173,70.16,3098,1895,0.94,7025,0,7,401,374,127,524,3,1147,2,756,0.00,0.49,0.44,0.14,1.33,0.02,9.30,0.08,17.69,14.79,0.23,1.17,13.65,70,72,97.33,300,300,333.42,99.14,2.51,2.47,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.03,56.01,0.07,5.94,0.00,0.00
7,12.0.2,binarytrees.java 21,2.918058,2483,1701439356.131465,-,-,2125,70.62,3011,1895,0.94,6855,0,19,350,312,106,452,0,1207,8,852,0.00,0.33,0.28,0.10,1.03,0.00,9.42,0.31,17.63,13.14,0.14,1.18,14.91,70,70,97.80,300,300,329.16,99.30,2.19,2.17,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.81,52.51,0.06,6.00,0.00,0.00
8,12.0.2,binarytrees.java 21,3.114525,2820,1701439359.280510,-,-,1513,71.99,2103,1895,1.20,7421,0,10,275,256,98,521,1,1291,11,937,0.00,0.29,0.44,0.09,1.16,0.01,9.01,0.22,16.64,12.45,0.08,1.20,14.28,69,69,97.64,300,300,332.99,99.39,2.33,2.33,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.25,27.60,0.06,6.08,0.00,0.00
9,12.0.2,binarytrees.java 21,3.196094,2369,1701439362.510387,-,-,1510,71.64,2108,1895,1.19,7585,0,9,329,400,121,529,0,1340,24,963,0.00,0.26,0.31,0.08,0.94,0.00,9.77,0.60,16.24,11.45,0.14,1.04,15.74,69,69,97.62,300,300,327.24,99.45,2.33,2.32,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.25,28.59,0.06,6.14,0.00,0.00
10,12.0.2,binarytrees.java 21,3.175597,2590,1701439365.717023,-,-,1535,72.31,2124,1895,1.20,7844,0,9,363,320,137,612,0,1439,18,945,0.00,0.27,0.34,0.08,1.21,0.00,10.19,0.21,15.23,12.88,0.06,1.26,13.49,70,70,97.68,300,300,335.93,99.52,2.18,2.18,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.63,28.93,0.06,6.17,0.00,0.00
