test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,18.0.2-ea,binarytrees.java 21,1.874316,2146,1693993279.748244,-,-,2658,69.82,3807,1896,1.11,4553,0,21,710,504,106,374,4,652,1,411,0.00,1.70,0.97,0.16,1.40,0.04,8.95,0.00,16.70,14.12,0.16,1.44,14.46,75,78,96.94,300,300,324.38,97.98,3.11,2.86,0.34,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.60,65.68,0.06,5.59,0.00,0.00
2,18.0.2-ea,binarytrees.java 21,1.859574,2087,1693993281.644873,-,-,2661,69.93,3807,1895,1.12,4701,0,9,696,472,80,348,0,877,2,354,0.00,1.60,0.98,0.24,1.30,0.00,12.42,0.09,13.17,15.05,0.37,1.24,13.41,81,81,96.64,300,300,329.47,98.15,3.37,3.00,0.32,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.16,66.38,0.06,5.57,0.00,0.00
3,18.0.2-ea,binarytrees.java 21,1.845564,1942,1693993283.523081,-,-,2691,70.69,3807,1896,1.10,4997,0,7,701,465,97,380,0,894,30,441,0.00,1.34,0.82,0.22,1.35,0.00,10.99,0.72,13.55,12.46,0.20,1.35,15.30,88,89,96.56,300,300,321.09,98.63,3.34,3.26,0.16,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.54,65.77,0.07,5.53,0.00,0.00
4,18.0.2-ea,binarytrees.java 21,1.844854,2351,1693993285.402922,-,-,2657,70.32,3779,1895,1.10,6110,0,18,708,482,119,427,0,854,38,451,0.00,1.28,0.67,0.20,1.48,0.00,11.71,1.26,12.75,14.94,0.18,1.17,13.39,84,88,96.59,300,300,331.90,98.35,3.23,2.76,0.21,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.48,63.58,0.06,5.57,0.00,0.00
5,18.0.2-ea,binarytrees.java 21,1.845924,1999,1693993287.281268,-,-,2615,70.01,3736,1896,1.11,7614,0,20,736,490,87,360,1,918,45,472,0.00,1.41,0.82,0.19,1.43,0.02,11.78,1.29,12.65,14.57,0.16,1.19,14.08,87,91,96.27,300,300,326.96,98.47,3.47,3.09,0.16,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.51,62.62,0.07,5.52,0.00,0.00
6,18.0.2-ea,binarytrees.java 21,1.877638,2046,1693993289.191047,-,-,2529,70.25,3601,1896,1.15,7881,0,4,579,497,107,466,0,1024,60,611,0.00,0.99,0.69,0.18,1.79,0.00,11.89,1.66,12.14,14.40,0.22,1.73,13.40,89,93,96.56,300,300,328.85,98.53,3.16,3.03,0.09,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.35,60.42,0.07,5.55,0.00,0.00
7,18.0.2-ea,binarytrees.java 21,1.904417,1936,1693993291.128956,-,-,2436,68.85,3539,1895,1.15,6561,0,3,621,469,97,455,0,1071,58,565,0.00,1.09,0.57,0.19,1.85,0.00,11.90,1.48,13.67,14.23,0.18,1.60,15.15,96,96,96.41,300,300,322.06,98.21,3.30,2.99,0.43,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.24,57.25,0.07,5.57,0.00,0.00
8,18.0.2-ea,binarytrees.java 21,1.952171,1837,1693993293.109430,-,-,2440,70.52,3462,1895,1.16,9326,0,19,629,458,104,502,2,1116,71,578,0.00,0.87,0.43,0.21,2.24,0.02,11.86,2.00,11.41,13.12,0.29,1.91,14.16,96,97,96.76,300,300,326.06,98.51,2.93,2.56,0.16,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.36,57.18,0.07,5.65,0.00,0.00
9,18.0.2-ea,binarytrees.java 21,1.981071,1444,1693993295.120688,-,-,2350,69.94,3361,1896,1.19,7611,0,10,1110,753,166,437,0,1088,80,628,0.00,0.93,0.61,0.22,1.66,0.00,11.18,1.89,13.08,12.86,0.19,1.67,15.35,96,96,96.77,300,300,322.86,98.47,2.96,2.76,0.27,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.50,54.24,0.07,5.66,0.00,0.00
10,18.0.2-ea,binarytrees.java 21,2.007477,2216,1693993297.161349,-,-,2334,69.71,3349,1896,1.18,7873,0,18,556,485,134,573,0,1027,72,647,0.00,1.00,0.52,0.14,1.92,0.00,10.91,2.12,13.16,12.63,0.17,1.61,15.88,91,95,96.59,300,300,319.21,98.52,3.11,3.02,0.07,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.00,53.68,0.07,5.68,0.00,0.00
