test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,14.0.2,binarytrees.java 21,0.99,0.40,0.65,0.10,0.03,0.29,6.18,2.22,0.09,6.55,2.10,3517774030 ns,16094950467,3.549 GHz,38280363356,2.33,4534.11 msec,1.289,16424113859,3.622 GHz,229,7835411611,96813932,4535.06 msec,1.289,964 C,5731526192,7477204,0.13%,0,9056560387,435970,435961,8,767320443,449281776,58.552,10509243715,406347093,3.87%,19991097,7996520,40.00%,11395988,11166018914,9599907,0.09%,37690,898363,2383.56%,0,0
2,14.0.2,binarytrees.java 21,0.99,0.39,0.66,0.11,0.03,0.26,6.65,2.36,0.10,6.75,2.11,3539457415 ns,16377956957,3.627 GHz,36549235857,2.29,4515.36 msec,1.276,15261712143,3.380 GHz,249,7295709022,90248883,4516.18 msec,1.276,833 C,5332269532,6731901,0.13%,0,8294367459,432500,432491,8,724932521,445569243,61.464,10261877788,411468902,4.01%,19048525,6824798,35.83%,12322649,10971511518,8790730,0.08%,35015,961574,2746.18%,0,0
3,14.0.2,binarytrees.java 21,0.99,0.39,0.65,0.09,0.03,0.29,6.54,2.32,0.08,6.74,2.11,3543225121 ns,16700454754,3.665 GHz,38417772836,2.32,4557.02 msec,1.286,17000092742,3.730 GHz,209,8129603002,99478472,4557.69 msec,1.286,747 C,5691742490,6899982,0.12%,0,9286061456,433118,433109,8,728731094,447311268,61.382,10489703013,406459180,3.87%,19986794,8487193,42.46%,16809298,10903477465,8684191,0.08%,338295,530585,156.84%,0,10
4,14.0.2,binarytrees.java 21,0.99,0.39,0.65,0.10,0.03,0.27,6.38,2.23,0.12,6.62,2.09,3581006667 ns,17015056611,3.731 GHz,39734610819,2.43,4559.88 msec,1.273,16831999231,3.691 GHz,259,7871673588,94603946,4560.73 msec,1.274,676 C,5647524279,6208906,0.11%,0,8859525353,432783,432774,8,794611927,491441577,61.847,10565435852,417716803,3.95%,21074277,7081534,33.60%,15772262,10726586072,7952962,0.07%,67867,980465,1444.69%,0,0
5,14.0.2,binarytrees.java 21,0.99,0.40,0.64,0.15,0.02,0.23,6.34,2.20,0.11,6.37,2.10,3712611724 ns,17591881951,3.725 GHz,40394822836,2.37,4722.61 msec,1.272,17867132382,3.783 GHz,238,8329973172,103781646,4723.45 msec,1.272,619 C,6030227644,7703002,0.13%,0,8967411930,435600,435587,12,773227982,474906206,61.419,10409879961,410786562,3.95%,18964189,6970756,36.76%,13705929,10981996811,9010450,0.08%,47377,856527,1807.90%,0,0
6,14.0.2,binarytrees.java 21,0.99,0.39,0.66,0.09,0.03,0.28,6.36,2.24,0.12,6.40,2.09,3594518545 ns,16073389601,3.493 GHz,37926374490,2.43,4600.69 msec,1.280,16327821832,3.549 GHz,230,7398181065,91925821,4601.44 msec,1.280,600 C,5507768792,6584382,0.12%,0,8316542208,432752,432743,8,746836826,450882318,60.372,10244861486,391470592,3.82%,21428445,9685896,45.20%,15662024,11189657944,9658895,0.09%,85344,1106082,1296.03%,0,0
7,14.0.2,binarytrees.java 21,0.99,0.40,0.63,0.13,0.03,0.26,6.32,2.10,0.11,6.24,2.07,3687765475 ns,17043714304,3.629 GHz,39985927124,2.44,4696.10 msec,1.273,17240555889,3.671 GHz,251,8334695895,93771149,4696.96 msec,1.274,566 C,5678808146,4954674,0.09%,0,8605505919,435213,435204,8,744132268,464711737,62.450,10410854147,401680653,3.86%,21798061,7551943,34.65%,17312546,10919821412,9124884,0.08%,72738,810881,1114.80%,0,0
8,14.0.2,binarytrees.java 21,0.99,0.39,0.66,0.10,0.03,0.29,6.48,2.27,0.12,6.31,2.03,3712456788 ns,17114623610,3.627 GHz,40981570395,2.50,4718.32 msec,1.271,17275153474,3.661 GHz,246,8374017240,97584174,4719.12 msec,1.271,564 C,5632244098,7161956,0.13%,0,8913385118,435669,435660,8,771855312,470746763,60.989,10295246360,401776029,3.90%,17969002,6645355,36.98%,11625556,10740649630,8460176,0.08%,105672,1402353,1327.08%,0,0
9,14.0.2,binarytrees.java 21,0.99,0.39,0.64,0.15,0.03,0.25,6.26,2.28,0.11,5.97,2.01,3886795550 ns,15775966788,3.245 GHz,36947386478,2.29,4861.71 msec,1.251,15645062178,3.218 GHz,231,7623835140,97489704,4862.55 msec,1.251,559 C,5559980762,6140302,0.11%,0,8347590706,435748,435739,8,732855799,455109486,62.101,10372900049,405945947,3.91%,19488062,7339281,37.66%,8960860,11459064547,8614171,0.08%,104507,1397073,1336.82%,0,0
10,14.0.2,binarytrees.java 21,0.99,0.38,0.66,0.10,0.03,0.30,6.58,2.32,0.11,6.70,2.05,3672163883 ns,16634070131,3.578 GHz,40531892247,2.48,4648.55 msec,1.266,16707053528,3.594 GHz,222,8041869385,94476215,4649.30 msec,1.266,573 C,5498546446,7170849,0.13%,0,8516328388,432522,432513,8,747959437,460218282,61.530,10409921964,405271627,3.89%,17729709,6284978,35.45%,16228015,10861700808,8427253,0.08%,60163,1076133,1788.70%,0,0
