version,release_date,appplication,no_measurement,timestamp,pid,command,time,virt,res,shr,percent_cpu,percent_mem,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 33
1.8.0_362,2023-04-18,binarytrees.java 21,0,1690806134,161517,java,0:00.82,6832680.0,232032,18404.0,506.2,1.4,350,1,277,71,1,62.2,3.9,0.0,33.9,0.0,0.0,0.0,0.0,15795.0 MiB,6395.1 MiB,3675.7 MiB,5724.2 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11439.7 MiB,
1.8.0_362,2023-04-18,binarytrees.java 21,1,1690806136,161517,java,0:08.49,6832680.0,520140,18592.0,150.0,3.2,350,1,277,71,1,16.7,1.6,0.0,81.7,0.0,0.0,0.0,0.0,15795.0 MiB,6112.6 MiB,3958.1 MiB,5724.3 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11157.2 MiB,
1.8.0_362,2023-04-18,binarytrees.java 21,2,1690806137,161517,java,0:09.97,6832680.0,704164,18656.0,106.7,4.4,350,1,277,71,1,12.7,0.8,0.0,86.5,0.0,0.0,0.0,0.0,15795.0 MiB,5940.8 MiB,4137.8 MiB,5716.3 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,10985.4 MiB,
1.8.0_362,2023-04-18,binarytrees.java 21,3,1690806138,161517,java,0:11.16,6832680.0,716288,18656.0,106.7,4.4,350,1,277,71,1,13.2,1.6,0.0,85.3,0.0,0.0,0.0,0.0,15795.0 MiB,5928.6 MiB,4150.0 MiB,5716.3 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,10973.2 MiB,
9.0.4,2018-01-16,binarytrees.java 21,0,1690806548,162479,java,0:00.65,7962284.0,198556,17364.0,433.3,1.2,350,1,277,71,1,48.5,7.6,0.0,43.9,0.0,0.0,0.0,0.0,15795.0 MiB,6416.6 MiB,3651.6 MiB,5726.8 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11463.9 MiB,
9.0.4,2018-01-16,binarytrees.java 21,1,1690806549,162479,java,0:02.75,7962284.0,1600000,17488.0,93.8,10.6,350,1,277,71,1,14.2,0.8,0.0,85.0,0.0,0.0,0.0,0.0,15795.0 MiB,4922.8 MiB,5145.0 MiB,5727.2 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,9970.3 MiB,
9.0.4,2018-01-16,binarytrees.java 21,2,1690806551,162479,java,0:03.97,7962284.0,1600000,17488.0,106.7,10.6,350,1,277,71,1,13.3,0.8,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,4929.7 MiB,5146.1 MiB,5719.2 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,9977.2 MiB,
9.0.4,2018-01-16,binarytrees.java 21,3,1690806552,162479,java,0:05.19,7962284.0,1600000,17488.0,106.7,10.6,350,1,277,71,1,12.6,0.0,0.0,87.4,0.0,0.0,0.0,0.0,15795.0 MiB,4920.8 MiB,5154.9 MiB,5719.2 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,9968.3 MiB,
10.0.2,2018-07-17,binarytrees.java 21,0,1690806963,163470,java,0:00.70,7954164.0,207588,17440.0,437.5,1.3,351,1,278,71,1,50.8,6.2,0.0,43.0,0.0,0.0,0.0,0.0,15795.0 MiB,6433.8 MiB,3632.6 MiB,5728.6 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,11482.8 MiB,
10.0.2,2018-07-17,binarytrees.java 21,1,1690806964,163470,java,0:02.71,7954164.0,1600000,18140.0,100.0,10.6,351,1,278,71,1,13.5,0.0,0.0,86.5,0.0,0.0,0.0,0.0,15795.0 MiB,4955.5 MiB,5110.6 MiB,5728.9 MiB,4096.0 MiB,4096.0 MiB,0.0 MiB,10004.6 MiB,
