test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,11.0.20.1,binarytrees.java 21,3.512282,1935,1693997538.867528,-,-,675,16.80,4017,1896,2.30,3405,0,0,250,237,107,315,0,923,0,1103,0.00,0.22,0.20,0.10,0.62,0.00,7.68,0.00,74.25,13.61,0.17,0.77,68.65,71,72,98.26,300,300,117.56,99.34,1.52,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.11,64.58,0.05,5.92,0.00,0.00
2,11.0.20.1,binarytrees.java 21,3.502588,2174,1693997542.407810,-,-,680,16.95,4012,1896,2.29,3392,0,1,209,225,119,271,5,1024,8,1090,0.00,0.25,0.22,0.11,0.50,0.01,8.29,0.22,73.32,13.74,0.18,0.65,68.48,75,80,98.04,300,300,118.25,99.31,1.70,1.65,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.85,65.35,0.06,5.93,0.00,0.00
3,11.0.20.1,binarytrees.java 21,3.502868,1782,1693997545.943972,-,-,672,16.76,4009,1896,2.32,5553,0,0,212,216,103,439,0,1328,175,2267,0.00,0.26,0.18,0.09,0.91,0.00,9.47,3.59,68.56,14.14,0.14,1.01,67.95,79,79,97.81,300,300,118.25,99.02,1.79,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.32,65.90,0.06,5.93,0.00,0.00
4,11.0.20.1,binarytrees.java 21,3.509583,1709,1693997549.485524,-,-,674,16.82,4009,1896,2.30,3448,0,6,249,324,99,309,0,1041,7,1107,0.00,0.42,0.23,0.11,0.63,0.00,8.07,0.13,73.47,14.12,0.17,0.77,68.13,83,85,97.79,300,300,118.40,99.35,1.87,1.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.96,66.47,0.06,5.95,0.00,0.00
5,11.0.20.1,binarytrees.java 21,3.611959,1783,1693997553.129752,-,-,654,16.68,3923,1896,2.30,8389,0,4,165,273,119,638,0,1851,512,3782,0.00,0.16,0.35,0.10,1.24,0.00,12.15,6.96,62.10,14.90,0.20,1.52,66.70,84,84,98.12,300,300,117.98,98.51,1.74,1.70,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.31,64.29,0.06,6.01,0.00,0.00
6,11.0.20.1,binarytrees.java 21,3.678021,1565,1693997556.841149,-,-,644,16.66,3864,1896,2.27,8884,0,1,173,242,167,567,0,1802,564,4155,0.00,0.23,0.22,0.11,0.97,0.00,11.90,8.22,61.48,14.75,0.18,1.11,67.30,85,85,98.31,300,300,117.61,98.60,1.52,1.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.98,62.87,0.06,6.04,0.00,0.00
7,11.0.20.1,binarytrees.java 21,3.568215,2163,1693997560.442662,-,-,657,16.65,3949,1896,2.32,6466,0,2,178,215,159,525,1,1458,333,2633,0.00,0.22,0.20,0.11,0.98,0.00,10.40,7.22,64.01,14.43,0.15,1.37,67.41,88,88,97.64,300,300,117.76,98.77,1.88,1.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.09,65.20,0.07,5.98,0.00,0.00
8,11.0.20.1,binarytrees.java 21,3.645592,1805,1693997564.116758,-,-,657,16.89,3889,1896,2.26,6369,0,23,344,519,341,727,0,1537,244,2418,0.00,0.11,0.41,0.28,1.20,0.00,10.78,5.58,64.57,14.16,0.36,1.22,67.38,88,89,97.87,300,300,118.15,98.94,1.76,1.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.50,64.40,0.07,6.04,0.00,0.00
9,11.0.20.1,binarytrees.java 21,3.621256,1935,1693997567.771584,-,-,653,16.75,3899,1896,2.31,8043,0,130,335,209,152,642,0,1606,427,3380,0.01,0.55,0.33,0.11,1.12,0.00,10.77,8.02,62.13,15.21,0.16,1.30,66.57,88,88,97.73,300,300,118.25,98.77,1.79,1.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.53,64.54,0.07,6.03,0.00,0.00
10,11.0.20.1,binarytrees.java 21,3.676989,2364,1693997571.478783,-,-,651,16.89,3855,1896,2.28,6414,0,14,360,405,223,640,0,1423,287,2528,0.00,0.11,0.34,0.20,1.20,0.00,9.94,5.25,65.90,14.01,0.17,1.32,67.60,83,88,97.93,300,300,117.86,98.94,1.65,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.35,63.11,0.06,6.06,0.00,0.00
