version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1.8.0_362,binarytrees.java 21,4.83294,1854.2,1690805890.027591,0.00,0.00,1264.80,33.19,3810.90,1896.00,1.26,35265.70,0.00,7.10,176.30,206.00,147.70,596.20,0.20,1915.10,318.80,3467.30,0.00,0.20,0.16,0.07,0.87,0.00,8.44,4.25,52.63,11.36,0.07,1.06,54.33,84.30,85.40,98.44,391.50,363.20,172.48,99.01,1.35,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107.49,93.29,0.07,7.05,0.00,0.00
9.0.4,binarytrees.java 21,4.36652,1795.8,1690806304.338706,0.00,0.00,673.30,17.33,3884.70,1896.00,2.40,7933.40,0.00,41.30,390.40,392.10,228.40,712.40,1.70,1815.20,383.00,3727.90,0.00,0.21,0.20,0.13,1.16,0.00,9.20,4.70,66.89,14.00,0.35,1.24,67.07,83.20,84.10,98.25,380.00,300.00,119.04,98.98,1.49,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.97,78.09,0.07,6.56,0.00,0.00
10.0.2,binarytrees.java 21,4.41009,1778.1,1690806718.608244,0.00,0.00,666.80,17.15,3886.60,1896.00,2.43,8254.20,0.00,26.10,375.40,363.10,231.80,772.20,1.70,1803.10,433.90,3975.30,0.00,0.23,0.18,0.15,1.15,0.00,9.34,5.42,66.17,14.06,0.33,1.32,67.13,82.50,83.30,98.15,310.00,300.00,118.28,98.89,1.56,1.51,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.54,79.51,0.07,6.59,0.00,0.00
11.0.19,binarytrees.java 21,3.57459,2413.5,1690807124.542811,0.00,0.00,663.20,16.72,3967.30,1895.90,2.29,5107.90,0.00,16.60,160.00,210.90,124.80,418.30,0.60,1288.70,150.20,2151.60,0.00,0.20,0.25,0.10,0.80,0.00,9.52,2.76,69.47,14.03,0.16,1.00,68.09,80.10,82.70,97.85,300.00,300.00,117.18,98.99,1.77,1.72,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.76,64.96,0.06,5.98,0.00,0.00
12.0.2,binarytrees.java 21,3.5964,1914.7,1690807528.883082,0.00,0.00,663.80,16.77,3959.10,1896.00,2.29,5896.10,0.00,34.80,288.90,262.00,139.50,521.50,0.10,1399.00,240.30,2552.60,0.00,0.23,0.29,0.11,0.93,0.00,9.68,3.82,68.00,14.06,0.19,1.10,67.88,80.60,81.80,97.90,300.00,300.00,116.83,98.90,1.81,1.77,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.03,65.17,0.07,5.99,0.00,0.00
13.0.2,binarytrees.java 21,3.5753,1949.6,1690807934.267024,0.00,0.00,640.70,16.10,3979.10,1896.00,2.35,4821.10,0.00,52.00,337.70,268.80,150.80,508.30,0.10,1178.90,139.40,2005.10,0.00,0.27,0.31,0.12,0.84,0.00,8.65,2.83,70.72,14.31,0.17,1.04,68.38,80.10,81.50,97.88,300.00,300.00,115.28,99.07,1.77,1.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.18,65.35,0.07,5.96,0.00,0.00
14.0.2,binarytrees.java 21,3.5594,1984.4,1690808339.458368,0.00,0.00,646.50,16.30,3966.30,1895.90,2.38,5884.20,0.00,41.00,467.00,438.70,159.20,597.90,1.40,1429.50,243.90,2681.90,0.00,0.81,0.82,0.12,1.00,0.01,9.29,3.87,67.61,15.62,0.17,1.23,66.68,81.30,82.50,97.95,300.00,300.00,115.64,98.94,1.78,1.73,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.02,64.25,0.06,5.95,0.00,0.00
15.0.2,binarytrees.java 21,3.46978,1697.6,1690808742.605097,0.00,0.00,647.80,16.26,3984.50,1896.00,2.32,5020.60,0.00,12.80,408.60,356.40,140.70,481.10,0.50,1341.20,166.60,2169.50,0.00,1.01,0.75,0.10,0.88,0.00,9.84,2.80,68.20,15.56,0.14,1.11,66.92,80.40,82.30,97.88,300.00,300.00,115.18,98.59,1.83,1.70,0.10,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.65,62.12,0.06,5.86,0.00,0.00
16.0.2,binarytrees.java 21,3.49404,1905.8,1690809145.862659,0.00,0.00,643.80,16.22,3969.30,1896.00,2.30,5617.60,0.00,14.30,509.10,408.90,141.50,558.40,0.00,1438.80,209.80,2415.60,0.00,0.90,0.73,0.11,1.00,0.00,10.17,3.16,67.55,15.32,0.14,1.23,67.09,80.40,82.00,97.92,300.00,300.00,114.92,98.62,1.81,1.64,0.10,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.62,63.02,0.06,5.89,0.00,0.00
17.0.7,binarytrees.java 21,3.47214,1793.8,1690809548.817149,0.00,0.00,647.00,16.29,3970.60,1896.00,2.30,5079.80,0.00,10.70,364.60,415.20,118.30,516.20,0.10,1321.70,175.80,2213.90,0.00,0.73,0.88,0.09,0.96,0.00,9.40,2.95,68.54,15.41,0.12,1.13,67.05,81.80,82.80,97.86,300.00,300.00,115.18,99.00,1.82,1.77,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.72,63.20,0.06,5.86,0.00,0.00
