version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1.8.0_382,binarytrees.java 21,4.81255,1918.6,1693298473.438678,0.00,0.00,1273.70,33.43,3809.40,1896.00,1.25,35531.40,0.00,4.90,163.90,261.10,161.90,529.00,0.40,1745.30,321.30,3404.30,0.00,0.15,0.18,0.07,0.73,0.00,7.86,4.14,53.24,11.31,0.07,0.88,54.31,85.40,88.10,98.58,450.00,375.00,173.24,99.01,1.20,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.63,92.59,0.06,7.00,0.00,0.00
9.0.4,binarytrees.java 21,4.3946,1919.3,1693298638.492553,0.00,0.00,673.40,17.43,3863.40,1896.00,2.39,8499.70,0.00,32.50,331.80,399.90,205.00,818.10,0.60,1962.70,435.20,3972.50,0.00,0.19,0.21,0.12,1.31,0.00,9.45,5.38,65.72,14.02,0.31,1.50,66.74,88.90,90.00,98.30,450.00,300.00,119.31,98.90,1.40,1.37,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.88,77.99,0.07,6.50,0.00,0.00
10.0.2,binarytrees.java 21,4.47619,1918.8,1693298804.310499,0.00,0.00,663.40,17.19,3858.00,1896.00,2.41,7662.30,0.00,29.40,360.10,385.00,220.80,733.90,1.10,1744.90,362.70,3573.60,0.00,0.25,0.20,0.14,1.04,0.01,8.66,5.00,67.34,13.90,0.34,1.15,67.42,87.80,89.00,98.24,450.00,300.00,118.17,99.01,1.44,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.05,78.91,0.07,6.57,0.00,0.00
11.0.20,binarytrees.java 21,3.60863,1926,1693298961.345128,0.00,0.00,657.70,16.84,3905.70,1896.00,2.30,7044.70,0.00,10.70,160.40,232.30,148.60,530.40,0.20,1758.90,355.80,3026.90,0.00,0.16,0.26,0.10,1.07,0.00,11.17,5.03,65.21,14.26,0.16,1.38,67.35,85.30,87.80,98.10,450.00,300.00,118.02,98.95,1.61,1.57,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.17,63.35,0.07,5.93,0.00,0.00
12.0.2,binarytrees.java 21,3.55705,1721.8,1693299117.909224,0.00,0.00,658.20,16.69,3945.20,1896.00,2.32,6136.40,0.00,35.10,272.80,267.20,143.80,579.00,0.80,1432.80,250.80,2668.00,0.00,0.28,0.25,0.11,0.98,0.00,9.61,4.14,67.76,14.29,0.17,1.22,67.63,88.50,89.50,98.03,450.00,300.00,117.21,98.89,1.62,1.57,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.45,64.71,0.07,5.88,0.00,0.00
13.0.2,binarytrees.java 21,3.59196,1834.8,1693299274.889512,0.00,0.00,635.50,16.14,3937.90,1896.00,2.36,5787.60,0.00,36.60,276.40,246.90,136.70,514.70,0.90,1359.00,235.70,2584.40,0.00,0.24,0.26,0.10,0.86,0.01,9.28,4.14,68.81,14.18,0.14,0.99,68.54,88.20,89.60,98.11,450.00,300.00,115.07,98.98,1.56,1.51,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.09,64.29,0.07,5.90,0.00,0.00
14.0.2,binarytrees.java 21,3.58301,1959.6,1693299431.733853,0.00,0.00,642.80,16.31,3940.30,1896.00,2.38,6061.70,0.00,40.60,437.10,420.40,154.40,591.50,0.70,1470.70,243.40,2696.80,0.00,0.73,0.83,0.11,1.00,0.00,9.12,4.03,67.70,15.50,0.14,1.16,66.89,87.00,88.50,98.01,450.00,300.00,115.69,98.97,1.62,1.58,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.10,64.28,0.07,5.89,0.00,0.00
15.0.2,binarytrees.java 21,3.44603,1911.5,1693299587.235924,0.00,0.00,648.20,16.36,3963.80,1896.00,2.33,5527.20,0.00,16.80,417.30,421.90,150.40,500.50,1.00,1452.80,203.50,2360.90,0.00,0.85,0.76,0.11,0.94,0.00,10.13,3.43,67.27,15.55,0.15,1.20,66.74,85.90,87.70,98.05,450.00,300.00,115.89,98.61,1.62,1.48,0.11,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.14,61.72,0.06,5.78,0.00,0.00
16.0.2,binarytrees.java 21,3.54292,1943.4,1693299743.609921,0.00,0.00,639.20,16.23,3939.80,1896.00,2.28,6136.40,0.00,13.30,482.70,397.60,144.60,587.60,0.20,1544.00,263.40,2620.70,0.00,1.00,0.67,0.10,1.02,0.00,10.21,4.58,66.02,15.58,0.16,1.26,66.77,86.70,89.60,98.03,450.00,300.00,115.47,98.59,1.64,1.54,0.13,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.89,63.23,0.07,5.85,0.00,0.00
17.0.8,binarytrees.java 21,3.48391,1841.3,1693299899.423620,0.00,0.00,636.20,16.12,3945.90,1896.00,2.31,5675.10,0.00,19.10,355.60,429.10,194.50,525.20,0.70,1461.70,242.80,2595.80,0.00,0.84,1.00,0.11,0.91,0.00,9.96,4.07,66.83,15.71,0.13,1.10,66.95,85.90,88.40,98.08,450.00,300.00,114.56,98.94,1.58,1.54,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.76,62.26,0.07,5.80,0.00,0.00
18.0.2-ea,binarytrees.java 21,3.5642,1975.4,1693300055.982598,0.00,0.00,623.30,15.84,3936.20,1896.00,2.31,6812.50,0.00,13.00,613.00,514.40,164.30,678.20,0.20,1694.70,326.10,2945.90,0.00,1.24,0.78,0.11,1.21,0.00,11.02,5.21,64.40,16.17,0.13,1.46,66.40,86.20,87.70,98.06,448.30,313.30,114.01,98.50,1.63,1.47,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.43,62.73,0.07,5.85,0.00,0.00
19.0.2,binarytrees.java 21,3.50392,2082.2,1693300211.966911,0.00,0.00,646.40,16.40,3941.80,1896.00,2.29,5849.50,0.00,15.30,435.30,417.50,145.00,553.10,0.80,1397.70,215.10,2502.30,0.00,1.04,0.88,0.12,0.90,0.00,9.75,3.81,66.93,15.79,0.17,0.99,66.66,88.00,89.30,98.09,450.00,315.00,115.91,98.98,1.60,1.56,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.23,62.67,0.07,5.82,0.00,0.00
20.0.2,binarytrees.java 21,3.52177,2119.2,1693300368.134881,0.00,0.00,645.00,16.37,3939.60,1896.00,2.35,5569.70,0.00,17.60,498.50,481.60,133.30,559.80,0.00,1499.10,217.50,2431.60,0.00,0.88,0.98,0.09,0.95,0.00,9.97,3.65,66.97,15.71,0.12,1.06,66.74,84.50,88.50,98.08,450.00,300.00,115.64,99.01,1.58,1.55,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.73,63.11,0.07,5.84,0.00,0.00
