test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,10.0.2,binarytrees.java 21,4.263196,1733,1690806678.497186,-,-,685,17.10,4005,1896,2.45,3405,0,21,288,286,157,526,2,1040,9,1433,0.00,0.22,0.21,0.11,0.73,0.00,6.47,0.07,74.93,13.68,0.38,0.79,68.05,70,70,98.31,400,300,118.20,99.15,1.46,1.42,0.12,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.63,81.05,0.07,6.48,0.00,0.00
2,10.0.2,binarytrees.java 21,4.239328,1363,1690806682.766781,-,-,694,17.35,4000,1896,2.43,3552,0,28,466,561,326,704,5,1090,6,1316,0.00,0.27,0.24,0.24,1.04,0.00,6.62,0.07,74.01,13.61,0.48,1.03,67.52,75,75,98.29,300,300,119.23,99.32,1.46,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.89,82.45,0.06,6.47,0.00,0.00
3,10.0.2,binarytrees.java 21,4.250601,1739,1690806687.049032,-,-,685,17.16,3989,1896,2.47,7023,0,35,268,267,161,687,0,1502,425,3597,0.00,0.19,0.13,0.11,1.08,0.00,7.93,5.38,67.83,13.90,0.34,1.11,67.49,82,83,98.08,300,300,118.58,98.89,1.56,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.47,82.16,0.07,6.47,0.00,0.00
4,10.0.2,binarytrees.java 21,4.288319,1646,1690806691.368555,-,-,685,17.23,3976,1896,2.43,8626,0,19,362,284,222,727,0,1877,419,4170,0.00,0.20,0.14,0.16,1.24,0.00,10.55,6.09,64.19,13.93,0.26,1.36,67.21,81,81,97.96,300,300,118.73,98.80,1.64,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.20,83.58,0.07,6.50,0.00,0.00
5,10.0.2,binarytrees.java 21,4.416894,1772,1690806695.814921,-,-,668,17.16,3891,1896,2.42,10295,0,48,462,373,224,832,6,2210,543,5087,0.00,0.36,0.21,0.13,1.30,0.01,11.30,5.76,63.53,14.45,0.23,1.59,66.57,86,86,98.26,300,300,117.96,98.67,1.61,1.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.65,80.25,0.07,6.60,0.00,0.00
6,10.0.2,binarytrees.java 21,4.510184,2049,1690806700.355360,-,-,650,17.06,3813,1896,2.43,12140,0,18,307,346,257,956,0,2419,812,6210,0.00,0.26,0.14,0.14,1.37,0.00,11.56,9.05,60.20,14.54,0.19,1.80,66.41,85,85,98.27,300,300,118.15,98.55,1.63,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.72,77.47,0.07,6.67,0.00,0.00
7,10.0.2,binarytrees.java 21,4.502897,1387,1690806704.889840,-,-,651,17.03,3821,1896,2.44,9533,0,22,414,368,173,779,0,2078,578,4459,0.00,0.26,0.16,0.10,1.14,0.00,10.01,8.19,62.92,14.45,0.33,1.42,66.78,87,87,98.18,300,300,118.41,98.80,1.52,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.16,77.80,0.07,6.66,0.00,0.00
8,10.0.2,binarytrees.java 21,4.493731,1888,1690806709.415091,-,-,650,17.07,3807,1896,2.45,7339,0,27,281,327,214,681,2,1752,310,3488,0.00,0.18,0.18,0.16,0.96,0.00,9.28,4.32,67.68,13.86,0.33,1.02,67.72,87,88,98.07,300,300,117.95,99.00,1.54,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.24,76.90,0.07,6.65,0.00,0.00
9,10.0.2,binarytrees.java 21,4.611400,1799,1690806714.056317,-,-,645,17.17,3758,1896,2.40,12642,0,32,374,354,279,987,1,2411,850,6359,0.00,0.31,0.17,0.16,1.44,0.00,11.35,8.71,60.50,14.45,0.29,1.67,66.42,83,88,98.13,300,300,117.59,98.73,1.64,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.48,75.87,0.08,6.74,0.00,0.00
10,10.0.2,binarytrees.java 21,4.524345,2405,1690806718.608244,-,-,655,17.22,3806,1896,2.42,7987,0,11,532,465,305,843,1,1652,387,3634,0.00,0.10,0.21,0.24,1.23,0.01,8.35,6.58,65.88,13.75,0.49,1.38,67.16,89,90,97.96,300,300,118.01,98.96,1.50,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.93,77.59,0.07,6.68,0.00,0.00
