,time_elapsed,Pkg_J,Cor_J,RAM_J,GFX_J
time_elapsed_sec,0.9995322754878961,,,,
GFX%rc6,0.9307522058651237,,,,-0.7955373104483383
CPU%c7,0.9208145675179092,,,,-0.7613451764024205
C10%,0.9075318110752725,,,,-0.7911873544816651
IPC,0.830823644118288,,,,-0.7261609263434806
IPC_perf,0.8269969861470459,,,,-0.7508169116090435
Retiring,0.8266651894525677,,,,
insn_per_cycle,0.8209820988184166,,,,-0.7382607011344913
Turbo_Utilization,0.7966744649092117,,,-0.7011198378944941,-0.8360519090709777
ILP,0.7714165168799818,,,,
freq_cycles_GHz,0.708892947577141,,,-0.9030030326912741,-0.7248748669034868
freq_cpu_cycles_GHz,0.7075039117188614,,,-0.8969501832886487,-0.7018920175693397
LLC_loads,-0.7195125843429178,,,0.8955136448657892,0.7918416765676074
C1%,-0.720037579593457,,,,
CPU%c6,-0.734530713605918,,,0.8382419720134812,0.7102554168474476
LLC_load_misses,-0.763299413281964,,,0.814558885536562,0.8379799953732293
Backend_Bound,-0.7729263159033245,,,,
CoreTmp,-0.7831627338194408,,,0.8229415878557005,0.8086846421033814
PkgTmp,-0.7845272081073846,,,0.8294895751959428,0.8131338897881984
CPI,-0.8306747206976464,,,,0.7251635602607694
C6%,-0.843684669710143,,,0.7381304623097632,0.7609167864395788
iTLB_loads,-0.879911953500448,,,,
C3%,-0.8907647308640645,,,,
L1D_Cache_Fill_BW,-0.8913624692618484,,,0.7613983348308601,0.7523761518524148
percent_cpu,-0.9018277930470493,,,,0.7309443961248613
no_cpus,-0.9057739830480404,,,,0.7684172155610095
no_cpus_task_clock,-0.9057879497542337,,,,0.7684185591713052
Busy%,-0.9065312113047697,,,,0.7682093249108277
Avg_MHz,-0.9107593009021419,,,,0.7620602111939613
Totl%C0,-0.9153111123156835,,,,0.7612192510074424
CPUGFX%,-0.9309579011746716,,,,0.7925990191899401
GFX%C0,-0.9334450915445108,,,,0.7890283802895433
Cor_J,,0.9879112798498638,,0.8168700708180008,0.7196460756546329
branch_misses,,0.8797977130616945,0.9292751912344897,0.7654423444604495,0.8009234974766525
mem_stores,,0.8401994882351975,0.8897000171995327,0.9393849551485309,0.8080638615741368
branches,,0.8325293273750346,0.8861092874405205,0.9339608579653245,0.7772753761724832
IRQ,,0.8152300447766093,0.8313169530355574,,
RAM_J,,0.7875302119844758,0.8168700708180008,,
instructions,,0.7738867844672523,0.8267667440087609,,0.7926555625222615
cpu_migrations,,0.7701238024916598,0.8078572460139009,0.9264841064196127,
dTLB_loads,,0.7482717250140062,0.7713918430892739,,0.705180959316822
cache_references,,0.7172076218738623,0.7668554499095049,0.9832294532990576,
Pkg_J,,,0.9879112798498638,0.7875302119844758,
time,,,0.7707037697352672,,0.7922244490119871
L1_dcache_load_misses,,,0.7415878863933062,0.9724767368574663,0.7014504473284822
cache_misses,,,0.7367790988694529,0.9524315677584666,0.7505794601978106
L1_dcache_loads,,,0.7312855824879507,,0.7301357343923865
GFX_J,,,0.7196460756546329,,
CPU_Utilization,,,-0.7293450949316584,-0.9787889453648041,
dTLB_load_misses,,,,0.9313924108430971,
percent_cache_misses,,,,0.9188927366175448,0.730776936382273
DATA,,,,0.9001041999330947,
minor_faults,,,,0.8911242322727726,
page_faults,,,,0.8910994211255876,
C8%,,,,0.890155218752453,
res,,,,0.8895333235325917,
percent_mem,,,,0.8877797434312918,
Kernel_Utilization,,,,0.8820922162144449,
Frontend_Bound,,,,0.8578973218024082,
L1_icache_load_misses,,,,0.7706261671568629,0.7492712971242166
C9%,,,,0.7233434912790141,
iTLB_load_misses,,,,0.7165412413363316,
Any%C0,,,,-0.7261948789214236,
task_clock_msec,,,,,0.8323329261963255
cpu_clock_msec,,,,,0.8323252113005946
ref_cycles,,,,,0.8253397474210695
bus_cycles,,,,,0.8242069188791705
cpu_cycles,,,,,0.819744333923149
cycles,,,,,0.816038808456432
