test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,9.0.4,fasta.java 25000000 > test_fasta.txt,17.923725,1761,1690981194.351381,-,-,774,19.56,3955,1896,1.74,801753,0,640459,51875,5125,5205,18027,29,21067,316,59963,2.27,2.53,0.25,0.19,1.42,0.00,14.51,0.72,60.59,20.61,0.28,1.44,58.11,78,78,93.59,300,300,139.71,98.25,5.91,5.73,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,394.07,330.97,1.19,13.42,0.00,0.00
2,9.0.4,fasta.java 25000000 > test_fasta.txt,19.287952,2359,1690981213.673429,-,-,774,20.07,3860,1896,1.67,949849,0,1053318,65963,6337,5287,19247,28,28035,1030,62891,2.51,2.35,0.29,0.22,1.88,0.00,18.02,2.45,54.42,21.24,0.27,2.28,56.15,83,83,93.36,300,300,142.22,98.09,6.15,5.93,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,410.32,339.57,1.38,14.55,0.00,0.00
3,9.0.4,fasta.java 25000000 > test_fasta.txt,19.853950,1651,1690981233.556477,-,-,771,20.19,3820,1896,1.64,1033658,0,1247536,59303,6137,5667,18937,15,23919,533,65015,2.60,2.01,0.26,0.23,1.77,0.00,15.73,1.41,58.11,20.64,0.28,2.28,56.61,86,86,93.31,300,300,142.19,98.37,6.11,5.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,409.58,336.66,1.42,14.94,0.00,0.00
4,9.0.4,fasta.java 25000000 > test_fasta.txt,19.373225,1690,1690981252.961739,-,-,756,19.90,3799,1896,1.69,940945,0,1018182,74322,6207,6026,17810,21,24163,679,62552,2.47,2.40,0.26,0.20,1.72,0.00,15.36,1.91,58.01,20.96,0.28,2.33,56.53,84,84,93.56,300,300,143.31,98.52,5.90,5.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,398.21,327.26,1.34,14.47,0.00,0.00
5,9.0.4,fasta.java 25000000 > test_fasta.txt,19.539806,1437,1690981272.531364,-,-,726,19.33,3755,1896,1.73,829186,0,740496,66182,5207,5155,17970,7,23956,747,62181,2.18,2.38,0.20,0.17,1.55,0.00,15.65,2.49,58.04,20.83,0.24,1.90,57.70,81,81,93.67,300,300,141.08,98.55,5.80,5.63,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,386.96,315.45,1.34,14.58,0.00,0.00
6,9.0.4,fasta.java 25000000 > test_fasta.txt,23.983509,1361,1690981296.555585,-,-,574,18.94,3029,1896,1.78,840437,0,678851,66471,6280,4712,16333,12,22560,155,63815,1.66,3.05,0.28,0.18,1.12,0.00,12.91,0.27,63.29,20.86,0.23,1.30,58.67,71,72,93.74,300,300,138.29,99.50,5.66,5.63,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,299.98,212.75,1.41,17.92,0.00,0.00
7,9.0.4,fasta.java 25000000 > test_fasta.txt,24.209895,1363,1690981320.801667,-,-,564,19.06,2961,1896,1.79,820284,0,727120,70473,6514,5284,18596,18,25946,136,59138,1.68,2.92,0.33,0.18,1.16,0.00,13.91,0.38,62.12,20.93,0.23,1.37,58.41,70,70,93.87,300,300,138.75,99.59,5.56,5.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,288.82,200.97,1.36,17.97,0.00,0.00
8,9.0.4,fasta.java 25000000 > test_fasta.txt,24.720582,2327,1690981345.559601,-,-,572,19.30,2963,1896,1.75,882471,0,850917,76256,6334,6008,18289,28,26031,120,59881,1.71,3.11,0.35,0.18,1.16,0.00,14.54,0.28,61.13,20.99,0.26,1.46,57.99,68,69,93.73,300,300,139.10,99.49,5.70,5.68,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,295.04,205.25,1.42,18.49,0.00,0.00
9,9.0.4,fasta.java 25000000 > test_fasta.txt,24.096605,2856,1690981369.721442,-,-,562,18.97,2963,1896,1.80,784065,0,677322,62605,7200,4492,17832,27,25811,134,61094,1.63,3.21,0.37,0.18,1.24,0.00,14.81,0.34,60.93,21.83,0.22,1.52,57.46,67,67,93.99,300,300,139.41,99.56,5.48,5.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,287.58,200.11,1.33,17.90,0.00,0.00
10,9.0.4,fasta.java 25000000 > test_fasta.txt,24.588908,2486,1690981394.373052,-,-,577,19.49,2960,1896,1.75,898033,0,943039,72186,5734,5418,18337,18,23281,163,66062,1.84,3.10,0.48,0.17,1.33,0.00,13.34,0.27,61.86,20.76,0.23,1.58,57.94,70,70,93.79,300,300,139.48,99.67,5.65,5.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,293.27,204.07,1.40,18.36,0.00,0.00
