version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1.8.0_382,nbody.java 50000000,1.00,0.43,0.58,0.02,0.00,0.39,5.27,2.24,0.01,0.22,2.15,3981745375.60,15923218980.90,3.99,36792516352.80,2.29,3993.87,1.00,15943698046.30,3.99,22.40,7381734991.60,93471368.70,3993.98,1.00,600.20,2847817958.90,332845.60,0.01,0.00,4045437070.10,3058.70,3049.10,8.60,320528.80,51973.20,16.46,9105149569.30,150164.40,0.00,21977.00,1992.20,10.96,443937.90,9149042746.00,116.80,0.00,5350.70,5795.80,117.11,0.00,0.00
9.0.4,nbody.java 50000000,1.00,0.45,0.57,0.03,0.00,0.40,5.30,2.20,0.01,0.30,2.15,3982960542.30,15822505874.70,3.93,34169745046.70,2.13,4025.27,1.01,15927794737.40,3.96,54.90,7416523352.70,93768832.20,4025.55,1.01,1126.50,2459788208.70,5579532.30,0.23,0.80,4061447222.90,4738.70,4728.30,8.40,30341303.20,1562068.50,5.17,9141741699.70,4380118.20,0.05,349164.40,14297.80,8.98,890330.70,9249798547.50,652.80,0.00,3974.20,6047.80,159.50,0.30,0.10
10.0.2,nbody.java 50000000,1.00,0.45,0.58,0.03,0.00,0.38,5.36,2.17,0.01,0.39,2.15,4033469286.50,16397034114.00,4.02,36015653601.40,2.22,4074.61,1.01,16396916941.30,4.02,39.70,7590620844.00,95689775.30,4074.87,1.01,1140.40,2701869249.80,4369572.40,0.16,1.20,4072053133.00,4669.00,4658.30,8.70,8563987.60,396617.60,8.07,10059238224.00,187180.00,0.00,32307.40,5552.00,17.13,502580.20,10078466647.20,436.50,0.00,5702.50,5303.60,94.97,0.40,0.10
11.0.20.1,nbody.java 50000000,1.00,0.43,0.59,0.03,0.01,0.37,5.37,2.28,0.00,0.14,2.16,4075081986.90,16365131132.30,3.99,38172597057.70,2.33,4098.97,1.01,16385900025.00,4.00,16.00,7607334916.00,96396488.30,4099.06,1.01,566.20,2503527547.40,104308.60,0.00,0.00,4065056470.50,3649.50,3638.90,8.60,875345.20,242868.60,22.09,9612668736.10,296014.60,0.00,38235.50,8713.10,14.56,497358.90,9522780337.80,1024.00,0.00,6235.90,7274.50,136.51,0.30,0.10
12.0.2,nbody.java 50000000,1.00,0.46,0.57,0.04,0.01,0.39,5.34,2.14,0.01,0.15,2.16,3868876150.40,15502864016.10,3.98,33848615687.30,2.17,3891.93,1.01,15524660812.70,3.99,21.90,7203875281.70,90747164.10,3892.09,1.01,573.70,1840729812.50,153665.30,0.01,0.00,4029550832.70,3812.70,3802.60,8.00,349881.40,57996.40,16.63,9417569086.40,160681.20,0.00,21445.40,2435.10,11.32,428537.20,9502390328.00,313.00,0.00,3375.40,5461.90,186.84,0.10,0.00
13.0.2,nbody.java 50000000,1.00,0.46,0.57,0.03,0.02,0.39,5.36,2.14,0.01,0.16,2.16,3866708799.80,15488101359.00,3.99,33730197304.60,2.17,3885.24,1.00,15433038007.10,3.97,13.50,7144066058.80,90527316.40,3885.38,1.00,576.00,1834403268.70,75017.90,0.00,0.00,4021714548.80,3727.60,3717.20,8.40,394760.80,56788.50,14.35,9400196223.20,160668.90,0.00,23600.70,2050.10,9.42,449152.00,9448209955.10,310.90,0.00,6043.50,5549.10,102.57,0.00,0.00
14.0.2,nbody.java 50000000,1.00,0.43,0.59,0.03,0.01,0.37,5.41,2.28,0.01,0.11,2.16,4018216987.40,16330280799.50,4.05,37735489176.80,2.33,4036.93,1.00,16305275242.30,4.04,14.20,7507750787.00,95078231.90,4037.06,1.00,610.20,2454178098.10,89686.60,0.00,0.00,4053612557.40,3786.10,3775.70,8.40,339024.90,50612.90,15.22,9370132359.60,159334.30,0.00,23097.60,2282.50,9.77,457058.70,9408753130.00,329.60,0.00,3874.50,4671.10,126.01,0.30,0.20
15.0.2,nbody.java 50000000,1.00,0.43,0.59,0.03,0.01,0.38,5.39,2.28,0.01,0.07,2.16,4123156240.80,16455684244.80,3.99,38345791178.40,2.32,4120.38,1.00,16475102444.50,4.00,17.10,7625471301.60,96609871.40,4120.49,1.00,616.00,2485262032.50,47653.80,0.00,0.00,4023660714.10,3568.40,3556.80,8.60,374145.20,55627.30,14.69,9541228495.60,157778.20,0.00,28690.30,11545.00,59.18,601272.70,9589045404.30,2788.10,0.00,3680.70,5848.10,171.62,0.30,0.10
16.0.2,nbody.java 50000000,1.00,0.43,0.59,0.04,0.01,0.37,5.40,2.33,0.00,0.00,2.16,4070944836.60,16368154041.60,4.03,38070031553.60,2.33,4061.82,1.00,16389771921.70,4.04,17.20,7601522664.50,96019384.40,4061.94,1.00,648.20,2497744815.80,56614.80,0.00,0.00,4044908238.50,3408.30,3398.80,8.50,503417.10,87663.80,13.76,9429503631.90,188472.00,0.00,20783.20,1796.20,9.14,438457.60,9464205473.90,2259.20,0.00,6943.40,6576.10,100.61,0.40,0.10
17.0.8.1,nbody.java 50000000,1.00,0.42,0.60,0.03,0.01,0.36,5.36,2.32,0.01,0.02,2.16,4069237748.40,16367294792.50,4.01,38615906476.90,2.37,4081.04,1.00,16385713454.90,4.02,16.60,7606794711.60,96386351.90,4081.16,1.00,665.60,2497758028.00,28108.70,0.00,0.00,4064181137.70,5269.10,5259.40,8.70,798036.50,231648.10,22.18,9557498189.70,288793.90,0.00,33785.00,8338.10,14.25,470856.90,9455926771.30,1168.00,0.00,8871.00,7515.10,115.79,0.30,0.20
