test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,9.0.4,nbody.java 50000000,1.00,0.45,0.57,0.03,0.00,0.40,5.31,2.17,0.02,0.32,2.15,3985133698 ns,15824984734,3.941 GHz,34438013346,2.15,4015.37 msec,1.008,15936755963,3.969 GHz,42,7398386762,93623628,4015.67 msec,1.008,1373 C,2460993025,5050135,0.21%,0,4075744902,4758,4748,8,30612839,1497752,4.893,9156317844,3410853,0.04%,113860,9955,8.74%,638870,9271807555,912,0.00%,4387,8659,197.38%,3,1
2,9.0.4,nbody.java 50000000,1.00,0.45,0.57,0.03,0.00,0.40,5.30,2.20,0.01,0.28,2.15,3984713902 ns,15842514281,3.934 GHz,34169214375,2.13,4026.78 msec,1.011,15953300169,3.962 GHz,46,7433213856,93826971,4027.09 msec,1.011,1316 C,2463527500,5785448,0.23%,0,4062900431,4759,4749,8,27794815,1335181,4.804,9167309573,1429677,0.02%,30443,5723,18.80%,533323,9267035291,340,0.00%,3918,3488,89.03%,0,0
3,9.0.4,nbody.java 50000000,1.00,0.45,0.57,0.03,0.00,0.39,5.28,2.17,0.02,0.34,2.15,3993695810 ns,15857971249,3.929 GHz,33948756018,2.11,4036.12 msec,1.011,15944451766,3.950 GHz,65,7397709148,93694012,4036.43 msec,1.011,1234 C,2450583268,5399090,0.22%,4,4028845120,4734,4724,8,25359265,1268112,5.001,9230269977,948171,0.01%,34707,5029,14.49%,444204,9194564122,371,0.00%,2563,4527,176.63%,0,0
4,9.0.4,nbody.java 50000000,0.99,0.45,0.57,0.03,0.00,0.40,5.29,2.20,0.01,0.31,2.15,3994561497 ns,15758349093,3.894 GHz,33893947573,2.11,4046.83 msec,1.013,15888754733,3.926 GHz,99,7414865384,93698980,4047.08 msec,1.013,1151 C,2416372782,5414833,0.22%,0,4040362322,4768,4756,10,30499021,1540461,5.051,9058418750,12627496,0.14%,1885155,80482,4.27%,4215129,9256586484,1267,0.00%,8841,10073,113.94%,0,0
5,9.0.4,nbody.java 50000000,1.00,0.45,0.57,0.03,0.00,0.39,5.31,2.19,0.01,0.31,2.15,3969097509 ns,15853778343,3.953 GHz,34468940079,2.16,4010.56 msec,1.010,15945591057,3.976 GHz,31,7405473953,93598205,4010.83 msec,1.011,1209 C,2473793604,6036297,0.24%,0,4054801703,4717,4707,8,28307308,2049793,7.241,9187837940,2450474,0.03%,22587,4577,20.26%,467137,9249950599,54,0.00%,3435,13668,397.90%,0,0
6,9.0.4,nbody.java 50000000,1.00,0.45,0.57,0.03,0.00,0.40,5.29,2.21,0.01,0.29,2.15,3983360049 ns,15795931985,3.922 GHz,34094445013,2.13,4027.78 msec,1.011,15900126501,3.947 GHz,76,7430438285,93804629,4028.11 msec,1.011,1035 C,2459895455,5772749,0.23%,0,4060777042,4746,4736,8,31143730,1799697,5.779,9099127720,6990718,0.08%,709794,16186,2.28%,546828,9262879185,865,0.00%,3318,3368,101.51%,0,0
7,9.0.4,nbody.java 50000000,1.00,0.45,0.57,0.03,0.00,0.40,5.31,2.21,0.01,0.27,2.15,3976978847 ns,15782205304,3.926 GHz,34060339886,2.13,4019.82 msec,1.011,15894060480,3.954 GHz,39,7401999298,93766911,4020.08 msec,1.011,1026 C,2467434578,5998246,0.24%,0,4066713102,4730,4720,8,32392405,1619425,4.999,9158672746,4596104,0.05%,211941,4689,2.21%,470878,9289118018,193,0.00%,3771,3806,100.93%,0,0
8,9.0.4,nbody.java 50000000,1.00,0.45,0.57,0.04,0.00,0.40,5.30,2.19,0.01,0.32,2.15,3988902517 ns,15877476896,3.937 GHz,34321509483,2.14,4033.22 msec,1.011,15975222589,3.961 GHz,44,7431807873,93799238,4033.48 msec,1.011,920 C,2466538980,5367689,0.22%,0,4094036978,4696,4684,10,30781427,1242425,4.036,9071884565,1600912,0.02%,50411,5305,10.52%,504071,9165064266,224,0.00%,2648,3891,146.94%,0,0
9,9.0.4,nbody.java 50000000,1.00,0.45,0.57,0.03,0.00,0.40,5.30,2.21,0.01,0.28,2.15,3974845948 ns,15838772828,3.945 GHz,34206907289,2.14,4015.00 msec,1.010,15949229195,3.972 GHz,64,7449839852,94218610,4015.32 msec,1.010,1011 C,2472683867,5270950,0.21%,4,4069031440,4713,4703,8,35342664,1561335,4.418,9149739429,4073048,0.04%,101387,7111,7.01%,610815,9265146105,2179,0.00%,4185,4863,116.20%,0,0
10,9.0.4,nbody.java 50000000,1.00,0.45,0.57,0.03,0.00,0.40,5.29,2.21,0.01,0.25,2.15,3978315646 ns,15793074034,3.927 GHz,34095377405,2.13,4021.19 msec,1.011,15890454921,3.952 GHz,43,7401499116,93657138,4021.45 msec,1.011,990 C,2466059028,5699886,0.23%,0,4061259189,4766,4756,8,31179558,1706504,5.473,9137838453,5673729,0.06%,331359,3921,1.18%,472052,9275833850,123,0.00%,2676,4135,154.52%,0,0
