test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,20.0.2,nbody.java 50000000,3.899856,2141,1693932708.906621,-,-,523,12.78,4094,1896,2.14,2652,0,41,134,120,91,218,0,518,8,823,0.00,0.20,0.07,0.06,0.45,0.00,3.79,0.17,82.40,13.38,0.07,0.57,73.20,69,69,98.77,450,300,102.01,99.54,1.19,1.16,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.09,47.77,0.05,1.21,0.00,0.00
2,20.0.2,nbody.java 50000000,3.865695,1191,1693932712.810037,-,-,526,12.85,4093,1896,2.15,2402,0,0,144,189,78,196,0,529,3,826,0.00,0.10,0.11,0.06,0.38,0.00,4.05,0.08,82.30,13.56,0.13,0.47,72.99,66,67,98.84,450,300,102.79,99.51,1.07,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.39,48.25,0.04,1.19,0.00,0.00
3,20.0.2,nbody.java 50000000,3.895644,2194,1693932716.738634,-,-,521,12.73,4095,1896,2.15,2513,0,0,114,126,89,205,3,559,5,745,0.00,0.11,0.08,0.06,0.35,0.02,4.68,0.14,81.75,13.44,0.10,0.53,73.20,74,74,98.91,450,300,101.87,99.52,0.99,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.30,49.12,0.03,1.19,0.00,0.00
4,20.0.2,nbody.java 50000000,3.869726,1189,1693932720.641942,-,-,524,12.81,4093,1896,2.15,2520,0,3,128,176,70,192,0,544,2,822,0.00,0.09,0.10,0.07,0.37,0.00,4.64,0.05,81.79,13.46,0.20,0.44,73.09,78,78,98.61,450,300,102.51,99.51,1.31,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.47,49.32,0.05,1.19,0.00,0.00
5,20.0.2,nbody.java 50000000,3.903700,1121,1693932724.576733,-,-,530,12.96,4088,1896,2.12,3242,0,122,444,415,258,425,0,679,11,820,0.01,0.21,0.21,0.17,0.59,0.00,5.56,0.13,80.07,13.76,0.25,0.53,72.50,78,78,98.88,450,300,103.07,99.45,1.05,1.02,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.32,50.01,0.04,1.21,0.00,0.00
6,20.0.2,nbody.java 50000000,3.872753,1266,1693932728.490208,-,-,524,12.79,4094,1896,2.15,2439,0,1,176,142,87,195,0,597,8,701,0.00,0.08,0.11,0.06,0.31,0.00,4.69,0.03,81.86,13.33,0.08,0.39,73.41,76,77,98.84,450,300,101.89,99.57,1.06,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.52,50.43,0.04,1.18,0.00,0.00
7,20.0.2,nbody.java 50000000,3.870951,1702,1693932732.395264,-,-,527,12.89,4092,1896,2.11,2512,0,11,165,150,72,241,0,585,6,887,0.00,0.17,0.08,0.09,0.39,0.00,4.50,0.19,81.61,13.65,0.17,0.47,72.82,76,76,98.71,450,300,102.99,99.50,1.17,1.14,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.93,50.83,0.04,1.19,0.00,0.00
8,20.0.2,nbody.java 50000000,3.870493,1124,1693932736.298557,-,-,526,12.84,4095,1896,2.11,2503,0,10,165,152,59,209,1,547,6,964,0.00,0.13,0.08,0.05,0.42,0.01,4.15,0.11,82.13,13.23,0.11,0.51,73.31,81,81,98.70,450,300,101.79,99.54,1.19,1.18,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.12,50.60,0.04,1.19,0.00,0.00
9,20.0.2,nbody.java 50000000,3.885319,1358,1693932740.218357,-,-,529,12.92,4091,1896,2.13,2651,0,8,367,291,141,234,0,671,5,778,0.00,0.19,0.22,0.10,0.42,0.00,5.67,0.10,80.28,13.80,0.11,0.43,72.74,77,78,98.86,450,300,102.72,99.47,1.01,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.42,51.07,0.04,1.19,0.00,0.00
10,20.0.2,nbody.java 50000000,3.861282,1072,1693932744.114116,-,-,524,12.80,4094,1896,2.12,2534,0,3,170,214,78,200,0,609,14,805,0.00,0.27,0.13,0.06,0.38,0.00,5.24,0.22,80.84,13.71,0.08,0.48,72.94,80,80,98.67,450,300,102.27,99.52,1.19,1.17,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.94,51.57,0.04,1.18,0.00,0.00
