test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,19.0.2,nbody.java 50000000,1.00,0.44,0.59,0.03,0.01,0.38,5.25,2.19,0.00,0.09,2.16,3893061005 ns,15934208663,4.066 GHz,35979257464,2.28,3918.73 msec,1.007,15825251998,4.038 GHz,29,7339650124,90576878,3918.87 msec,1.007,740 C,1908868299,43979,0.00%,0,4018434389,3838,3828,8,215009,21509,10.004,9452686437,130171,0.00%,14543,2130,14.65%,347187,9544233775,54,0.00%,3310,2584,78.07%,0,0
2,19.0.2,nbody.java 50000000,1.00,0.44,0.59,0.03,0.01,0.37,5.38,2.22,0.00,0.22,2.15,3872941911 ns,15402142714,3.947 GHz,35021886317,2.24,3902.15 msec,1.008,15454688109,3.960 GHz,14,7176680676,90470563,3902.28 msec,1.008,718 C,1928954720,174663,0.01%,0,4011805917,4125,4115,8,337218,27394,8.124,9450283090,151797,0.00%,20976,616,2.94%,451364,9502659687,85,0.00%,4501,4313,95.82%,0,0
3,19.0.2,nbody.java 50000000,1.00,0.44,0.59,0.04,0.01,0.37,5.37,2.23,0.00,0.06,2.16,3871829819 ns,15444684237,3.966 GHz,35145375400,2.25,3893.96 msec,1.006,15390867288,3.952 GHz,14,7143298461,90535821,3894.12 msec,1.006,659 C,1931582898,42043,0.00%,0,4024406666,3828,3818,8,460623,49018,10.642,9476109536,191842,0.00%,28416,1203,4.23%,541240,9529088740,247,0.00%,4887,7800,159.61%,0,0
4,19.0.2,nbody.java 50000000,1.00,0.44,0.59,0.03,0.01,0.38,5.29,2.19,0.00,0.23,2.15,3887195133 ns,15513050922,3.957 GHz,35012235969,2.24,3920.50 msec,1.009,15562822766,3.970 GHz,25,7222059313,90204640,3920.65 msec,1.009,627 C,1918774257,44156,0.00%,0,4000534892,4179,4166,11,489112,89359,18.270,9434508635,172110,0.00%,19480,2637,13.54%,515186,9481138778,69,0.00%,3730,7275,195.04%,0,0
5,19.0.2,nbody.java 50000000,1.00,0.44,0.59,0.03,0.01,0.37,5.37,2.23,0.00,0.11,2.15,3874612836 ns,15329988034,3.937 GHz,34985471619,2.25,3894.10 msec,1.005,15368974815,3.947 GHz,22,7137400799,90434179,3894.25 msec,1.005,610 C,1931641974,128984,0.01%,0,4027888635,3814,3804,8,165616,28218,17.038,9467431072,115679,0.00%,12029,970,8.06%,373318,9502225600,0,0.00%,5462,3221,58.97%,0,0
6,19.0.2,nbody.java 50000000,1.00,0.44,0.58,0.04,0.02,0.37,5.38,2.24,0.00,0.06,2.16,3877670282 ns,15753734764,4.040 GHz,35006501424,2.23,3899.39 msec,1.006,15384463041,3.945 GHz,19,7143273889,90516842,3899.51 msec,1.006,600 C,1928505743,39679,0.00%,0,4027612541,3840,3830,8,410261,85729,20.896,9467595543,155111,0.00%,18465,3771,20.42%,462304,9516386550,61,0.00%,2656,4224,159.04%,0,0
7,19.0.2,nbody.java 50000000,1.00,0.44,0.59,0.03,0.01,0.37,5.37,2.22,0.00,0.20,2.15,3882590991 ns,15857342685,4.053 GHz,36008090780,2.29,3912.06 msec,1.008,15876912365,4.058 GHz,20,7140359238,90503670,3912.21 msec,1.008,577 C,1927305164,157250,0.01%,0,4009606331,4163,4153,8,463962,40606,8.752,9430465277,185219,0.00%,34942,6225,17.82%,529670,9473186704,30,0.00%,6281,5374,85.56%,0,0
8,19.0.2,nbody.java 50000000,1.00,0.44,0.59,0.03,0.01,0.37,5.37,2.20,0.01,0.23,2.15,3885417380 ns,15865999864,4.055 GHz,35928629368,2.29,3912.43 msec,1.007,15855640961,4.053 GHz,21,7149291036,90445984,3912.58 msec,1.007,618 C,1930476224,205355,0.01%,0,4010688423,4199,4186,11,500961,93253,18.615,9429531901,188081,0.00%,28898,2881,9.97%,560674,9490327189,123,0.00%,4370,5691,130.23%,0,2
9,19.0.2,nbody.java 50000000,1.00,0.44,0.58,0.04,0.01,0.37,5.36,2.21,0.00,0.07,2.15,3874022394 ns,15406230424,3.945 GHz,35090920336,2.25,3905.36 msec,1.008,15381353540,3.938 GHz,14,7148139564,90592521,3905.49 msec,1.008,554 C,1927847543,32079,0.00%,0,4033883493,4168,4158,8,213763,33943,15.879,9446595559,136850,0.00%,16039,1025,6.39%,405681,9516885439,804,0.00%,4034,3581,88.77%,0,0
10,19.0.2,nbody.java 50000000,1.00,0.44,0.59,0.04,0.01,0.37,5.38,2.23,0.00,0.18,2.15,3870979210 ns,15399772050,3.947 GHz,35071311475,2.25,3901.45 msec,1.008,15441962329,3.958 GHz,15,7132978302,90417697,3901.54 msec,1.008,514 C,1924103674,119658,0.01%,0,4015047693,4162,4152,8,194777,38308,19.668,9491996208,125566,0.00%,10913,1163,10.66%,358372,9521662029,38,0.00%,3791,2478,65.37%,0,0
