test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,14.0.2,nbody.java 50000000,4.095632,1262,1690639932.471590,-,-,530,13.02,4068,1896,1.83,17517,0,27,256,234,377,7684,0,7246,0,0,0.00,0.12,0.13,0.27,12.51,0.00,73.74,0.00,0.00,15.70,0.27,6.72,64.28,63,63,98.98,450,300,103.63,97.98,1.02,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.21,52.76,0.04,1.31,0.00,0.00
2,14.0.2,nbody.java 50000000,4.113840,1399,1690639936.618396,-,-,533,13.08,4076,1896,1.82,17865,0,74,677,683,544,7703,0,7167,0,0,0.00,0.16,0.28,0.35,12.15,0.00,73.73,0.00,0.00,15.84,0.34,6.58,64.16,66,67,99.08,450,300,103.68,97.94,0.92,0.89,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.43,53.74,0.04,1.32,0.00,0.00
3,14.0.2,nbody.java 50000000,4.091144,1710,1690639940.744200,-,-,535,13.13,4074,1896,1.82,17857,0,244,650,363,371,7672,2,7221,0,0,0.01,0.29,0.20,0.26,12.01,0.00,73.91,0.00,0.00,16.03,0.28,6.40,64.17,69,69,98.80,450,300,104.31,97.97,1.19,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.81,53.03,0.04,1.33,0.00,0.00
4,14.0.2,nbody.java 50000000,4.124492,1125,1690639944.901122,-,-,530,13.00,4076,1896,1.82,17805,0,63,535,419,482,7787,0,7300,0,0,0.00,0.11,0.23,0.32,12.29,0.00,73.84,0.00,0.00,15.62,0.28,6.91,64.19,70,70,98.82,450,300,103.21,97.97,1.14,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.26,53.57,0.04,1.34,0.00,0.00
5,14.0.2,nbody.java 50000000,4.090377,1930,1690639949.026640,-,-,529,12.97,4078,1896,1.83,17480,0,40,396,277,428,7597,0,7242,0,0,0.00,0.13,0.21,0.31,11.94,0.00,74.21,0.00,0.00,15.77,0.35,6.57,64.33,71,73,98.79,450,300,103.20,97.97,1.11,1.09,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.32,54.74,0.05,1.33,0.00,0.00
6,14.0.2,nbody.java 50000000,4.090926,1246,1690639953.156045,-,-,529,12.98,4076,1896,1.83,17498,0,36,312,285,273,7636,1,7297,0,0,0.00,0.14,0.12,0.22,11.54,0.00,74.78,0.00,0.00,15.70,0.30,6.80,64.22,74,75,98.73,450,300,103.47,97.98,1.20,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.29,54.53,0.05,1.33,0.00,0.00
7,14.0.2,nbody.java 50000000,4.093733,1197,1690639957.285015,-,-,531,13.04,4074,1896,1.83,18242,0,407,649,282,405,7680,3,7187,0,0,0.00,0.21,0.15,0.28,12.44,0.01,73.63,0.00,0.00,15.86,0.34,7.19,63.56,79,81,98.79,450,300,103.61,97.95,1.17,1.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.58,54.84,0.05,1.33,0.00,0.00
8,14.0.2,nbody.java 50000000,4.112210,1320,1690639961.433056,-,-,529,12.97,4077,1896,1.83,17601,0,46,365,295,362,7632,0,7286,0,0,0.00,0.14,0.18,0.24,11.56,0.00,74.68,0.00,0.00,15.53,0.19,6.91,64.39,77,77,98.83,450,300,102.82,97.98,1.13,1.10,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.77,54.96,0.04,1.33,0.00,0.00
9,14.0.2,nbody.java 50000000,4.090008,1167,1690639965.561498,-,-,529,12.99,4075,1896,1.83,17487,0,59,275,233,364,7761,1,7228,0,0,0.00,0.14,0.10,0.27,12.31,0.01,73.94,0.00,0.00,15.71,0.30,6.67,64.33,78,78,98.83,450,300,103.48,97.95,1.13,1.08,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.71,55.99,0.04,1.32,0.00,0.00
10,14.0.2,nbody.java 50000000,4.089857,1110,1690639969.687511,-,-,529,12.97,4074,1896,1.84,17506,0,43,389,237,367,7624,4,7260,0,0,0.00,0.22,0.09,0.26,11.14,0.03,75.08,0.00,0.00,15.60,0.26,6.57,64.60,80,81,98.85,450,300,103.32,98.00,1.03,1.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.49,55.53,0.04,1.30,0.00,0.00
