test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,11.0.20.1,nbody.java 50000000,0.99,0.52,0.52,0.01,0.00,0.46,5.09,1.92,0.00,0.03,2.10,4030085227 ns,15826145511,3.891 GHz,30142498560,1.91,4067.50 msec,1.009,15764335708,3.876 GHz,15,7607634822,96490144,4067.85 msec,1.009,748 C,1549920425,5338575,0.34%,0,4060588738,3549,3539,8,36486758,1510202,4.139,9121162423,1581478,0.02%,33212,6086,18.32%,537854,9120989762,596,0.00%,6507,3225,49.56%,0,0
2,11.0.20.1,nbody.java 50000000,1.00,0.52,0.52,0.02,0.00,0.46,5.09,1.88,0.01,0.24,2.08,3999629249 ns,15945250285,3.953 GHz,29243484729,1.83,4033.94 msec,1.009,15726867679,3.899 GHz,11,7437614907,94286691,4034.17 msec,1.009,724 C,1542151783,3287738,0.21%,0,4065780269,3550,3540,8,720197,74896,10.399,9126072101,171465,0.00%,32302,3473,10.75%,489311,9126984794,301,0.00%,8105,2980,36.77%,0,0
3,11.0.20.1,nbody.java 50000000,1.00,0.52,0.52,0.02,0.00,0.46,5.09,1.87,0.00,0.30,2.11,3986577981 ns,15700465294,3.908 GHz,29597028662,1.87,4017.35 msec,1.008,15768688646,3.925 GHz,9,7405498962,93316808,4017.54 msec,1.008,687 C,1515316757,1638554,0.11%,0,4040938990,3543,3533,8,219849,42421,19.296,9131481234,139987,0.00%,11983,932,7.78%,401478,9164111694,0,0.00%,3388,3863,114.02%,0,0
4,11.0.20.1,nbody.java 50000000,0.99,0.52,0.52,0.02,0.00,0.46,5.08,1.91,0.00,0.04,2.08,4035082276 ns,15630909067,3.831 GHz,29657916325,1.88,4079.82 msec,1.011,15573363481,3.817 GHz,18,7644896258,96927464,4080.16 msec,1.011,654 C,1534260453,4332875,0.28%,0,4082347909,3550,3538,10,35058904,2274643,6.488,9073410751,7135491,0.08%,659602,18461,2.80%,527878,9139261158,904,0.00%,5898,2773,47.02%,0,0
5,11.0.20.1,nbody.java 50000000,1.00,0.52,0.52,0.02,0.00,0.45,5.10,1.89,0.01,0.28,2.07,3983922379 ns,15471250376,3.848 GHz,29400743581,1.86,4020.01 msec,1.009,15731193494,3.913 GHz,24,7426794379,94079395,4020.24 msec,1.009,627 C,1533698156,1876996,0.12%,0,4058531328,3546,3536,8,277622,43859,15.798,9139591573,138827,0.00%,17686,2554,14.44%,418188,9188553193,54,0.00%,3076,4971,161.61%,0,0
6,11.0.20.1,nbody.java 50000000,1.00,0.52,0.52,0.03,0.01,0.44,5.08,1.83,0.03,0.25,2.14,3993455067 ns,15850385081,3.943 GHz,30063900019,1.89,4019.86 msec,1.007,15931381559,3.963 GHz,15,7392062862,93269272,4020.05 msec,1.007,615 C,1490707139,129337,0.01%,0,4040681763,3544,3534,8,562572,49393,8.780,9087407785,191108,0.00%,39220,1346,3.43%,674705,9158713954,594,0.00%,5646,5381,95.31%,0,0
7,11.0.20.1,nbody.java 50000000,0.99,0.52,0.52,0.02,0.00,0.46,5.09,1.91,0.01,0.12,2.06,4009307013 ns,15510255684,3.832 GHz,29525247210,1.86,4047.79 msec,1.010,15734344817,3.887 GHz,18,7594875580,93831780,4048.08 msec,1.010,603 C,1534022194,4968945,0.32%,0,4041182649,3551,3541,8,9455260,203865,2.156,9093119279,161354,0.00%,22361,4597,20.56%,436970,9160625118,216,0.00%,5698,6671,117.08%,0,0
8,11.0.20.1,nbody.java 50000000,0.99,0.52,0.52,0.02,0.00,0.44,5.10,1.87,0.01,0.26,2.14,3981963689 ns,15773633781,3.938 GHz,30117066192,1.90,4005.87 msec,1.006,15849066023,3.956 GHz,15,7345585823,93043459,4006.02 msec,1.006,594 C,1504111900,432092,0.03%,0,4032059437,3547,3534,10,278995,30683,10.998,9104471726,140448,0.00%,19894,2434,12.23%,448817,9152515279,38,0.00%,5515,4297,77.91%,0,0
9,11.0.20.1,nbody.java 50000000,0.99,0.52,0.52,0.01,0.00,0.46,5.10,1.91,0.01,0.12,2.05,4016543368 ns,15608812987,3.851 GHz,29616203385,1.87,4052.58 msec,1.009,15837381481,3.908 GHz,14,7606735314,93967791,4052.86 msec,1.009,572 C,1540326505,5073293,0.33%,0,4064668145,3551,3541,8,3210314,97221,3.028,9104907017,147746,0.00%,15797,7560,47.86%,487169,9129427064,3108,0.00%,6013,3757,62.48%,0,0
10,11.0.20.1,nbody.java 50000000,1.00,0.52,0.52,0.02,0.01,0.45,5.09,1.83,0.01,0.35,2.13,4013234841 ns,16073930528,3.971 GHz,30364092454,1.93,4048.07 msec,1.009,15932915609,3.936 GHz,11,7376158757,93471525,4048.33 msec,1.009,549 C,1507252289,322527,0.02%,0,4035761461,3549,3539,8,554202,50674,9.144,8979825866,226039,0.00%,49675,3089,6.22%,719251,9040248996,92,0.00%,4194,7643,182.24%,0,0
