test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,9.0.4,nbody.java 50000000,4.037404,1683,1701445488.941016,-,-,520,12.78,4074,1896,1.90,3084,0,2,158,252,123,449,0,781,65,1613,0.00,0.10,0.12,0.06,0.83,0.00,4.93,1.76,79.27,13.72,0.19,1.01,72.30,63,63,98.78,300,300,101.77,99.12,1.03,1.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.82,50.59,0.04,1.21,0.00,0.00
2,9.0.4,nbody.java 50000000,3.998229,1738,1701445492.974152,-,-,523,12.80,4088,1895,1.91,2906,0,27,207,181,140,494,0,681,48,1408,0.00,0.07,0.06,0.10,0.88,0.00,4.66,1.31,80.03,13.49,0.27,0.90,72.55,64,63,98.84,300,300,102.20,99.52,1.19,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.94,51.68,0.04,1.21,0.00,0.00
3,9.0.4,nbody.java 50000000,3.975765,2126,1701445496.981516,-,-,523,12.79,4090,1895,1.92,2957,0,14,146,171,120,557,1,707,3,1009,0.00,0.14,0.09,0.09,0.94,0.00,4.58,0.05,81.21,13.64,0.27,1.09,72.21,67,70,98.70,300,300,102.47,99.46,1.24,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.99,51.91,0.04,1.20,0.00,0.00
4,9.0.4,nbody.java 50000000,4.044736,2276,1701445501.071922,-,-,518,12.81,4048,1896,1.91,3388,0,34,182,428,104,383,0,803,39,1522,0.00,0.31,0.26,0.05,0.69,0.00,4.71,0.76,80.30,14.25,0.39,0.80,71.75,66,68,98.84,300,300,102.15,99.30,1.14,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.66,52.26,0.04,1.22,0.00,0.00
5,9.0.4,nbody.java 50000000,3.982957,1677,1701445505.086665,-,-,525,12.84,4087,1895,1.92,3056,0,21,232,306,114,509,0,924,22,1106,0.00,0.11,0.13,0.07,0.91,0.00,6.52,0.41,78.92,13.56,0.35,0.79,72.46,73,70,98.72,300,300,102.28,99.53,1.22,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.27,53.01,0.04,1.21,0.00,0.00
6,9.0.4,nbody.java 50000000,3.987033,3237,1701445509.104762,-,-,522,12.78,4083,1895,1.92,2864,0,13,188,218,135,426,0,757,34,1106,0.00,0.10,0.08,0.09,0.82,0.00,4.87,0.74,80.38,13.66,0.36,1.00,72.20,68,68,98.59,300,300,102.31,99.35,1.32,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.04,52.84,0.04,1.20,0.00,0.00
7,9.0.4,nbody.java 50000000,4.009246,2253,1701445513.146825,-,-,522,12.78,4086,1896,1.91,2844,0,12,157,253,151,410,0,632,3,1001,0.00,0.05,0.10,0.08,0.71,0.00,4.28,0.07,81.83,13.55,0.29,0.94,72.44,70,72,98.62,300,300,102.36,99.48,1.29,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.48,53.30,0.04,1.21,0.00,0.00
8,9.0.4,nbody.java 50000000,3.997926,1416,1701445517.175810,-,-,524,12.83,4088,1895,1.91,3210,0,86,231,196,157,514,0,677,28,1344,0.00,0.18,0.08,0.12,0.83,0.00,4.43,0.47,80.96,13.74,0.38,0.83,72.23,79,80,98.73,300,300,102.59,99.50,1.20,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.28,53.91,0.04,1.21,0.00,0.00
9,9.0.4,nbody.java 50000000,4.018860,1938,1701445521.229626,-,-,522,12.76,4092,1896,1.91,2941,0,21,201,164,131,520,1,837,42,1323,0.00,0.17,0.07,0.10,0.86,0.00,5.34,0.65,79.93,13.70,0.18,1.03,72.34,74,74,98.96,300,300,101.69,99.23,1.08,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.85,53.61,0.04,1.21,0.00,0.00
10,9.0.4,nbody.java 50000000,4.216083,1239,1701445525.477043,-,-,498,12.79,3895,1895,1.90,2880,0,14,181,156,102,458,2,658,15,1271,0.00,0.08,0.06,0.06,0.77,0.00,3.63,0.41,82.06,13.42,0.18,0.96,72.65,73,72,98.65,300,300,101.57,99.44,1.13,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.90,50.28,0.04,1.27,0.00,0.00
