test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,20.0.2,nbody.java 50000000,1.00,0.46,0.57,0.03,0.01,0.38,5.43,2.13,0.00,0.27,2.15,3887917593 ns,15873740014,4.062 GHz,34659347203,2.20,3907.55 msec,1.005,15894201388,4.067 GHz,18,7194184481,90367714,3907.69 msec,1.005,775 C,2004729108,318348,0.02%,0,3972251210,5734,5721,11,197687,36283,18.354,9501260642,143174,0.00%,13716,2441,17.80%,385849,9555830675,123,0.00%,2884,4018,139.32%,5,1
2,20.0.2,nbody.java 50000000,1.00,0.46,0.56,0.03,0.01,0.39,5.47,2.11,0.00,0.18,2.15,3870488485 ns,15354550580,3.944 GHz,33356957438,2.14,3893.52 msec,1.006,15351288861,3.943 GHz,18,7132843046,90395684,3893.65 msec,1.006,730 C,1997493231,291528,0.01%,0,3973910667,5481,5471,8,174212,18366,10.542,9543955740,123275,0.00%,13821,3351,24.25%,368661,9455457403,123,0.00%,3141,4113,130.95%,0,0
3,20.0.2,nbody.java 50000000,1.00,0.46,0.56,0.03,0.01,0.39,5.48,2.13,0.00,0.21,2.15,3853827269 ns,15364663634,3.964 GHz,33499487975,2.16,3875.66 msec,1.006,15415207247,3.977 GHz,14,7163302793,90472115,3875.78 msec,1.006,703 C,1997879048,256301,0.01%,0,3993054371,5477,5467,8,548052,104823,19.126,9562597976,186530,0.00%,31119,2927,9.41%,483789,9617786213,401,0.00%,3535,4344,122.89%,0,0
4,20.0.2,nbody.java 50000000,1.00,0.46,0.57,0.03,0.01,0.38,5.43,2.14,0.00,0.30,2.15,3875967001 ns,15835838792,4.055 GHz,33885797177,2.16,3905.26 msec,1.008,15437716333,3.953 GHz,15,7172351535,90420695,3905.38 msec,1.008,686 C,1999228927,262466,0.01%,0,3962434770,5707,5697,8,545347,74382,13.639,9505872635,179092,0.00%,31123,5331,17.13%,488664,9542538722,69,0.00%,5856,7241,123.65%,0,0
5,20.0.2,nbody.java 50000000,1.00,0.46,0.56,0.03,0.01,0.39,5.47,2.11,0.00,0.26,2.15,3895897941 ns,15878527055,4.048 GHz,34248948114,2.18,3922.41 msec,1.007,15897517839,4.053 GHz,14,7377774165,92928799,3922.55 msec,1.007,608 C,2032585236,334713,0.02%,0,3912661337,5703,5693,8,373443,43039,11.525,9499541024,145890,0.00%,21150,955,4.52%,401707,9463155713,46,0.00%,3961,4484,113.20%,0,0
6,20.0.2,nbody.java 50000000,1.00,0.46,0.56,0.03,0.01,0.39,5.43,2.05,0.02,0.33,2.14,3878968345 ns,15812045995,4.035 GHz,32949078163,2.10,3919.03 msec,1.010,15457994686,3.944 GHz,19,7208218749,90393157,3919.18 msec,1.010,614 C,2002838931,331273,0.02%,0,3973154164,5783,5773,8,390025,43155,11.065,9527113659,166518,0.00%,26631,1665,6.25%,502122,9593160042,77,0.00%,6884,6124,88.96%,0,0
7,20.0.2,nbody.java 50000000,1.00,0.46,0.57,0.03,0.01,0.39,5.43,2.13,0.00,0.17,2.15,3875151030 ns,15332556839,3.934 GHz,33677205013,2.16,3897.29 msec,1.006,15332099561,3.934 GHz,13,7124970182,90324042,3897.41 msec,1.006,596 C,1990065685,268369,0.01%,0,3978025466,5492,5482,8,169083,41183,24.357,9507822803,121618,0.00%,12737,2711,21.28%,352518,9558884634,100,0.00%,2429,4515,185.88%,0,0
8,20.0.2,nbody.java 50000000,1.00,0.46,0.56,0.03,0.02,0.39,5.48,2.13,0.00,0.12,2.15,3866853032 ns,15387477254,3.958 GHz,33545010063,2.16,3888.10 msec,1.005,15432515723,3.969 GHz,18,7138895175,90435170,3888.24 msec,1.006,582 C,1982321763,82336,0.00%,0,3974337641,5484,5474,8,388043,51613,13.301,9528445826,177658,0.00%,25808,4789,18.56%,498859,9592070636,951,0.00%,4724,6194,131.12%,0,0
9,20.0.2,nbody.java 50000000,1.00,0.46,0.56,0.03,0.02,0.39,5.48,2.10,0.00,0.23,2.15,3864632718 ns,15386090707,3.949 GHz,33366899424,2.14,3895.98 msec,1.008,15366768581,3.944 GHz,17,7143344742,90520396,3896.08 msec,1.008,572 C,2005123645,240090,0.01%,0,3987523640,5789,5779,8,178113,32110,18.028,9537912600,106771,0.00%,10613,2257,21.27%,346187,9589694154,77,0.00%,3141,3322,105.76%,0,0
10,20.0.2,nbody.java 50000000,1.00,0.46,0.57,0.03,0.01,0.38,5.43,2.13,0.00,0.17,2.15,3869895743 ns,15363105561,3.947 GHz,33823771511,2.17,3891.97 msec,1.006,15353362191,3.945 GHz,11,7132581761,90395478,3892.11 msec,1.006,558 C,1996840696,256482,0.01%,0,3977913234,5479,5469,8,192209,33282,17.316,9511433131,140634,0.00%,15915,1171,7.36%,397299,9547454038,85,0.00%,4634,3833,82.71%,0,0
