test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,20.0.2,binarytrees.java 21,3.439260,1531,1690810725.834424,-,-,660,16.45,4013,1896,2.35,3061,0,0,271,500,130,426,1,1003,6,1350,0.00,0.78,1.24,0.10,0.81,0.00,8.00,0.26,72.22,15.37,0.17,0.91,67.10,71,73,98.02,300,300,115.64,99.27,1.81,1.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.69,63.43,0.06,5.84,0.00,0.00
2,20.0.2,binarytrees.java 21,3.438780,1348,1690810729.308004,-,-,658,16.42,4010,1896,2.35,3048,0,14,502,414,116,375,0,975,12,1225,0.00,1.32,0.98,0.07,0.62,0.00,8.43,0.34,71.70,15.83,0.08,0.72,66.96,76,78,97.88,300,300,115.19,99.35,1.80,1.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.76,64.47,0.06,5.84,0.00,0.00
3,20.0.2,binarytrees.java 21,3.400173,1452,1690810732.742793,-,-,651,16.23,4011,1896,2.39,2961,0,7,385,358,131,397,0,946,6,1140,0.00,1.00,1.12,0.14,0.69,0.00,8.20,0.23,72.27,16.03,0.21,0.80,66.73,79,79,98.00,300,300,116.21,99.35,1.79,1.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.75,63.49,0.06,5.81,0.00,0.00
4,20.0.2,binarytrees.java 21,3.422175,1888,1690810736.192618,-,-,664,16.58,4003,1896,2.33,4198,0,40,535,748,293,556,1,1246,99,1804,0.00,0.86,1.47,0.22,0.97,0.00,9.77,1.78,68.19,15.89,0.25,1.09,66.19,77,81,97.98,300,300,115.99,99.15,1.68,1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.22,64.89,0.06,5.85,0.00,0.00
5,20.0.2,binarytrees.java 21,3.441302,2160,1690810739.664195,-,-,649,16.19,4011,1896,2.38,4205,0,91,493,379,124,460,0,1288,60,1711,0.01,0.99,1.07,0.09,0.85,0.00,10.66,1.85,68.16,15.65,0.13,1.01,67.03,81,85,98.04,300,300,115.59,99.20,1.57,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.51,66.19,0.05,5.83,0.00,0.00
6,20.0.2,binarytrees.java 21,3.482709,2807,1690810743.174058,-,-,650,16.35,3976,1895,2.37,5927,0,37,968,624,126,457,1,1553,257,2645,0.00,1.05,0.85,0.08,0.90,0.01,10.97,4.41,65.19,15.71,0.11,0.98,66.86,87,87,97.51,300,300,116.68,98.91,2.05,1.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.53,65.95,0.07,5.89,0.00,0.00
7,20.0.2,binarytrees.java 21,3.552656,1551,1690810746.759094,-,-,637,16.24,3926,1896,2.39,7686,0,20,481,462,138,671,2,1903,449,3604,0.00,0.85,0.91,0.08,1.20,0.01,12.55,6.33,61.62,16.06,0.15,1.40,66.15,86,86,97.98,300,300,115.98,98.62,1.83,1.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.77,62.95,0.07,5.93,0.00,0.00
8,20.0.2,binarytrees.java 21,3.514341,1691,1690810750.305675,-,-,637,16.22,3930,1896,2.37,7022,0,8,450,394,105,568,0,1771,350,3293,0.00,0.79,0.75,0.07,1.07,0.00,11.42,6.15,63.32,15.80,0.10,1.40,66.49,88,89,97.74,300,300,116.52,98.79,1.83,1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.97,63.30,0.06,5.90,0.00,0.00
9,20.0.2,binarytrees.java 21,3.667356,1491,1690810754.005283,-,-,715,18.42,3881,1896,2.20,7760,0,2,781,489,201,883,0,2178,325,3145,0.00,0.85,0.69,0.14,1.56,0.00,13.86,5.45,58.78,17.13,0.18,1.69,62.58,91,91,97.95,300,300,130.73,98.80,1.79,1.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.14,67.73,0.07,6.28,0.00,0.00
10,20.0.2,binarytrees.java 21,3.933597,1820,1690810757.972430,-,-,1132,30.49,3713,1896,1.79,12665,0,275,8590,2331,808,1826,0,3182,275,2715,0.01,3.12,1.43,0.51,2.72,0.00,18.78,3.82,38.95,26.91,0.34,1.99,40.26,97,97,98.33,300,300,210.84,99.24,1.82,1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107.53,94.80,0.07,7.79,0.00,0.00
