test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v20.5.1,binaryTrees_1_original.js 21,0.99,0.70,0.36,0.14,0.01,0.49,4.10,1.45,0.11,14.42,2.01,4448035575 ns,79442743494,3.605 GHz,115268168533,1.45,22032.48 msec,4.953,79884213949,3.625 GHz,2812,39927202462,505074237,22039.55 msec,4.955,618 C,24391082587,45343064,0.19%,20021,20455866864,1492839,1492839,0,2013798982,1127639322,55.996,33496872437,972620304,2.90%,71590333,23518166,32.85%,169381518,33675452027,8343505,0.02%,2050419,5889547,287.24%,0,13
2,v20.5.1,binaryTrees_1_original.js 21,0.98,0.68,0.37,0.15,0.01,0.46,4.32,1.48,0.16,14.08,1.92,4908611158 ns,82800087263,3.477 GHz,121067110095,1.46,23805.15 msec,4.850,83094385025,3.490 GHz,2824,43102887477,543993955,23819.24 msec,4.853,342 C,24930565101,59180641,0.24%,19477,21649349755,2088118,2088118,0,2176723501,1126060828,51.732,35823181061,1065184978,2.97%,87223867,25088247,28.76%,256078778,35934992200,9643927,0.03%,4162987,8859285,212.81%,0,3
3,v20.5.1,binaryTrees_1_original.js 21,0.99,0.67,0.37,0.14,0.01,0.46,4.12,1.49,0.11,13.57,1.81,4735873680 ns,76824111397,3.288 GHz,115756920138,1.51,23360.34 msec,4.933,76791666411,3.287 GHz,3629,42438675776,535370013,23368.04 msec,4.934,372 C,23909468214,39484581,0.17%,12880,20646541811,1487519,1487519,0,1956576014,1089808763,55.700,34207971622,993588177,2.90%,71952042,22972718,31.93%,209665029,33911674682,7863220,0.02%,3709962,5810474,156.62%,0,0
4,v20.5.1,binaryTrees_1_original.js 21,0.98,0.65,0.39,0.15,0.01,0.44,4.37,1.54,0.13,12.76,1.74,5023001814 ns,75728958944,3.147 GHz,116386148698,1.54,24056.95 msec,4.789,75556285451,3.140 GHz,3394,43590023253,550651235,24068.06 msec,4.792,317 C,24428191925,40852327,0.17%,10854,20963783981,1646507,1646507,0,2074865157,1108518993,53.426,34678320809,1021322048,2.95%,80482054,23952760,29.76%,224972752,34828817139,9028227,0.03%,3740179,6978199,186.57%,0,201
5,v20.5.1,binaryTrees_1_original.js 21,0.98,0.67,0.38,0.16,0.02,0.45,4.23,1.48,0.15,13.21,1.71,5365193694 ns,83795092033,3.128 GHz,124791464504,1.50,26778.34 msec,4.991,83748342857,3.127 GHz,4160,48691410112,615332568,26794.66 msec,4.994,283 C,25780221516,61601213,0.24%,20135,21676786419,2097375,2097375,0,2220220597,1084171696,48.832,36150443898,1050402227,2.91%,85644976,25199974,29.42%,260774444,35968276102,10394148,0.03%,3836680,8932840,232.83%,0,6
6,v20.5.1,binaryTrees_1_original.js 21,0.99,0.65,0.39,0.15,0.01,0.45,4.27,1.54,0.12,11.25,1.53,5677975769 ns,74994899230,2.773 GHz,114359800091,1.52,27037.80 msec,4.762,75273481397,2.783 GHz,4022,49478078068,628194530,27048.44 msec,4.764,485 C,23905233400,37298327,0.16%,782,21466340940,1509366,1509366,0,1980338995,1131218308,57.122,35298363766,993196832,2.81%,75640792,23780115,31.44%,260727203,34598677617,8658370,0.03%,6011933,6985627,116.20%,0,0
7,v20.5.1,binaryTrees_1_original.js 21,0.99,0.64,0.40,0.15,0.01,0.43,4.13,1.55,0.11,9.00,1.07,7481639133 ns,75013697897,1.965 GHz,117201690384,1.58,38171.67 msec,5.102,74864818404,1.961 GHz,4520,70368509250,889986031,38186.23 msec,5.104,763 C,24033184371,45217251,0.19%,7660,21183483467,1498648,1498648,0,2085493761,1119949815,53.702,34647928797,1018219761,2.94%,69471220,21690215,31.22%,159235772,34462921449,8190468,0.02%,1308200,5708521,436.36%,0,1
8,v20.5.1,binaryTrees_1_original.js 21,0.99,0.64,0.39,0.15,0.01,0.44,4.21,1.55,0.13,8.36,1.05,7549967721 ns,73900886116,1.928 GHz,113454068016,1.54,38331.41 msec,5.077,73916139351,1.928 GHz,4836,70389953518,890331841,38343.97 msec,5.079,829 C,23679797833,46398792,0.20%,11707,20897846324,1503225,1503225,0,2093510447,1121939296,53.591,34263550072,995725395,2.91%,66629518,21485142,32.25%,156899277,35056552799,8052726,0.02%,2471169,6096792,246.72%,0,0
9,v20.5.1,binaryTrees_1_original.js 21,0.99,0.64,0.39,0.16,0.01,0.44,4.11,1.55,0.12,8.85,1.05,7338766887 ns,74383269264,1.925 GHz,115570509059,1.55,38631.96 msec,5.264,74248307021,1.922 GHz,4118,71067086484,896250909,38645.52 msec,5.266,873 C,23987268953,39273811,0.16%,4530,21131023683,1497522,1497522,0,2053520125,1145282763,55.772,34838437990,1023128375,2.94%,67748245,21765012,32.13%,165379937,35038798735,8929154,0.03%,2146304,6476332,301.74%,0,21
10,v20.5.1,binaryTrees_1_original.js 21,0.99,0.66,0.38,0.16,0.01,0.45,4.01,1.53,0.11,8.83,1.04,7531665527 ns,75404704382,1.918 GHz,116985124771,1.54,39300.02 msec,5.218,75103408639,1.911 GHz,3664,72009503615,908370285,39313.15 msec,5.220,896 C,24440156084,34891822,0.14%,509,21263083534,1500561,1500561,0,2075386974,1165436677,56.155,35119967330,1043335662,2.97%,70667993,21716945,30.73%,206932911,34994188978,8946928,0.03%,7878403,7547188,95.80%,0,0
