test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v14.21.3,binaryTrees_1_original.js 21,8.704961,1100,1695396075.902796,-,-,2159,56.54,3818,1896,1.45,255267,0,1624,47097,5362,1270,2481,2,3072,46,5928,0.02,9.33,1.30,0.26,1.03,0.00,6.17,0.13,25.02,25.79,0.14,0.74,16.78,90,91,99.32,450,450,290.10,99.38,0.76,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,331.51,303.03,0.06,19.78,0.00,0.00
2,v14.21.3,binaryTrees_1_original.js 21,8.046822,1048,1695396083.992385,-,-,1668,46.56,3581,1897,1.53,247531,0,2075,36202,3100,1193,3064,3,4004,605,7676,0.02,5.46,0.81,0.37,1.60,0.00,7.63,3.39,33.88,24.28,0.34,1.53,27.30,86,86,99.16,450,450,249.16,99.04,0.80,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,241.31,215.75,0.06,16.01,0.00,0.00
3,v14.21.3,binaryTrees_1_original.js 21,9.697051,1139,1695396093.723386,-,-,1878,55.49,3384,1896,1.55,343328,0,2616,77484,6290,1848,4710,3,7054,809,9561,0.03,8.13,0.91,0.39,1.89,0.00,8.69,2.02,22.20,28.24,0.26,1.42,14.58,87,88,99.22,450,433,300.43,99.35,0.78,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,293.20,261.92,0.07,20.57,0.00,0.00
4,v14.21.3,binaryTrees_1_original.js 21,12.682255,3908,1695396106.445997,-,-,1299,55.31,2350,1896,1.64,240330,0,755,47202,7008,1318,2758,2,3510,33,7279,0.01,7.04,1.26,0.28,0.87,0.00,5.62,0.10,29.47,29.15,0.20,0.64,14.71,73,73,99.35,450,300,297.91,99.78,0.73,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,179.23,140.26,0.08,23.10,0.00,0.00
5,v14.21.3,binaryTrees_1_original.js 21,14.285764,2544,1695396120.775203,-,-,1151,55.95,2057,1896,1.65,228881,0,555,48974,7293,1369,2606,0,3653,29,7701,0.00,6.08,1.21,0.23,0.74,0.00,5.68,0.07,29.99,25.42,0.17,0.68,17.78,74,74,99.41,450,300,292.07,99.78,0.64,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,169.22,126.31,0.07,24.48,0.00,0.00
6,v14.21.3,binaryTrees_1_original.js 21,13.968624,1415,1695396134.787118,-,-,1187,57.82,2052,1896,1.64,244616,0,435,50660,7693,1624,3004,0,4094,37,7813,0.00,6.24,1.22,0.26,0.95,0.00,5.30,0.32,27.84,25.44,0.17,0.66,15.91,73,73,99.36,450,300,300.92,99.77,0.72,0.72,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,166.49,124.41,0.07,24.28,0.00,0.00
7,v14.21.3,binaryTrees_1_original.js 21,14.228477,2592,1695396149.060038,-,-,1200,57.55,2086,1896,1.59,228159,0,483,48117,8567,1558,2790,1,3791,26,7729,0.00,6.10,1.51,0.23,0.82,0.00,6.02,0.11,27.60,21.55,0.14,0.55,20.22,69,69,99.21,450,300,289.34,99.78,0.76,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,169.82,127.13,0.08,24.52,0.00,0.00
8,v14.21.3,binaryTrees_1_original.js 21,14.020534,1585,1695396163.119144,-,-,1161,56.22,2066,1896,1.67,228712,0,557,50436,7679,1502,3110,0,3982,28,7976,0.01,6.36,1.42,0.30,0.90,0.00,5.64,0.10,29.00,26.07,0.22,0.72,16.76,71,72,99.34,450,300,296.90,99.78,0.71,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,167.65,125.44,0.07,24.30,0.00,0.00
9,v14.21.3,binaryTrees_1_original.js 21,14.177248,1607,1695396177.340462,-,-,1204,57.96,2077,1896,1.60,233754,0,398,48364,8083,1450,2539,0,3513,40,7603,0.00,6.05,1.53,0.25,0.76,0.00,5.49,0.16,27.74,22.20,0.20,0.63,19.00,70,71,99.53,450,300,293.17,99.78,0.44,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,169.40,126.77,0.04,24.52,0.00,0.00
10,v14.21.3,binaryTrees_1_original.js 21,12.213347,1810,1695396189.597548,-,-,1086,51.99,2090,1896,1.62,318818,0,1542,61531,5440,1494,3471,6,4751,43,7215,0.02,6.72,1.07,0.30,1.12,0.00,5.76,0.15,32.88,25.20,0.20,0.89,21.73,71,71,99.24,450,300,276.04,99.77,0.77,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,145.11,108.92,0.07,19.64,0.00,0.00
