version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
v11.15.0,binaryTrees_1_original.js 21,5.82204,1634.1,1695394492.05703,0,0,2244.6,74.37,3028.1,1896,1.4,211283.4,0,1077.1,23025.6,2066.2,438.1,1169.1,1,2587.6,81.6,2881.8,0.03,4.2,0.52,0.17,0.86,0,5.85,0.47,13.28,16.88,0.08,0.54,8.13,88,89.6,99.28,446.6,356.6,351.33,99.52,0.78,0.77,0,0,0,0,0,0,0,0,0,153.87,134.99,0.04,12.73,0,0
v12.22.12,binaryTrees_1_original.js 21,5.73901,1342.4,1695395049.57203,0,0,1884.8,69.2,2734.9,1896.1,1.46,248466.5,0,2139.8,49672.1,2963.2,640.1,1390.7,0.4,2126.2,75.2,2759.3,0.04,6.7,0.97,0.26,1.02,0,5.01,0.59,16.09,19.93,0.13,0.66,10.09,80.1,80.7,99.22,448.3,388.3,336.83,99.57,0.85,0.85,0,0,0,0,0,0,0,0,0,120.95,102.54,0.04,12.14,0,0
v13.14.0,binaryTrees_1_original.js 21,5.71796,1414.9,1695395584.87786,0,0,1919.8,69.42,2772.1,1896.1,1.44,255216.7,0,2540.4,50737.5,2741.1,649.5,1578.8,0.1,2331.5,80,2973,0.04,6.56,0.92,0.3,1.15,0,5.24,0.64,15.6,20.21,0.16,0.73,9.48,80.1,80.9,99.26,446.6,341.6,338.88,99.54,0.81,0.8,0,0,0,0,0,0,0,0,0,124.46,106.11,0.04,12.12,0,0
v14.21.3,binaryTrees_1_original.js 21,12.2025,1874.8,1695396189.59755,0,0,1399.3,55.14,2556.1,1896.1,1.59,256939.6,0,1104,51606.7,6651.5,1462.6,3053.3,1.7,4142.4,169.6,7648.1,0.01,6.75,1.22,0.29,1.07,0,6.2,0.66,28.56,25.33,0.2,0.85,18.48,76.4,76.8,99.31,450,343.3,288.6,99.62,0.71,0.71,0,0,0,0,0,0,0,0,0,203.29,165.99,0.07,22.12,0,0
v15.14.0,binaryTrees_1_original.js 21,10.4868,1762,1695396921.04898,0,0,1640.8,71.2,2305.6,1896,1.57,261314,0,2283.6,56910.8,8022.2,803,1442.1,1,2730.8,61.9,3351,0.02,5,0.84,0.2,0.64,0,5.58,0.29,16.15,21.84,0.12,0.37,6.47,73.5,74.1,99.47,450,360,352.46,99.71,0.72,0.71,0,0,0,0,0,0,0,0,0,167.93,134.79,0.06,21.45,0,0
v16.20.2,binaryTrees_1_original.js 21,8.80001,1880.7,1695516264.904506,0.00,0.00,2129.20,71.00,3004.50,1896.00,1.49,203378.60,0.00,2415.40,45898.10,3408.70,677.00,1961.70,1.00,4455.50,67.20,4832.70,0.04,4.25,0.57,0.19,0.86,0.00,6.61,0.29,16.06,21.86,0.12,0.51,6.51,84.90,85.30,99.30,300.00,300.00,355.24,99.64,0.85,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,231.11,203.57,0.05,19.72,0.00,0.00
v17.9.1,binaryTrees_1_original.js 21,9.78427,1919.3,1695516925.933034,0.00,0.00,1874.70,69.87,2701.00,1896.00,1.50,204678.80,0.00,1926.30,43179.30,3894.90,789.50,2144.60,0.30,5034.70,117.30,5232.50,0.03,3.88,0.62,0.20,0.90,0.00,6.70,0.53,17.13,21.32,0.11,0.56,8.14,83.00,82.90,99.35,300.00,300.00,348.27,99.61,0.77,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.60,171.15,0.05,19.82,0.00,0.00
v18.17.1,binaryTrees_1_original.js 21,5.95001,1726.7,1695517572.435433,0.00,0.00,1819.20,64.37,2841.20,1896.00,1.46,209827.30,0.00,1834.50,40728.90,7254.00,992.30,2015.60,1.10,3638.40,97.10,3390.80,0.03,5.05,1.68,0.40,1.39,0.00,6.82,0.66,19.41,21.19,0.27,0.91,13.25,83.30,83.50,99.16,300.00,300.00,317.23,99.47,0.88,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.53,113.70,0.04,11.71,0.00,0.00
v19.9.0,binaryTrees_1_original.js 21,6.11267,1524.5,1695518119.799051,0.00,0.00,1732.50,60.58,2880.30,1896.00,1.50,226305.80,0.00,1750.40,38697.20,5547.60,818.70,1625.00,1.00,3292.50,151.90,3597.20,0.02,4.81,1.18,0.29,1.17,0.00,7.11,1.07,23.61,21.05,0.19,0.83,17.35,82.60,82.90,99.15,300.00,300.00,305.91,99.40,0.89,0.88,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,133.47,115.33,0.04,11.74,0.00,0.00
v20.5.1,binaryTrees_1_original.js 21,5.79578,1404.3,1695518666.100680,0.00,0.00,1841.10,64.65,2859.00,1896.00,1.49,205658.20,0.00,2186.30,40627.80,10446.40,990.70,1944.50,0.10,3675.90,95.10,3261.40,0.03,5.23,1.67,0.35,1.37,0.00,7.09,0.67,18.79,22.04,0.28,0.87,12.16,84.80,85.30,99.13,300.00,300.00,321.78,99.42,0.91,0.90,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130.18,112.78,0.04,11.55,0.00,0.00
