version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
v0.8.28,binaryTrees_1_original.js 21,0.0283932,1504.1,1692875037.079714,0.00,0.00,586.50,15.81,3664.40,1919.10,1.25,138.00,0.00,3.60,29.00,41.00,27.40,73.90,0.40,44.60,0.10,0.30,0.03,5.92,4.66,4.60,22.16,0.01,47.55,0.00,0.08,30.57,4.67,24.05,24.91,65.30,65.70,81.01,305.00,300.00,124.89,98.97,19.21,18.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.37,0.01,0.03,0.00,0.00
v0.10.48,binaryTrees_1_original.js 21,0.0295715,1827,1692875157.948090,0.00,0.00,650.20,17.61,3754.20,1883.40,1.24,122.90,0.00,1.20,20.70,26.40,26.50,79.30,0.00,52.00,0.00,0.60,0.01,3.07,2.12,3.99,23.14,0.00,49.07,0.00,0.20,25.74,4.90,26.98,24.77,62.40,62.70,71.31,300.00,300.00,132.62,97.30,24.98,24.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.40,0.01,0.03,0.00,0.00
v0.12.18,binaryTrees_1_original.js 21,0.0513624,1074.7,1692875279.109965,0.00,0.00,559.50,14.27,3923.90,1897.90,1.18,152.70,0.00,0.90,16.60,22.20,17.40,40.10,0.00,106.00,0.00,1.20,0.01,1.88,2.14,1.68,9.68,0.00,69.93,0.00,0.28,20.44,1.39,9.70,54.21,65.90,66.40,84.48,300.00,300.00,111.80,98.63,14.77,14.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.71,0.01,0.05,0.00,0.00
v1.8.4,binaryTrees_1_original.js 21,0.051975,1068.2,1692875400.301192,0.00,0.00,560.40,14.43,3890.80,1900.10,1.17,157.50,0.00,0.60,18.00,15.20,17.40,43.90,0.30,105.20,0.00,2.40,0.00,2.22,0.67,1.77,9.20,0.17,69.97,0.00,1.50,19.15,1.92,9.33,55.17,64.20,64.40,85.86,300.00,300.00,112.31,98.65,13.67,13.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.70,0.01,0.05,0.00,0.00
v2.5.0,binaryTrees_1_original.js 21,0.0489587,1071.8,1692875521.432818,0.00,0.00,600.30,15.53,3908.80,1899.10,1.26,153.20,0.00,0.60,26.20,23.60,19.80,46.80,0.00,96.80,0.00,2.70,0.00,1.78,1.92,2.08,10.63,0.00,65.93,0.00,2.00,20.39,2.06,9.93,52.09,64.40,65.40,83.48,300.00,300.00,120.33,98.53,16.26,15.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.70,0.01,0.04,0.00,0.00
v3.3.1,binaryTrees_1_original.js 21,0.050286,1130.2,1692875642.665737,0.00,0.00,640.70,16.85,3831.70,1901.60,1.26,173.30,0.00,0.50,74.60,47.00,20.70,41.10,0.00,100.20,0.00,3.70,0.00,5.92,2.43,1.97,8.90,0.00,62.31,0.00,1.56,27.00,1.36,7.53,47.26,64.70,64.70,86.27,300.00,300.00,129.69,98.49,13.39,13.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.74,0.01,0.04,0.00,0.00
v4.9.1,binaryTrees_1_original.js 21,0.0573267,1092.2,1692875763.938074,0.00,0.00,551.40,14.02,3930.60,1898.00,1.18,168.90,0.00,1.10,54.00,42.10,19.90,33.50,0.00,113.40,0.00,4.40,0.00,3.75,2.64,1.42,6.98,0.00,67.86,0.00,3.21,22.05,1.02,6.61,56.30,64.40,65.10,88.08,300.00,300.00,109.34,98.64,11.58,11.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.78,0.01,0.05,0.00,0.00
v5.12.0,binaryTrees_1_original.js 21,0.0326364,1066.4,1692875884.855040,0.00,0.00,551.50,14.32,3793.30,1926.80,1.08,113.00,0.00,0.90,18.10,12.80,10.70,38.00,0.00,70.90,0.10,0.50,0.01,2.45,0.87,1.86,14.40,0.00,67.18,0.00,0.15,20.21,1.56,14.16,49.74,59.90,60.40,80.12,300.00,300.00,114.85,99.80,21.87,21.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.41,0.01,0.03,0.00,0.00
v6.17.1,binaryTrees_1_original.js 21,0.039916,1087.7,1692876005.931404,0.00,0.00,555.70,14.35,3870.90,1898.40,1.11,126.60,0.00,1.00,26.00,18.90,18.80,42.30,0.00,82.50,0.00,0.20,0.01,3.33,1.93,1.89,11.71,0.00,66.51,0.00,0.21,21.75,1.74,11.19,50.97,61.40,61.80,80.66,300.00,300.00,111.80,98.74,18.19,17.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.52,0.01,0.04,0.00,0.00
v7.10.1,binaryTrees_1_original.js 21,0.0656478,1162.8,1692876127.355420,0.00,0.00,544.90,13.98,3894.90,1897.60,1.24,177.20,0.00,1.20,57.70,33.90,20.00,37.00,0.00,129.60,0.00,5.20,0.00,4.34,1.27,1.24,6.51,0.00,68.89,0.00,3.66,21.13,1.16,5.67,58.06,63.50,63.60,89.97,300.00,300.00,108.35,98.68,9.40,9.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.88,0.01,0.05,0.00,0.00
