test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v4.9.1,binaryTrees_7_original.js 21,0.057416,1042,1692880614.949187,-,-,541,13.99,3857,1900,1.20,174,0,0,63,53,31,31,0,90,0,6,0.00,5.63,1.32,1.09,5.58,0.00,68.14,0.00,4.27,21.68,0.53,4.23,59.57,58,58,97.53,300,300,108.88,98.97,3.27,3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.74,0.00,0.05,0.00,0.00
2,v4.9.1,binaryTrees_7_original.js 21,0.058141,1051,1692880615.044703,-,-,556,14.40,3860,1898,1.15,178,0,1,53,43,14,44,0,124,0,9,0.01,1.60,4.70,2.43,6.91,0.00,65.28,0.00,4.58,23.13,1.65,6.15,54.67,59,61,87.72,300,300,110.19,98.58,11.98,11.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.77,0.01,0.05,0.00,0.00
3,v4.9.1,binaryTrees_7_original.js 21,0.057727,1083,1692880615.137417,-,-,550,14.22,3866,1898,1.18,170,0,0,39,45,26,39,0,125,0,0,0.00,2.69,3.55,0.35,6.98,0.00,72.12,0.00,0.00,20.71,0.32,5.65,59.10,63,63,84.88,300,300,111.91,98.78,13.28,13.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.76,0.01,0.05,0.00,0.00
4,v4.9.1,binaryTrees_7_original.js 21,0.057580,1113,1692880615.227135,-,-,534,13.53,3949,1896,1.19,157,0,0,12,22,18,32,0,106,0,0,0.00,0.92,0.96,2.29,10.48,0.00,71.58,0.00,0.00,16.10,1.56,10.66,58.14,61,64,86.84,300,300,106.01,98.50,11.51,11.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.76,0.01,0.05,0.00,0.00
5,v4.9.1,binaryTrees_7_original.js 21,0.057459,1152,1692880615.315632,-,-,648,16.24,3996,1895,1.13,211,0,9,84,39,35,47,0,114,0,2,0.04,1.66,1.01,1.78,11.19,0.00,67.62,0.00,0.22,17.48,0.96,12.47,52.86,61,63,87.02,300,300,119.35,98.57,12.14,12.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.07,0.87,0.01,0.05,0.00,0.00
6,v4.9.1,binaryTrees_7_original.js 21,0.055936,1059,1692880615.402871,-,-,541,13.45,4025,1896,1.21,158,0,0,17,17,13,29,0,110,0,0,0.00,0.99,0.72,2.38,7.06,0.00,75.29,0.00,0.00,17.08,3.08,5.29,61.10,63,66,89.39,300,300,106.94,98.94,11.55,11.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.77,0.01,0.05,0.00,0.00
7,v4.9.1,binaryTrees_7_original.js 21,0.059150,4238,1692880615.493079,-,-,564,14.16,4067,1857,1.17,174,0,1,9,28,21,33,0,118,0,3,0.01,0.48,1.16,1.54,7.35,0.00,70.60,0.00,2.67,16.55,1.62,7.75,59.93,65,64,72.70,300,300,106.14,94.99,20.69,20.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,0.81,0.01,0.05,0.00,0.00
8,v4.9.1,binaryTrees_7_original.js 21,0.058208,1052,1692880615.578085,-,-,584,14.75,3955,1898,1.14,171,0,1,18,8,22,33,0,118,0,0,0.01,1.21,0.34,2.26,6.30,0.00,75.09,0.00,0.00,15.78,2.32,3.65,63.50,63,66,87.62,300,300,111.66,99.11,12.27,12.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.03,0.81,0.01,0.06,0.00,0.00
9,v4.9.1,binaryTrees_7_original.js 21,0.057552,1042,1692880615.666659,-,-,535,13.58,3937,1897,1.19,166,0,1,14,17,22,29,0,119,0,0,0.00,0.96,0.47,0.78,8.56,0.00,75.60,0.00,0.00,16.56,0.53,10.80,58.54,62,62,88.62,300,300,107.87,99.28,12.19,12.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.75,0.01,0.05,0.00,0.00
10,v4.9.1,binaryTrees_7_original.js 21,0.056225,1101,1692880615.753167,-,-,543,13.50,4022,1897,1.20,168,0,3,12,16,28,29,0,103,0,2,0.01,1.69,0.73,1.63,8.18,0.00,70.59,0.00,3.54,18.82,1.08,10.35,56.25,65,65,87.15,300,300,106.76,98.82,12.54,12.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.78,0.01,0.05,0.00,0.00
