test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v1.8.4,binaryTrees_7.js 21,1.00,0.45,0.56,0.14,0.04,0.26,6.83,2.21,0.25,4.70,2.16,19034125843 ns,79157956581,4.048 GHz,174929749206,2.22,19554.91 msec,1.027,79312510336,4.056 GHz,2,36802530961,466148845,19555.05 msec,1.027,153 C,30977175961,69849503,0.23%,70,30347989555,5965249,5965249,0,2404259224,1458459761,60.662,41461044110,1371294446,3.31%,142366873,46244264,32.48%,95208012,41015234297,12564154,0.03%,269734,9848921,3651.35%,0,0
2,v1.8.4,binaryTrees_7.js 21,0.99,0.45,0.57,0.14,0.04,0.26,6.85,2.23,0.27,4.34,1.95,20931422375 ns,78101250834,3.635 GHz,173704231835,2.23,21486.13 msec,1.027,78193194006,3.639 GHz,14,40261966053,510052450,21486.29 msec,1.027,192 C,31046074964,71577078,0.23%,26,30557099306,5965248,5965248,0,2347788738,1434478827,61.099,41811311679,1382616769,3.31%,139559155,40740979,29.19%,102625800,41361153013,12917061,0.03%,282340,9657515,3420.53%,0,0
3,v1.8.4,binaryTrees_7.js 21,1.00,0.45,0.57,0.14,0.04,0.25,6.86,2.24,0.24,3.86,1.77,22751782984 ns,78025461987,3.340 GHz,175191634098,2.25,23361.49 msec,1.027,77989365154,3.338 GHz,20,43995166164,554754047,23361.63 msec,1.027,179 C,30929897558,71955067,0.23%,57,30476039226,5964444,5964444,0,2440351287,1505278969,61.683,41345066360,1409188927,3.41%,149141657,52151622,34.97%,101318707,41472789201,13413890,0.03%,130880,10060975,7687.18%,0,0
4,v1.8.4,binaryTrees_7.js 21,1.00,0.44,0.57,0.14,0.04,0.26,6.84,2.26,0.24,3.95,1.77,22649616769 ns,77373539433,3.326 GHz,173573898461,2.24,23265.02 msec,1.027,77451572934,3.329 GHz,2,43729318970,552655751,23265.14 msec,1.027,182 C,30777867445,72213224,0.23%,57,30772185239,5964723,5964723,0,2352990439,1405374125,59.727,41790713840,1400935095,3.35%,143164648,45940053,32.09%,100415122,41709744343,13235385,0.03%,116028,10086048,8692.77%,0,0
5,v1.8.4,binaryTrees_7.js 21,1.00,0.44,0.57,0.14,0.04,0.25,6.85,2.24,0.23,3.87,1.77,22902234527 ns,78509911031,3.334 GHz,176656094998,2.25,23547.26 msec,1.028,78558781263,3.336 GHz,13,44461976725,563046793,23547.42 msec,1.028,191 C,31264429189,72490495,0.23%,65,30558738044,5966020,5966020,0,2443732247,1507263486,61.679,42324443095,1386861857,3.28%,144930341,48353577,33.36%,98406548,41869613479,13313250,0.03%,76050,10054793,13221.29%,0,0
6,v1.8.4,binaryTrees_7.js 21,1.00,0.44,0.57,0.14,0.04,0.25,6.83,2.22,0.25,3.94,1.77,22807531146 ns,78283192340,3.342 GHz,175166899789,2.24,23422.33 msec,1.027,78302294155,3.343 GHz,18,44281895739,560609821,23422.48 msec,1.027,188 C,31158751142,72583493,0.23%,70,30858858036,5964453,5964453,0,2361518044,1449569857,61.383,41673698393,1379353977,3.31%,145552630,50458090,34.67%,99789005,41839515416,12901074,0.03%,86887,10417946,11990.22%,0,0
7,v1.8.4,binaryTrees_7.js 21,1.00,0.44,0.57,0.14,0.04,0.25,6.80,2.23,0.25,3.94,1.77,22817084023 ns,77428300769,3.304 GHz,173241998411,2.22,23433.93 msec,1.027,77538736749,3.309 GHz,7,43825538128,555257491,23434.05 msec,1.027,178 C,30918845528,72072257,0.23%,57,30446089667,5964259,5964259,0,2367550891,1442303304,60.920,41582454338,1374078829,3.30%,142528070,48280288,33.87%,100060180,41782023839,13046077,0.03%,28666,10009662,34918.24%,0,0
8,v1.8.4,binaryTrees_7.js 21,1.00,0.44,0.57,0.13,0.04,0.26,6.84,2.24,0.25,3.85,1.77,22944730332 ns,78238682743,3.316 GHz,176163732287,2.25,23593.07 msec,1.028,78325798813,3.320 GHz,1,44306931293,561186736,23593.20 msec,1.028,183 C,31123830604,74173577,0.24%,79,30367391119,5964821,5964821,0,2406518675,1490533343,61.937,41815620890,1400905803,3.35%,148315334,47182855,31.81%,106066168,42134245190,13173188,0.03%,72801,10091399,13861.62%,0,0
9,v1.8.4,binaryTrees_7.js 21,1.00,0.44,0.57,0.14,0.04,0.25,6.84,2.24,0.26,3.86,1.77,22756937498 ns,77403474693,3.313 GHz,173381967772,2.24,23361.46 msec,1.027,77502000010,3.318 GHz,17,43925742617,556354528,23361.60 msec,1.027,163 C,30890201152,72267167,0.23%,70,30381696695,5966209,5966209,0,2387283442,1476703466,61.857,41593785041,1386090065,3.33%,146507682,50949318,34.78%,101643951,41485006392,12952955,0.03%,134145,10288649,7669.80%,0,0
10,v1.8.4,binaryTrees_7.js 21,1.00,0.44,0.58,0.14,0.04,0.25,6.86,2.23,0.24,3.88,1.76,22693593812 ns,77095427707,3.302 GHz,173831611564,2.25,23344.95 msec,1.029,77207631304,3.307 GHz,19,43812050536,555048054,23345.10 msec,1.029,152 C,30819273748,70925661,0.23%,61,30102108924,5967493,5967493,0,2447894987,1502888689,61.395,41268984097,1422038846,3.45%,150117745,47630142,31.73%,100991210,41528300517,13237511,0.03%,152389,10265397,6736.31%,0,0
