test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v19.9.0,binaryTrees_7.js 21,23.868163,1099,1695135749.351140,-,-,604,15.01,4026,1896,1.73,604326,0,429,155428,13708,327,785,8,3420,38,6640,0.00,3.00,0.45,0.05,0.23,0.00,4.96,0.11,76.15,18.29,0.09,0.33,66.27,75,75,98.94,450,300,114.98,99.49,0.97,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,421.27,366.68,0.23,16.19,0.00,0.00
2,v19.9.0,binaryTrees_7.js 21,23.928854,1063,1695135773.327369,-,-,606,15.07,4024,1896,1.74,609321,0,921,139798,14689,369,847,0,3772,47,6934,0.00,2.84,0.46,0.07,0.26,0.00,5.55,0.18,75.54,18.36,0.10,0.39,66.08,85,85,98.90,450,300,115.16,99.47,0.98,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,436.65,380.63,0.24,16.24,0.00,0.00
3,v19.9.0,binaryTrees_7.js 21,24.427073,1065,1695135797.789753,-,-,599,15.06,3978,1896,1.73,620257,0,706,141404,15764,601,1176,0,5260,1030,14492,0.00,2.67,0.46,0.08,0.34,0.00,6.21,3.61,71.51,18.29,0.09,0.47,66.09,85,87,98.90,450,300,115.05,99.19,0.96,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,436.87,379.88,0.24,16.46,0.00,0.00
4,v19.9.0,binaryTrees_7.js 21,24.132160,1063,1695135821.957194,-,-,619,15.43,4008,1896,1.68,594387,0,623,137589,22737,389,944,4,4767,579,11659,0.00,2.89,0.60,0.08,0.36,0.00,5.73,1.79,73.07,17.51,0.09,0.53,66.44,93,93,98.87,450,300,114.12,99.32,0.99,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,442.51,386.12,0.25,16.43,0.00,0.00
5,v19.9.0,binaryTrees_7.js 21,27.984307,1402,1695135849.973806,-,-,510,14.97,3405,1896,1.76,605813,0,1544,106859,34862,480,1218,1,4537,75,7971,0.00,2.11,0.82,0.06,0.25,0.00,4.86,0.14,76.80,17.59,0.10,0.35,67.00,77,78,98.97,450,300,114.23,99.70,0.89,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,340.23,275.83,0.24,17.49,0.00,0.00
6,v19.9.0,binaryTrees_7.js 21,28.079522,1186,1695135878.093648,-,-,505,14.93,3385,1896,1.77,601611,0,759,129711,30545,465,1060,0,4236,45,7552,0.00,2.42,0.76,0.08,0.22,0.00,4.86,0.15,76.60,18.15,0.11,0.33,66.49,80,81,98.95,450,300,114.91,99.73,0.90,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,334.81,270.25,0.24,17.45,0.00,0.00
7,v19.9.0,binaryTrees_7.js 21,27.994067,1177,1695135906.129292,-,-,507,14.96,3392,1896,1.77,602475,0,1882,109865,32821,437,1164,6,4620,56,7793,0.00,2.20,0.78,0.09,0.24,0.00,5.17,0.18,76.38,17.84,0.15,0.30,66.76,72,72,98.90,450,300,114.33,99.72,0.92,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,334.23,269.84,0.24,17.56,0.00,0.00
8,v19.9.0,binaryTrees_7.js 21,27.907993,1178,1695135934.073481,-,-,500,14.75,3394,1896,1.79,588171,0,460,132025,28043,524,1066,2,4230,55,7498,0.00,2.33,0.62,0.08,0.24,0.00,4.75,0.21,77.04,17.99,0.12,0.31,66.84,74,73,98.96,450,300,114.23,99.72,0.87,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,332.94,268.84,0.23,17.41,0.00,0.00
9,v19.9.0,binaryTrees_7.js 21,27.924809,1120,1695135962.033715,-,-,505,14.91,3390,1896,1.77,603105,0,1558,109475,29767,812,1355,1,4648,78,7654,0.00,2.24,0.68,0.09,0.32,0.00,5.02,0.30,76.45,18.09,0.12,0.44,66.43,77,78,98.91,450,300,115.19,99.73,0.92,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,333.35,269.15,0.25,17.47,0.00,0.00
10,v19.9.0,binaryTrees_7.js 21,28.090564,1180,1695135990.160587,-,-,513,15.08,3403,1896,1.75,594419,0,379,126396,38555,520,996,0,4177,37,6769,0.00,2.31,0.84,0.07,0.25,0.00,4.62,0.16,76.68,17.15,0.10,0.35,67.32,76,76,98.97,450,300,113.48,99.73,0.84,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,335.19,270.80,0.24,17.54,0.00,0.00
