test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v2.5.0,binaryTrees_7.js 21,23.109441,1106,1692124998.719137,-,-,534,13.04,4098,1896,1.91,13370,0,6,415,287,206,437,4,3055,23,3987,0.00,0.06,0.05,0.04,0.17,0.00,4.98,0.03,81.54,13.38,0.06,0.24,73.28,85,85,98.47,300,300,103.80,99.54,1.39,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,395.05,338.67,0.30,21.70,0.00,0.00
2,v2.5.0,binaryTrees_7.js 21,22.997619,1220,1692125021.787752,-,-,535,13.06,4097,1896,1.92,14313,0,46,359,378,243,482,2,2728,103,5167,0.00,0.11,0.04,0.02,0.18,0.00,4.27,0.27,81.98,13.52,0.03,0.25,73.14,90,90,98.42,300,300,104.09,99.57,1.29,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,409.94,352.78,0.29,21.70,0.00,0.00
3,v2.5.0,binaryTrees_7.js 21,23.132820,1342,1692125044.955075,-,-,534,13.03,4097,1896,1.92,12547,0,21,203,344,213,457,1,2966,19,4064,0.00,0.07,0.07,0.02,0.16,0.00,4.70,0.03,81.84,13.65,0.03,0.26,73.03,87,87,98.42,300,300,104.37,99.54,1.35,1.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,414.99,357.63,0.30,21.76,0.00,0.00
4,v2.5.0,binaryTrees_7.js 21,24.655194,1230,1692125069.644443,-,-,493,13.06,3778,1896,1.95,25208,0,10,349,417,224,821,4,4275,916,11914,0.00,0.09,0.05,0.02,0.31,0.00,5.31,2.03,79.04,13.83,0.03,0.54,72.55,78,78,98.45,300,300,104.62,99.46,1.28,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,371.73,311.26,0.31,22.25,0.00,0.00
5,v2.5.0,binaryTrees_7.js 21,26.567565,1183,1692125096.247835,-,-,455,13.13,3466,1896,1.95,13941,0,22,291,285,226,428,7,3116,21,4617,0.00,0.12,0.01,0.02,0.15,0.01,4.35,0.05,82.14,13.27,0.02,0.21,73.37,77,79,98.53,300,300,103.59,99.77,1.20,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,316.66,252.85,0.31,21.98,0.00,0.00
6,v2.5.0,binaryTrees_7.js 21,26.522136,1210,1692125122.804588,-,-,453,13.09,3460,1896,1.98,14447,0,60,461,376,244,516,3,3419,17,5044,0.00,0.04,0.04,0.02,0.15,0.00,4.70,0.04,81.89,13.35,0.03,0.22,73.30,78,78,98.48,300,300,104.36,99.77,1.25,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,316.40,252.45,0.31,22.21,0.00,0.00
7,v2.5.0,binaryTrees_7.js 21,26.357037,1259,1692125149.201883,-,-,454,13.08,3468,1896,1.98,13823,0,15,149,246,185,578,0,3098,33,4664,0.00,0.06,0.03,0.01,0.17,0.00,4.16,0.06,82.40,13.33,0.02,0.29,73.29,79,79,98.57,300,300,104.21,99.77,1.17,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,314.51,251.27,0.29,21.94,0.00,0.00
8,v2.5.0,binaryTrees_7.js 21,26.241198,1207,1692125175.479114,-,-,453,13.07,3467,1896,1.98,13888,0,13,353,378,195,457,2,2958,16,4624,0.00,0.12,0.01,0.02,0.14,0.00,4.20,0.03,82.37,13.56,0.03,0.20,73.15,78,78,98.49,300,300,104.43,99.77,1.22,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,312.91,249.82,0.30,22.08,0.00,0.00
9,v2.5.0,binaryTrees_7.js 21,26.521727,1186,1692125202.034702,-,-,452,13.04,3469,1896,1.98,14040,0,13,258,239,209,495,1,3055,20,4521,0.00,0.07,0.02,0.02,0.15,0.00,4.19,0.06,82.42,13.31,0.02,0.24,73.39,78,78,98.61,300,300,104.12,99.77,1.13,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,316.48,253.11,0.28,21.90,0.00,0.00
10,v2.5.0,binaryTrees_7.js 21,29.907830,1248,1692125231.979042,-,-,614,21.48,2860,1896,1.77,38137,0,909,25319,10888,4570,8442,35,8695,26,6823,0.01,1.00,0.67,0.40,1.47,0.00,9.18,0.04,65.74,19.98,0.31,0.90,57.33,77,78,98.58,300,300,158.80,99.76,1.17,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,356.03,280.63,0.30,28.54,0.00,0.00
