version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
v0.8.28,binaryTrees_7.js 21,23.0168,1260.2,1692122633.945354,0.00,0.00,480.70,12.91,3725.00,1896.00,2.24,33524.70,0.00,52.30,444.40,1228.70,2094.70,15966.10,2.30,7192.70,214.40,7826.20,0.00,0.09,0.11,0.12,7.01,0.00,7.24,0.62,71.84,14.47,0.13,12.74,59.75,81.40,81.70,98.50,400.00,350.00,103.70,99.49,1.17,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,327.83,266.80,0.27,29.85,0.00,0.00
v0.10.48,binaryTrees_7.js 21,25.9239,1188.5,1692123297.488933,0.00,0.00,473.40,12.87,3679.60,1896.00,2.10,37031.30,0.00,32.70,447.10,1256.70,2136.10,17463.40,1.40,7424.20,222.50,7365.10,0.00,0.09,0.08,0.11,6.94,0.00,6.89,0.59,72.41,14.32,0.11,12.31,60.40,80.50,80.80,98.60,398.30,358.30,103.46,99.58,1.09,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,354.60,288.06,0.28,30.37,0.00,0.00
v0.12.18,binaryTrees_7.js 21,24.3442,1172.1,1692123950.322811,0.00,0.00,495.20,13.33,3713.90,1896.00,2.05,15365.90,0.00,108.60,387.00,387.50,223.00,520.90,1.90,3105.40,154.30,5653.60,0.00,0.09,0.04,0.02,0.17,0.00,4.56,0.48,81.25,13.52,0.03,0.25,72.87,81.80,82.10,98.56,400.00,300.00,105.19,99.62,1.18,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,341.38,282.25,0.30,21.25,0.00,0.00
v1.8.4,binaryTrees_7.js 21,21.8333,1201.8,1692124574.185156,0.00,0.00,483.80,13.13,3685.40,1896.00,2.09,15221.10,0.00,25.40,330.00,340.60,234.90,502.80,1.90,3123.10,282.70,6047.30,0.00,0.08,0.04,0.02,0.19,0.00,5.02,0.99,80.46,13.63,0.03,0.28,72.94,81.20,81.70,98.44,320.00,300.00,104.82,99.59,1.31,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,310.06,256.14,0.28,20.51,0.00,0.00
v2.5.0,binaryTrees_7.js 21,25.6013,1219.1,1692125231.979042,0.00,0.00,497.70,13.91,3626.00,1896.00,1.93,17371.40,0.00,111.50,2815.70,1383.80,651.50,1311.30,5.90,3736.50,119.40,5542.50,0.00,0.17,0.10,0.06,0.30,0.00,5.00,0.26,80.14,14.12,0.06,0.34,71.58,80.70,81.00,98.50,300.00,300.00,109.64,99.67,1.25,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,352.47,290.05,0.30,22.61,0.00,0.00
v3.3.1,binaryTrees_7.js 21,23.4947,1163.1,1692125874.515158,0.00,0.00,485.70,13.07,3716.50,1896.00,1.88,14496.90,0.00,26.50,329.10,336.70,227.90,536.00,1.20,3026.30,172.00,5333.10,0.00,0.08,0.03,0.02,0.19,0.00,4.47,0.65,81.43,13.48,0.03,0.28,73.13,81.10,82.00,98.50,300.00,300.00,104.29,99.63,1.26,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,329.61,272.24,0.28,21.23,0.00,0.00
v4.9.1,binaryTrees_7.js 21,21.3114,1177.6,1692126492.615720,0.00,0.00,481.50,13.08,3679.70,1896.00,1.96,13675.70,0.00,38.60,271.10,286.40,176.90,467.30,1.40,2812.50,183.80,5271.30,0.00,0.08,0.03,0.02,0.18,0.00,4.65,0.58,81.32,13.55,0.03,0.29,73.05,79.50,79.80,98.40,300.00,300.00,104.44,99.62,1.33,1.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,299.49,246.62,0.27,20.28,0.00,0.00
v5.12.0,binaryTrees_7.js 21,21.343,1205.5,1692127106.461249,0.00,0.00,484.20,13.13,3686.10,1896.00,1.96,13725.50,0.00,29.40,320.30,305.70,218.00,490.70,1.50,2883.10,132.10,5420.30,0.00,0.08,0.04,0.02,0.19,0.00,4.82,0.50,81.16,13.49,0.04,0.28,73.06,80.90,81.40,98.38,300.00,300.00,104.43,99.61,1.32,1.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,301.98,248.99,0.28,20.40,0.00,0.00
v6.17.1,binaryTrees_7.js 21,22.9955,1163.1,1692127736.742188,0.00,0.00,501.90,13.95,3597.50,1896.00,1.98,81003.10,0.00,41.40,8049.40,26658.30,247.70,628.80,1.50,3288.60,191.00,6151.30,0.00,0.18,0.49,0.03,0.22,0.00,5.08,0.62,79.38,14.68,0.04,0.33,71.00,79.40,79.90,98.49,300.00,300.00,108.59,99.60,1.30,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,320.33,264.22,0.28,20.74,0.00,0.00
v7.10.1,binaryTrees_7.js 21,23.3945,1166,1692128373.430149,0.00,0.00,527.30,14.77,3568.40,1896.00,1.93,246981.50,0.00,76.40,78087.60,4720.50,269.00,599.80,1.60,3501.50,269.40,6819.40,0.00,1.40,0.20,0.04,0.24,0.00,5.18,0.91,77.24,16.21,0.06,0.34,68.62,79.50,80.00,98.49,300.00,300.00,113.21,99.45,1.27,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,326.69,269.26,0.27,21.44,0.00,0.00
v8.17.0,binaryTrees_7.js 21,21.4656,1288.8,1692128991.077554,0.00,0.00,545.40,14.65,3711.00,1896.00,1.80,181453.00,0.00,242.40,95291.90,1794.80,661.10,1331.50,6.30,3787.70,272.40,6408.50,0.00,1.54,0.20,0.09,0.44,0.00,5.75,0.79,76.51,16.53,0.09,0.46,68.28,80.20,81.70,98.51,300.00,300.00,114.41,99.55,1.32,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,314.68,264.39,0.27,14.23,0.00,0.00
v9.11.2,binaryTrees_7.js 21,21.2984,1197.2,1692129604.828683,0.00,0.00,515.90,13.79,3740.70,1896.00,1.82,173294.50,0.00,89.50,93196.80,796.30,201.30,542.90,1.00,3009.90,155.80,5280.90,0.00,1.32,0.12,0.04,0.24,0.00,4.89,0.55,79.02,15.47,0.06,0.34,70.34,79.50,80.00,98.50,300.00,300.00,108.27,99.58,1.33,1.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,302.77,253.28,0.27,13.65,0.00,0.00
v10.24.1,binaryTrees_7.js 21,25.8675,1376,1692130264.398328,0.00,0.00,1031.50,35.25,2924.50,1896.00,1.67,321700.90,0.00,74.80,90323.90,4554.80,341.10,1036.20,1.70,5987.20,233.50,9420.80,0.00,2.74,0.53,0.05,0.34,0.00,7.51,0.77,52.72,28.37,0.06,0.30,36.02,76.80,77.40,98.72,300.00,300.00,238.86,99.63,1.21,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,383.66,321.76,0.27,21.87,0.00,0.00
v11.15.0,binaryTrees_7.js 21,26.4974,1453.9,1692130931.200076,0.00,0.00,993.60,33.76,2940.20,1896.00,1.74,320290.40,0.00,87.70,90631.80,3902.40,330.10,1000.70,2.00,5991.80,150.60,9165.10,0.00,2.59,0.48,0.06,0.32,0.00,7.69,0.48,54.54,28.36,0.06,0.32,37.50,76.00,76.30,98.74,300.00,300.00,233.04,99.64,1.19,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,387.15,324.21,0.26,21.71,0.00,0.00
v12.22.12,binaryTrees_7.js 21,19.5974,1244.8,1692131532.272303,0.00,0.00,705.10,20.80,3386.10,1896.00,1.70,516964.10,0.00,632.30,167129.20,1832.90,283.80,676.90,0.80,3792.50,205.00,6113.10,0.00,2.07,0.16,0.07,0.35,0.00,6.92,0.88,68.76,21.01,0.08,0.45,57.65,79.10,79.60,98.46,300.00,300.00,155.74,99.56,1.42,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,299.29,252.66,0.25,14.90,0.00,0.00
v13.14.0,binaryTrees_7.js 21,19.2843,1206.5,1692132120.887388,0.00,0.00,767.70,23.25,3297.70,1896.00,1.61,525332.30,0.00,841.60,162762.10,1905.40,274.90,660.40,0.90,3663.90,193.40,5588.10,0.00,2.12,0.17,0.07,0.35,0.00,6.74,0.83,66.44,20.71,0.09,0.44,55.50,78.20,78.40,98.43,300.00,300.00,163.42,99.57,1.42,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,289.07,242.95,0.25,14.98,0.00,0.00
v14.21.3,binaryTrees_7.js 21,26.6784,1150.6,1692132782.048801,0.00,0.00,546.20,15.42,3541.70,1896.00,1.83,604941.70,0.00,569.80,182158.70,1119.50,295.10,757.10,2.30,3999.50,193.70,7080.50,0.00,1.96,0.13,0.05,0.29,0.00,5.19,0.64,76.33,16.68,0.06,0.40,67.44,78.10,78.40,98.66,300.00,300.00,117.70,99.62,1.20,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,367.51,305.69,0.29,17.57,0.00,0.00
