test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v7.10.1,nbody_6_original.js 50000000,1.00,0.39,0.59,0.36,0.02,0.03,5.85,2.54,0.00,2.82,1.80,148567942690 ns,503888618342,3.392 GHz,1281294442137,2.54,148547.69 msec,1.000,503840065881,3.392 GHz,23,280666806261,3552912995,148547.93 msec,1.000,157 C,333210174672,315224481,0.09%,159,164283854728,6966,6966,0,13736225240,6005019895,43.717,417375848723,6539130456,1.57%,172083065,36575873,21.25%,175738865,417246084830,4659216,0.00%,4744846,2245736,47.33%,0,0
2,v7.10.1,nbody_6_original.js 50000000,1.00,0.39,0.59,0.36,0.02,0.03,5.85,2.54,0.00,2.71,1.73,153796915032 ns,503706159257,3.275 GHz,1281114352563,2.54,153784.54 msec,1.000,503704178553,3.275 GHz,8,291065345518,3684601342,153784.66 msec,1.000,185 C,333331461964,314949266,0.09%,150,164306475021,6968,6968,0,13711231607,6010734086,43.838,417233356233,6521991764,1.56%,166324370,34207435,20.57%,175188506,417360498215,4478079,0.00%,3318660,2160605,65.10%,0,0
3,v7.10.1,nbody_6_original.js 50000000,1.00,0.39,0.59,0.36,0.02,0.03,5.82,2.55,0.00,2.70,1.72,154681448376 ns,503312327261,3.254 GHz,1281386080378,2.55,154668.12 msec,1.000,503253848652,3.254 GHz,10,292729198244,3705692098,154668.27 msec,1.000,176 C,333285003811,315362478,0.09%,155,164302651904,6966,6966,0,13916175679,5960507194,42.832,417224697434,6537962917,1.57%,176334143,39061757,22.15%,180149174,417139238832,4196898,0.00%,4256006,2373791,55.78%,0,0
4,v7.10.1,nbody_6_original.js 50000000,1.00,0.39,0.59,0.36,0.02,0.03,5.85,2.55,0.00,2.73,1.73,153803241440 ns,503317532202,3.273 GHz,1281225323009,2.55,153789.73 msec,1.000,503270421613,3.272 GHz,8,291070281341,3684670311,153789.87 msec,1.000,188 C,333229885891,314985467,0.09%,150,164275986675,6965,6965,0,13935091122,5984635294,42.947,417170917567,6557659459,1.57%,169501703,36148723,21.33%,172394346,417282845332,4265043,0.00%,2919569,2454396,84.07%,0,0
5,v7.10.1,nbody_6_original.js 50000000,1.00,0.39,0.59,0.36,0.02,0.03,5.85,2.55,0.00,2.73,1.73,153743125697 ns,503309447681,3.274 GHz,1281321666882,2.55,153723.94 msec,1.000,503273457525,3.274 GHz,10,290941355515,3683062103,153724.15 msec,1.000,188 C,333263257309,323228706,0.10%,154,164278288898,6966,6966,0,13678603091,5968579910,43.634,417132844009,6549474594,1.57%,168493171,36223583,21.50%,182609061,417297197915,4712059,0.00%,3403579,5114091,150.26%,0,0
6,v7.10.1,nbody_6_original.js 50000000,1.00,0.39,0.59,0.36,0.02,0.03,5.85,2.54,0.00,2.70,1.73,154058272095 ns,503794485751,3.271 GHz,1281219211094,2.54,154036.68 msec,1.000,503764006258,3.270 GHz,12,291526910608,3690477957,154036.97 msec,1.000,173 C,333230397494,315846190,0.09%,150,164300402549,6968,6968,0,13707677874,5971979586,43.567,417257540275,6496733183,1.56%,165636740,33976473,20.51%,188676339,417213864573,4251307,0.00%,4136707,3187031,77.04%,0,0
7,v7.10.1,nbody_6_original.js 50000000,1.00,0.40,0.58,0.36,0.02,0.03,5.84,2.52,0.00,2.70,1.73,155069658480 ns,508525381004,3.280 GHz,1281005322785,2.52,155057.39 msec,1.000,508506027121,3.279 GHz,8,293456104457,3714905194,155057.52 msec,1.000,176 C,333296508777,326869433,0.10%,150,164299383141,7030,7030,0,13696782342,5962285679,43.531,417257503115,6559470873,1.57%,193630237,42723268,22.06%,187098928,417538889541,4672526,0.00%,2799470,13513027,482.70%,0,0
8,v7.10.1,nbody_6_original.js 50000000,1.00,0.39,0.59,0.36,0.02,0.03,5.85,2.55,0.00,2.71,1.73,153819048692 ns,502806451767,3.269 GHz,1281153177771,2.55,153806.79 msec,1.000,502781828805,3.269 GHz,8,291106903567,3685161478,153806.94 msec,1.000,173 C,333264229087,315014144,0.09%,172,164289694022,6968,6968,0,13961361617,6013824204,43.075,417194223524,6521513103,1.56%,164190997,33654105,20.50%,172253429,417295737349,4159477,0.00%,3458525,2131867,61.64%,0,0
9,v7.10.1,nbody_6_original.js 50000000,1.00,0.39,0.59,0.36,0.02,0.03,5.85,2.54,0.00,2.71,1.73,154303669569 ns,503800667052,3.265 GHz,1281232657042,2.54,154286.20 msec,1.000,503783279133,3.265 GHz,12,292005832146,3696546346,154286.45 msec,1.000,184 C,333261498712,315421421,0.09%,150,164313290672,6966,6966,0,13604397760,5929812111,43.587,417233541170,6529865030,1.57%,179682066,42772617,23.80%,182128033,417254003788,4215243,0.00%,4208014,2382803,56.63%,0,0
10,v7.10.1,nbody_6_original.js 50000000,1.00,0.39,0.59,0.36,0.02,0.03,5.85,2.54,0.00,2.71,1.73,154162784938 ns,504890294241,3.275 GHz,1281713557417,2.54,154150.00 msec,1.000,504912584438,3.275 GHz,5,291750704599,3693290943,154150.11 msec,1.000,176 C,333404760139,315064461,0.09%,155,164349067063,6967,6967,0,13658948373,5996365225,43.901,417196642326,6522450571,1.56%,174152965,38933073,22.36%,175211269,417102337005,4215934,0.00%,3040567,3796510,124.86%,0,0
