test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v0.8.28,nbody_6_original.js 50000000,25217073,1.00,0.82,0.35,0.34,0.13,0.13,5.76,1.39,0.14,,,25217073 ns,94140727,3.763 GHz,<not,(0.00%),25.01 msec,0.992,<not,(0.00%) ,1,<not,<not,25.03 msec,0.992,99 C,<not,<not,(0.00%),<not,<not,1704,1704,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
2,v0.8.28,nbody_6_original.js 50000000,24947772,0.88,0.76,0.36,0.35,0.14,0.14,5.74,1.27,0.16,,,24947772 ns,93963278,3.769 GHz,<not,(0.00%),24.92 msec,0.999,<not,(0.00%) ,0,<not,<not,24.94 msec,1.000,93 C,<not,<not,(0.00%),<not,<not,1698,1698,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
3,v0.8.28,nbody_6_original.js 50000000,24970078,0.90,0.77,0.36,0.35,0.14,0.14,5.80,1.30,0.18,,,24970078 ns,92901130,3.731 GHz,<not,(0.00%),24.89 msec,0.997,<not,(0.00%) ,1,<not,<not,24.92 msec,0.998,95 C,<not,<not,(0.00%),<not,<not,1697,1697,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
4,v0.8.28,nbody_6_original.js 50000000,23900752,0.91,0.71,0.37,0.36,0.14,0.18,,,,,,23900752 ns,90372657,3.781 GHz,<not,(0.00%),23.89 msec,1.000,<not,(0.00%) ,0,<not,<not,23.91 msec,1.000,92 C,<not,<not,(0.00%),<not,<not,1701,1701,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
5,v0.8.28,nbody_6_original.js 50000000,24745944,0.92,0.76,0.36,0.36,0.14,0.14,5.86,1.29,0.53,,,24745944 ns,94657734,3.836 GHz,<not,(0.00%),24.67 msec,0.997,<not,(0.00%) ,0,<not,<not,24.69 msec,0.998,94 C,<not,<not,(0.00%),<not,<not,1700,1700,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
6,v0.8.28,nbody_6_original.js 50000000,24141518,0.87,0.72,0.37,0.37,0.14,0.14,6.00,1.30,0.67,,,24141518 ns,93161207,3.864 GHz,<not,(0.00%),24.10 msec,0.998,<not,(0.00%) ,0,<not,<not,24.12 msec,0.999,96 C,<not,<not,(0.00%),<not,<not,1702,1702,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
7,v0.8.28,nbody_6_original.js 50000000,25501094,0.88,0.72,0.37,0.35,0.12,0.14,5.49,1.29,0.33,,,25501094 ns,101101325,3.963 GHz,<not,(0.00%),25.50 msec,1.000,<not,(0.00%) ,5,<not,<not,25.52 msec,1.001,80 C,<not,<not,(0.00%),<not,<not,1705,1705,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
8,v0.8.28,nbody_6_original.js 50000000,24288984,0.87,0.73,0.37,0.36,0.14,0.15,5.18,0.94,0.44,,,24288984 ns,90012507,3.712 GHz,<not,(0.00%),24.24 msec,0.998,<not,(0.00%) ,0,<not,<not,24.26 msec,0.999,92 C,<not,<not,(0.00%),<not,<not,1702,1702,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
9,v0.8.28,nbody_6_original.js 50000000,24074745,0.88,0.72,0.37,0.37,0.14,0.16,5.83,1.18,0.90,,,24074745 ns,92096390,3.827 GHz,<not,(0.00%),24.06 msec,0.999,<not,(0.00%) ,0,<not,<not,24.08 msec,1.000,94 C,<not,<not,(0.00%),<not,<not,1701,1701,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
10,v0.8.28,nbody_6_original.js 50000000,24925768,0.87,0.73,0.37,0.37,0.14,0.14,5.72,1.31,0.44,,,24925768 ns,97066976,3.896 GHz,<not,(0.00%),24.91 msec,0.999,<not,(0.00%) ,1,<not,<not,24.93 msec,1.000,93 C,<not,<not,(0.00%),<not,<not,1701,1701,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
