test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v18.17.1,nbody_6_original.js 50000000,5.163830,1055,1692974138.466402,-,-,521,12.73,4093,1896,2.50,3368,0,50,368,187,60,159,7,838,5,1206,0.00,0.42,0.26,0.04,0.20,0.01,5.18,0.09,81.00,14.04,0.03,0.23,72.96,75,77,98.86,300,300,101.85,99.56,0.95,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.59,73.61,0.04,3.13,0.00,0.00
2,v18.17.1,nbody_6_original.js 50000000,5.110937,1064,1692974143.692822,-,-,520,12.68,4097,1896,2.53,2839,0,1,97,64,23,84,0,535,1,1059,0.00,0.14,0.04,0.02,0.16,0.00,3.71,0.02,83.17,13.15,0.02,0.17,73.98,81,81,98.81,300,300,101.52,99.62,1.04,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.02,74.37,0.04,3.09,0.00,0.00
3,v18.17.1,nbody_6_original.js 50000000,5.293959,1059,1692974149.073754,-,-,517,12.62,4098,1896,2.45,3146,0,0,71,65,29,84,0,628,0,1035,0.00,0.10,0.03,0.03,0.16,0.00,4.32,0.00,82.69,13.04,0.04,0.20,74.11,80,80,98.75,300,300,100.91,99.59,1.06,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.72,76.58,0.05,3.20,0.00,0.00
4,v18.17.1,nbody_6_original.js 50000000,5.121808,1038,1692974154.278349,-,-,519,12.68,4096,1896,2.53,3170,0,33,143,48,18,104,0,623,2,1084,0.00,0.30,0.06,0.01,0.17,0.00,4.30,0.00,82.42,13.44,0.01,0.21,73.66,84,84,98.75,300,300,101.38,99.59,1.04,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.70,74.89,0.05,3.10,0.00,0.00
5,v18.17.1,nbody_6_original.js 50000000,5.393807,1037,1692974159.760564,-,-,519,12.67,4097,1896,2.40,2901,0,0,115,85,36,102,1,640,9,979,0.00,0.09,0.05,0.03,0.18,0.00,3.92,0.13,82.86,13.25,0.03,0.26,73.79,86,86,98.72,300,300,101.39,99.58,0.96,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.50,78.87,0.04,3.26,0.00,0.00
6,v18.17.1,nbody_6_original.js 50000000,5.275859,1087,1692974165.132980,-,-,518,12.64,4098,1896,2.46,2855,0,1,59,61,52,109,0,554,7,1041,0.00,0.08,0.10,0.02,0.17,0.00,3.53,0.05,83.35,13.04,0.02,0.22,74.09,85,85,98.58,300,300,100.99,99.61,1.08,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.24,78.69,0.05,3.20,0.00,0.00
7,v18.17.1,nbody_6_original.js 50000000,5.296710,1070,1692974170.529664,-,-,519,12.67,4097,1896,2.45,3131,0,71,173,69,30,164,0,605,3,1094,0.00,0.18,0.12,0.02,0.23,0.00,3.55,0.04,83.13,13.30,0.02,0.30,73.72,87,87,98.72,300,300,101.03,99.58,0.89,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.70,79.22,0.04,3.20,0.00,0.00
8,v18.17.1,nbody_6_original.js 50000000,5.955799,1060,1692974176.532822,-,-,521,13.10,3978,1896,2.17,3419,0,0,192,256,219,439,0,686,5,1212,0.00,0.07,0.11,0.11,0.37,0.00,3.63,0.01,82.53,13.14,0.15,0.29,73.32,87,87,98.68,300,300,102.84,99.57,1.03,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.60,85.53,0.05,3.61,0.00,0.00
9,v18.17.1,nbody_6_original.js 50000000,5.273928,1032,1692974181.899046,-,-,519,12.66,4098,1896,2.46,2860,0,0,72,93,75,156,0,614,3,1019,0.00,0.05,0.08,0.02,0.22,0.00,3.54,0.05,83.31,13.00,0.02,0.25,74.07,89,89,98.71,300,300,100.90,99.62,0.93,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.79,80.28,0.04,3.19,0.00,0.00
10,v18.17.1,nbody_6_original.js 50000000,5.236697,1070,1692974187.221455,-,-,516,12.59,4098,1896,2.49,2714,0,2,72,71,37,85,0,517,0,910,0.00,0.17,0.08,0.02,0.18,0.00,3.40,0.00,83.50,13.16,0.02,0.23,74.00,88,88,99.03,300,300,100.73,99.61,0.65,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.75,78.52,0.04,3.16,0.00,0.00
