test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v2.5.0,nbody_6_original.js 50000000,0.048403,1032,1692179704.840751,-,-,662,16.59,3985,1898,1.06,275,0,0,87,46,25,29,0,85,0,3,0.00,5.05,1.68,2.88,9.84,0.00,60.68,0.00,3.08,22.84,3.92,8.86,47.79,57,57,68.18,300,300,127.78,98.25,31.82,31.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.73,0.01,0.06,0.00,0.00
2,v2.5.0,nbody_6_original.js 50000000,0.047103,1226,1692179704.926817,-,-,585,14.51,4028,1897,1.16,262,0,0,59,25,29,36,0,99,0,8,0.00,4.78,2.77,1.15,9.51,0.00,64.30,0.00,2.72,22.27,0.38,10.40,52.44,59,59,82.80,300,300,112.32,97.97,15.05,14.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.68,0.01,0.04,0.00,0.00
3,v2.5.0,nbody_6_original.js 50000000,0.047089,1138,1692179705.007094,-,-,583,14.53,4011,1896,1.16,260,0,0,57,16,26,51,0,99,0,0,0.00,7.31,1.68,0.63,9.23,0.00,66.33,0.00,0.00,25.29,0.76,8.64,50.79,60,60,82.82,300,300,112.24,98.03,16.97,16.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.69,0.01,0.04,0.00,0.00
4,v2.5.0,nbody_6_original.js 50000000,0.047506,1088,1692179705.087714,-,-,580,14.38,4034,1896,1.15,265,0,0,75,23,33,25,0,103,0,3,0.00,6.53,1.36,1.36,8.38,0.00,65.15,0.00,2.46,21.25,1.78,11.42,51.17,58,58,82.09,300,300,110.20,97.99,16.60,16.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.69,0.01,0.04,0.00,0.00
5,v2.5.0,nbody_6_original.js 50000000,0.046793,1031,1692179705.171238,-,-,571,14.17,4030,1897,1.18,278,0,1,69,27,28,40,0,104,0,3,0.01,4.28,3.28,0.86,13.58,0.00,61.50,0.00,2.23,22.45,0.03,16.43,46.92,58,58,89.76,300,300,108.77,98.57,9.02,8.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.67,0.00,0.04,0.00,0.00
6,v2.5.0,nbody_6_original.js 50000000,0.046681,1101,1692179705.251312,-,-,571,14.21,4013,1898,1.17,267,0,3,72,23,17,43,0,95,0,2,0.02,7.90,0.39,1.72,7.68,0.00,65.82,0.00,2.13,22.43,2.25,6.46,54.64,63,63,87.83,300,300,108.78,98.52,10.80,10.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.66,0.01,0.04,0.00,0.00
7,v2.5.0,nbody_6_original.js 50000000,0.046329,1005,1692179705.335142,-,-,568,14.15,4012,1899,1.19,249,0,2,58,29,9,49,0,99,0,0,0.01,6.48,1.60,1.00,7.80,0.00,68.90,0.00,0.00,25.99,0.72,7.96,51.18,63,63,92.81,300,300,108.87,98.55,8.56,8.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.67,0.00,0.04,0.00,0.00
8,v2.5.0,nbody_6_original.js 50000000,0.047859,1046,1692179705.417161,-,-,613,15.24,4013,1898,1.11,273,0,1,52,57,25,48,0,90,0,0,0.01,4.29,2.28,2.23,9.53,0.00,66.20,0.00,0.00,24.30,1.60,8.76,50.09,58,58,79.40,300,300,114.42,98.26,19.83,19.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.71,0.01,0.05,0.00,0.00
9,v2.5.0,nbody_6_original.js 50000000,0.049669,1039,1692179705.496960,-,-,620,15.22,4068,1897,1.08,274,0,0,8,10,9,47,0,108,0,0,0.00,1.04,0.44,1.01,8.91,0.00,72.97,0.00,0.00,15.75,0.83,6.29,61.91,58,58,80.53,300,300,108.77,98.00,19.19,18.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.72,0.01,0.05,0.00,0.00
10,v2.5.0,nbody_6_original.js 50000000,0.048731,1090,1692179705.572330,-,-,682,17.10,3988,1897,1.05,287,0,8,21,21,41,83,0,86,0,0,0.04,1.70,1.24,4.69,15.32,0.00,59.75,0.00,0.00,19.44,3.11,13.88,46.46,64,64,73.87,300,300,125.69,98.38,24.87,24.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.75,0.01,0.06,0.00,0.00
