test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v0.10.48,nbody_6.js 50000000,0.99,0.33,0.65,0.31,0.03,0.02,6.20,2.98,0.02,4.94,2.16,20433904276 ns,83487159672,4.057 GHz,250399976615,3.00,20575.48 msec,1.007,83496033644,4.057 GHz,31,38536548247,487881279,20583.05 msec,1.007,37 C,57489820299,234454394,0.41%,0,21959356396,5660,5660,0,2750161532,581964727,21.161,69098827881,1582982814,2.29%,18395877,286788,1.56%,22601602,69051882473,755532,0.00%,191128,331850,173.63%,0,0
2,v0.10.48,nbody_6.js 50000000,0.99,0.33,0.65,0.30,0.03,0.02,6.17,3.00,0.01,4.61,2.01,21984697364 ns,83347919089,3.763 GHz,250636645299,3.01,22146.32 msec,1.007,82891115240,3.742 GHz,48,41304300743,523265289,22155.02 msec,1.008,38 C,57758509176,232105635,0.40%,0,21740353349,5676,5676,0,2970928701,591704873,19.916,67487751896,1577240906,2.34%,22033623,206323,0.94%,43157906,68710616732,912159,0.00%,839938,584158,69.55%,0,0
3,v0.10.48,nbody_6.js 50000000,0.98,0.33,0.65,0.30,0.03,0.02,6.19,2.98,0.02,4.63,2.09,21364880914 ns,81910438344,3.804 GHz,243350906022,2.95,21529.08 msec,1.008,82446760699,3.829 GHz,45,39718206645,502973521,21537.23 msec,1.008,32 C,57929664473,231715970,0.40%,0,21993731577,5665,5665,0,2926716800,584335809,19.966,69168187481,1585160996,2.29%,20113430,152201,0.76%,25457776,69394408540,469562,0.00%,901756,192311,21.33%,0,5
4,v0.10.48,nbody_6.js 50000000,0.99,0.33,0.65,0.30,0.03,0.02,6.19,2.99,0.01,4.67,2.06,21478873400 ns,82872487958,3.829 GHz,249774714551,3.01,21636.46 msec,1.007,82858284440,3.829 GHz,52,39946279028,507125494,21645.02 msec,1.008,33 C,57029237001,234150134,0.41%,0,21896909374,5661,5661,0,2730957389,595831957,21.818,68545647252,1574460302,2.30%,19101741,152682,0.80%,26947183,69059247818,769610,0.00%,357937,506439,141.49%,0,0
5,v0.10.48,nbody_6.js 50000000,0.98,0.33,0.65,0.30,0.03,0.02,6.19,3.01,0.01,4.43,1.93,22844329238 ns,83150001217,3.612 GHz,249892100423,3.02,23017.41 msec,1.008,82946685301,3.603 GHz,23,42850965790,543370744,23026.47 msec,1.008,52 C,57593168064,235347313,0.41%,0,21786466493,5665,5665,0,2902040756,626877445,21.601,69213479393,1588714159,2.30%,17519693,136961,0.78%,24487613,68985510778,655226,0.00%,769118,459441,59.74%,0,0
6,v0.10.48,nbody_6.js 50000000,1.00,0.33,0.65,0.30,0.03,0.02,6.18,3.00,0.01,3.96,1.70,25631040381 ns,83204747486,3.218 GHz,249811753960,3.00,25849.61 msec,1.009,82722059432,3.199 GHz,31,48389867209,612022407,25861.67 msec,1.009,54 C,56867738978,237900503,0.42%,0,22059784389,5661,5661,0,2681337423,563770151,21.026,68300951776,1574726071,2.31%,31211895,136138,0.44%,71386310,69218548911,854403,0.00%,54668,99104,181.28%,0,0
7,v0.10.48,nbody_6.js 50000000,1.00,0.33,0.65,0.30,0.03,0.02,6.18,2.95,0.02,3.89,1.71,25627380952 ns,82308605320,3.183 GHz,244001253327,2.95,25849.79 msec,1.009,82509084670,3.191 GHz,39,48686907153,616059842,25861.64 msec,1.009,58 C,57572561824,235090309,0.41%,0,21809224363,5660,5660,0,2833217387,584130872,20.617,68668630282,1589140915,2.31%,19511500,127341,0.65%,15162302,68776127091,697870,0.00%,43383,79623,183.54%,0,0
8,v0.10.48,nbody_6.js 50000000,0.99,0.33,0.65,0.30,0.03,0.02,6.18,2.98,0.01,3.92,1.71,25593136385 ns,82576463857,3.197 GHz,247278415397,2.98,25819.59 msec,1.009,82268083514,3.186 GHz,18,48134196772,610928666,25831.79 msec,1.009,56 C,57166284803,233606039,0.41%,0,22002426143,5658,5658,0,2814567397,594042728,21.106,69118348331,1580318625,2.29%,19829326,169631,0.86%,76473486,68248910861,2302051,0.00%,144394,958555,663.85%,0,0
9,v0.10.48,nbody_6.js 50000000,1.00,0.33,0.65,0.30,0.03,0.02,6.19,2.99,0.01,3.96,1.71,25511278677 ns,82708213111,3.214 GHz,247624523608,2.99,25729.65 msec,1.009,82537535721,3.207 GHz,35,48316922812,612641981,25741.61 msec,1.009,57 C,57400149831,235402994,0.41%,0,21937089813,5679,5679,0,2701112584,613303459,22.706,69288306921,1587958746,2.29%,19829090,254881,1.29%,39932587,68899247701,1240253,0.00%,38596,646330,1674.60%,0,0
10,v0.10.48,nbody_6.js 50000000,0.99,0.34,0.65,0.30,0.03,0.03,6.11,2.91,0.02,3.85,1.69,26166355725 ns,84249702029,3.191 GHz,249094562248,2.95,26391.90 msec,1.009,83911428134,3.179 GHz,110,49602245878,627608682,26404.57 msec,1.009,61 C,57278809716,234237181,0.41%,4,21989246114,5676,5676,0,2794215742,656768756,23.505,68716857216,1581340640,2.30%,27442445,245497,0.89%,54725472,68879451717,1148870,0.00%,145229,568004,391.11%,0,0
