test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v15.14.0,nbody_6.js 50000000,5.138830,1395,1695060382.007084,-,-,521,12.72,4098,1896,2.51,2963,0,0,103,100,83,141,0,630,3,1102,0.00,0.11,0.05,0.05,0.23,0.00,4.14,0.04,82.59,13.22,0.05,0.27,73.74,79,82,99.05,450,300,101.57,99.61,0.87,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.86,73.19,0.04,1.53,0.00,0.00
2,v15.14.0,nbody_6.js 50000000,5.155441,1126,1695060387.207243,-,-,521,12.72,4098,1896,2.50,2929,0,1,97,102,103,119,0,599,4,1129,0.00,0.06,0.04,0.04,0.20,0.00,4.10,0.10,82.68,13.11,0.05,0.22,73.90,79,79,98.91,450,300,101.32,99.65,1.02,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.20,73.47,0.05,1.54,0.00,0.00
3,v15.14.0,nbody_6.js 50000000,5.151508,1100,1695060392.395899,-,-,527,12.88,4091,1896,2.49,3381,0,38,423,479,262,300,2,617,4,1160,0.00,0.31,0.18,0.12,0.41,0.01,4.02,0.04,81.98,13.67,0.10,0.34,73.02,86,86,99.08,450,300,102.22,99.61,0.82,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.17,76.26,0.04,1.54,0.00,0.00
4,v15.14.0,nbody_6.js 50000000,5.134290,1415,1695060397.570466,-,-,521,12.73,4097,1896,2.51,3035,0,1,224,136,72,85,0,734,1,964,0.00,0.27,0.07,0.06,0.18,0.00,4.98,0.00,81.66,13.52,0.06,0.27,73.42,81,81,99.02,450,300,101.69,99.61,0.90,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.57,74.91,0.04,1.52,0.00,0.00
5,v15.14.0,nbody_6.js 50000000,5.448757,1229,1695060403.057868,-,-,521,12.71,4098,1896,2.37,3031,0,3,157,101,71,111,0,548,6,1072,0.00,0.16,0.11,0.05,0.16,0.00,3.75,0.06,82.95,13.35,0.06,0.15,73.73,88,90,98.96,450,300,101.33,99.62,0.89,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.14,80.81,0.04,1.61,0.00,0.00
6,v15.14.0,nbody_6.js 50000000,5.140361,1149,1695060408.238044,-,-,521,12.72,4098,1896,2.51,3285,0,24,91,98,62,150,0,621,5,1124,0.00,0.08,0.03,0.04,0.26,0.00,4.05,0.06,82.69,13.15,0.04,0.28,73.81,92,92,98.83,450,300,101.62,99.61,0.96,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.12,77.24,0.04,1.53,0.00,0.00
7,v15.14.0,nbody_6.js 50000000,5.143633,1104,1695060413.421250,-,-,521,12.71,4097,1896,2.51,2931,0,5,128,87,69,104,0,663,3,1089,0.00,0.14,0.06,0.05,0.15,0.00,4.39,0.07,82.37,13.29,0.14,0.21,73.65,87,87,99.09,450,300,101.57,99.57,0.81,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.29,77.27,0.04,1.52,0.00,0.00
8,v15.14.0,nbody_6.js 50000000,5.258384,1112,1695060418.715710,-,-,510,12.62,4041,1896,2.51,9099,0,3,84,103,69,284,0,1303,770,4819,0.00,0.04,0.03,0.04,0.46,0.00,6.88,11.64,68.13,13.86,0.06,0.61,72.84,91,93,99.02,450,300,101.19,98.82,0.82,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.10,76.83,0.03,1.55,0.00,0.00
9,v15.14.0,nbody_6.js 50000000,5.269932,1105,1695060424.020682,-,-,509,12.63,4032,1896,2.51,9594,0,43,125,92,65,339,0,1596,821,4899,0.00,0.10,0.05,0.04,0.56,0.00,8.14,11.36,66.96,13.98,0.03,0.73,72.62,90,93,98.77,450,300,101.23,98.80,1.08,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.15,76.78,0.05,1.57,0.00,0.00
10,v15.14.0,nbody_6.js 50000000,5.277194,1107,1695060429.332016,-,-,510,12.66,4025,1896,2.50,8973,0,16,280,162,126,336,0,1264,707,4698,0.00,0.10,0.07,0.07,0.55,0.00,6.76,11.00,68.65,13.86,0.06,0.58,72.84,91,94,99.20,450,300,101.17,98.87,0.70,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.82,76.57,0.04,1.56,0.00,0.00
