version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
v0.8.28,nbody_6.js 50000000,23.3459,1179.5,1695050890.715261,0.00,0.00,467.00,12.84,3639.50,1896.00,2.89,65842.50,0.00,74.00,537.30,1716.40,3686.90,27922.10,2.20,7977.60,2101.20,18666.80,0.00,0.08,0.10,0.21,11.61,0.00,8.80,4.23,62.04,15.17,0.26,21.42,50.31,86.50,87.90,99.14,450.00,300.00,103.57,99.16,0.63,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,361.12,299.64,0.11,20.75,0.00,0.00
v0.10.48,nbody_6.js 50000000,23.4803,1218.7,1695051969.114371,0.00,0.00,458.90,12.83,3577.10,1896.00,2.94,48883.10,0.00,61.60,428.50,1424.20,3127.50,25864.30,1.70,6714.60,560.90,10218.00,0.00,0.07,0.09,0.17,11.16,0.00,8.04,1.88,65.69,14.67,0.18,19.11,53.21,83.90,84.10,98.99,450.00,300.00,103.39,99.42,0.64,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,347.54,285.81,0.11,20.71,0.00,0.00
v0.12.18,nbody_6.js 50000000,5.66658,1192.7,1695052865.410612,0.00,0.00,520.00,12.72,4089.00,1896.00,2.46,5164.50,0.00,17.60,221.40,199.20,115.00,206.50,0.60,861.80,198.20,2239.00,0.00,0.10,0.08,0.05,0.29,0.00,4.85,2.44,79.38,13.45,0.06,0.37,73.40,88.00,88.50,98.99,450.00,300.00,101.63,99.42,0.88,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.28,83.22,0.04,1.68,0.00,0.00
v1.8.4,nbody_6.js 50000000,5.66404,1226.3,1695053399.166217,0.00,0.00,520.50,12.72,4091.60,1896.00,2.45,5395.90,0.00,9.70,175.70,166.30,102.70,180.80,0.60,809.20,168.10,2250.00,0.00,0.13,0.06,0.04,0.29,0.00,4.70,2.12,79.84,13.44,0.06,0.34,73.44,88.00,88.40,98.98,450.00,300.00,101.51,99.42,0.88,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.49,83.45,0.04,1.68,0.00,0.00
v2.5.0,nbody_6.js 50000000,5.52634,1229.6,1695053931.670730,0.00,0.00,520.10,12.70,4096.40,1896.10,2.34,4420.10,0.00,12.80,145.50,137.70,93.10,166.20,0.70,709.60,85.80,1662.90,0.00,0.13,0.06,0.05,0.25,0.00,4.26,0.69,81.81,13.31,0.06,0.29,73.65,86.20,86.50,99.08,450.00,300.00,101.40,99.54,0.83,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.48,80.73,0.04,1.64,0.00,0.00
v3.3.1,nbody_6.js 50000000,4.45476,1262.1,1695054451.935008,0.00,0.00,521.70,12.73,4096.60,1896.00,2.38,3144.60,0.00,8.20,162.50,130.70,77.50,123.60,0.20,575.50,5.10,924.20,0.00,0.14,0.07,0.05,0.26,0.00,4.55,0.09,82.03,13.38,0.08,0.32,73.50,85.10,85.80,98.94,450.00,300.00,101.78,99.57,0.96,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.73,65.26,0.04,1.33,0.00,0.00
v4.9.1,nbody_6.js 50000000,4.49343,1196.7,1695054950.151369,0.00,0.00,519.60,12.69,4094.30,1896.00,2.37,3446.10,0.00,7.10,105.40,125.40,68.10,144.90,0.40,641.90,45.50,1221.70,0.00,0.12,0.07,0.05,0.27,0.00,4.83,0.89,81.00,13.31,0.06,0.31,73.63,84.20,85.00,98.93,450.00,300.00,101.33,99.52,0.97,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.58,65.05,0.04,1.34,0.00,0.00
v5.12.0,nbody_6.js 50000000,4.44685,1305.3,1695055447.961403,0.00,0.00,521.50,12.73,4096.70,1896.00,2.38,2977.40,0.00,20.10,134.60,133.00,76.40,129.80,0.20,585.00,4.20,865.70,0.00,0.13,0.09,0.05,0.25,0.00,4.62,0.05,82.00,13.31,0.07,0.28,73.61,84.80,85.20,98.94,450.00,300.00,101.57,99.59,0.97,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.17,64.76,0.04,1.33,0.00,0.00
v6.17.1,nbody_6.js 50000000,4.44231,1170.8,1695055945.728475,0.00,0.00,520.40,12.71,4092.30,1896.00,2.40,3774.00,0.00,4.90,134.60,128.00,78.80,137.00,1.60,668.90,85.60,1485.90,0.00,0.12,0.08,0.05,0.28,0.00,4.98,1.51,80.18,13.55,0.09,0.34,73.31,83.80,84.00,98.95,450.00,300.00,101.79,99.46,0.96,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.84,64.40,0.04,1.33,0.00,0.00
v7.10.1,nbody_6.js 50000000,4.45751,1226.6,1695056444.496341,0.00,0.00,521.80,12.74,4095.60,1896.10,2.39,3089.60,0.00,20.70,130.60,134.70,78.80,142.00,0.60,599.30,6.80,950.30,0.00,0.11,0.07,0.06,0.27,0.00,4.63,0.10,81.96,13.35,0.11,0.31,73.50,83.10,83.40,98.97,450.00,300.00,101.78,99.56,0.95,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.51,65.04,0.04,1.33,0.00,0.00
v8.17.0,nbody_6.js 50000000,4.25638,1143.6,1695056940.370613,0.00,0.00,521.30,12.72,4097.30,1896.00,2.56,3199.70,0.00,7.50,113.50,99.70,57.30,106.10,0.30,495.90,6.10,836.90,0.00,0.10,0.07,0.04,0.24,0.00,4.03,0.09,82.63,13.27,0.05,0.30,73.67,84.30,85.10,98.97,450.00,300.00,101.63,99.61,0.93,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.59,62.58,0.04,1.27,0.00,0.00
v9.11.2,nbody_6.js 50000000,4.28033,1325.2,1695057434.639676,0.00,0.00,524.30,12.81,4094.80,1896.00,2.53,3602.50,0.00,32.70,272.50,197.10,125.00,174.50,0.30,648.90,21.80,1049.30,0.00,0.18,0.12,0.08,0.35,0.00,5.20,0.39,80.80,13.39,0.09,0.38,73.33,82.30,84.00,98.91,450.00,300.00,101.83,99.55,0.98,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.25,61.18,0.04,1.29,0.00,0.00
v10.24.1,nbody_6.js 50000000,4.14813,1264.6,1695057927.359134,0.00,0.00,524.10,12.80,4095.00,1896.00,2.43,3018.50,0.00,26.70,272.20,180.70,110.60,168.20,0.30,576.30,9.30,875.90,0.00,0.15,0.10,0.08,0.34,0.00,4.62,0.17,81.67,13.38,0.10,0.37,73.36,81.30,81.70,98.92,450.00,300.00,101.99,99.57,0.99,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.72,59.92,0.04,1.25,0.00,0.00
v11.15.0,nbody_6.js 50000000,4.18244,1130.2,1695058419.564638,0.00,0.00,523.60,12.79,4095.00,1896.00,2.42,2896.30,0.00,21.60,266.80,207.10,101.20,153.10,0.30,556.90,4.00,856.80,0.00,0.16,0.10,0.08,0.32,0.00,4.65,0.06,81.78,13.44,0.10,0.34,73.33,82.50,83.60,98.91,450.00,300.00,102.12,99.58,0.99,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.95,59.10,0.04,1.26,0.00,0.00
