test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v8.17.0,nbody_6.js 50000000,4.248436,1049,1692106008.693428,-,-,519,12.68,4097,1896,2.57,2479,0,1,60,53,25,78,0,484,9,967,0.00,0.05,0.04,0.02,0.22,0.00,3.96,0.12,82.84,13.13,0.03,0.30,73.87,68,68,99.02,300,300,101.45,99.56,1.06,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.27,58.81,0.04,2.58,0.00,0.00
2,v8.17.0,nbody_6.js 50000000,4.292393,1037,1692106013.023211,-,-,517,12.61,4098,1896,2.56,2681,0,0,72,42,48,87,0,506,7,1007,0.00,0.08,0.04,0.02,0.22,0.00,4.39,0.15,82.43,13.07,0.02,0.30,74.00,73,76,98.76,300,300,100.78,99.57,1.15,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.23,60.42,0.05,2.61,0.00,0.00
3,v8.17.0,nbody_6.js 50000000,4.286682,1069,1692106017.340306,-,-,521,12.73,4094,1896,2.54,2711,0,1,192,334,152,188,0,598,7,889,0.00,0.09,0.14,0.07,0.29,0.00,4.75,0.17,81.68,13.36,0.05,0.30,73.56,79,79,98.63,300,300,101.66,99.55,1.19,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.69,61.02,0.04,2.61,0.00,0.00
4,v8.17.0,nbody_6.js 50000000,4.247651,1072,1692106021.621420,-,-,521,12.72,4095,1896,2.56,2871,0,49,251,83,30,121,0,650,15,973,0.00,0.26,0.07,0.03,0.23,0.00,5.08,0.25,81.30,13.61,0.03,0.28,73.37,82,82,98.50,300,300,101.80,99.59,1.30,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.79,62.03,0.05,2.59,0.00,0.00
5,v8.17.0,nbody_6.js 50000000,4.276595,1083,1692106025.934433,-,-,517,12.61,4098,1896,2.56,2579,0,0,65,49,17,85,0,571,4,908,0.00,0.08,0.04,0.01,0.18,0.00,4.73,0.17,82.11,13.09,0.01,0.26,74.03,82,82,98.58,300,300,100.99,99.63,1.26,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.82,62.15,0.05,2.60,0.00,0.00
6,v8.17.0,nbody_6.js 50000000,4.277185,1110,1692106030.246857,-,-,520,12.70,4096,1896,2.55,2590,0,0,70,68,33,133,0,606,11,989,0.00,0.10,0.15,0.03,0.27,0.00,4.63,0.22,81.83,13.50,0.03,0.31,73.46,85,87,98.57,300,300,101.69,99.58,1.14,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.49,63.71,0.05,2.60,0.00,0.00
7,v8.17.0,nbody_6.js 50000000,4.250131,1089,1692106034.530078,-,-,521,12.72,4096,1896,2.56,2575,0,1,108,59,25,114,4,523,8,887,0.00,0.07,0.04,0.02,0.26,0.01,4.06,0.11,82.64,13.32,0.03,0.39,73.55,85,85,98.61,300,300,101.90,99.52,1.19,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.00,62.32,0.04,2.59,0.00,0.00
8,v8.17.0,nbody_6.js 50000000,4.255227,1033,1692106038.821801,-,-,521,12.72,4097,1897,2.56,2812,0,50,156,39,25,118,1,586,13,1124,0.00,0.21,0.06,0.04,0.23,0.01,4.58,0.24,81.88,13.19,0.05,0.31,73.73,87,87,98.56,300,300,101.17,99.66,1.27,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.62,63.82,0.05,2.60,0.00,0.00
9,v8.17.0,nbody_6.js 50000000,4.243873,1024,1692106043.101458,-,-,520,12.69,4097,1896,2.57,2508,0,16,81,49,26,79,0,501,9,972,0.00,0.07,0.05,0.02,0.19,0.00,4.02,0.19,82.70,13.14,0.01,0.30,73.86,86,86,98.54,300,300,101.58,99.59,1.23,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.47,63.67,0.05,2.58,0.00,0.00
10,v8.17.0,nbody_6.js 50000000,4.250651,1055,1692106047.383090,-,-,522,12.75,4096,1896,2.56,2633,0,4,59,77,29,98,2,530,8,996,0.00,0.04,0.07,0.04,0.21,0.01,4.15,0.10,82.58,13.16,0.07,0.17,73.85,91,94,98.24,300,300,101.76,99.64,1.30,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.92,65.01,0.05,2.60,0.00,0.00
