test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v8.17.0,binaryTrees_1_original.js 21,0.044242,1091,1692262752.853761,-,-,733,18.46,3965,1899,1.04,288,0,2,53,42,37,60,0,84,0,0,0.01,6.29,4.57,1.04,9.80,0.00,59.60,0.00,0.00,31.71,0.39,5.69,43.74,57,60,76.85,383,383,136.78,98.60,23.55,23.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.73,0.01,0.06,0.00,0.00
2,v8.17.0,binaryTrees_1_original.js 21,0.043857,1053,1692262752.967191,-,-,713,17.86,3992,1897,0.96,264,0,2,42,48,11,34,0,111,0,9,0.01,2.27,3.49,0.69,11.49,0.00,57.78,0.00,6.12,21.31,0.79,12.77,47.27,59,59,77.52,400,300,122.74,98.02,21.64,21.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.67,0.01,0.05,0.00,0.00
3,v8.17.0,binaryTrees_1_original.js 21,0.041447,1131,1692262753.061833,-,-,666,16.63,3998,1898,1.11,273,0,1,60,12,29,46,0,104,0,2,0.01,4.80,0.79,2.71,11.17,0.00,62.54,0.00,0.97,22.20,2.16,12.45,46.57,61,64,79.62,400,300,127.51,97.62,20.01,19.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.65,0.01,0.05,0.00,0.00
4,v8.17.0,binaryTrees_1_original.js 21,0.041513,1111,1692262753.156098,-,-,661,16.46,4014,1896,1.12,261,0,1,68,45,21,30,0,90,0,0,0.01,5.72,2.55,2.31,5.22,0.00,67.38,0.00,0.00,28.38,0.86,2.29,52.01,64,64,74.68,400,300,126.37,98.09,23.59,23.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.66,0.01,0.05,0.00,0.00
5,v8.17.0,binaryTrees_1_original.js 21,0.040793,1064,1692262753.260263,-,-,637,15.81,4004,1906,1.14,295,0,1,67,26,34,40,0,81,0,2,0.01,5.18,1.93,3.80,12.24,0.00,57.76,0.00,3.51,21.20,2.38,12.50,48.10,65,65,78.44,400,300,119.95,98.72,21.50,21.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.63,0.01,0.05,0.00,0.00
6,v8.17.0,binaryTrees_1_original.js 21,0.041521,1077,1692262753.371019,-,-,594,14.74,4022,1899,1.16,256,0,0,42,29,19,44,0,100,0,6,0.00,4.95,2.70,1.64,8.68,0.00,61.00,0.00,6.06,24.07,2.26,6.87,52.06,63,63,77.07,400,300,111.70,97.97,23.33,22.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.61,0.01,0.04,0.00,0.00
7,v8.17.0,binaryTrees_1_original.js 21,0.040603,1117,1692262753.480233,-,-,584,14.51,4020,1899,1.19,253,0,1,44,31,29,42,0,102,0,0,0.01,4.37,1.52,2.82,8.06,0.00,68.58,0.00,0.00,21.54,1.80,10.14,52.01,59,62,88.66,400,300,111.62,98.32,11.67,11.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.59,0.01,0.04,0.00,0.00
8,v8.17.0,binaryTrees_1_original.js 21,0.039899,1140,1692262753.596635,-,-,588,14.59,4027,1897,1.21,248,0,0,60,50,43,31,0,63,0,1,0.00,4.79,1.92,3.14,15.72,0.00,57.81,0.00,1.90,20.14,2.66,14.19,48.41,63,65,87.72,400,300,111.97,98.65,11.16,11.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.58,0.00,0.04,0.00,0.00
9,v8.17.0,binaryTrees_1_original.js 21,0.040799,1198,1692262753.717883,-,-,588,14.62,4016,1897,1.18,259,0,0,52,32,16,47,0,104,0,3,0.00,5.47,2.47,1.68,13.28,0.00,59.00,0.00,3.11,23.32,0.86,14.22,46.97,62,64,80.88,400,300,113.45,97.80,17.60,16.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.60,0.01,0.04,0.00,0.00
10,v8.17.0,binaryTrees_1_original.js 21,0.040507,1073,1692262753.825442,-,-,592,14.73,4015,1898,1.18,268,0,2,55,25,8,51,0,103,0,0,0.01,6.34,3.45,0.40,10.63,0.00,64.20,0.00,0.00,23.67,0.21,10.49,50.90,65,65,81.47,400,300,112.01,98.05,17.70,17.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74,0.60,0.01,0.04,0.00,0.00
