test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v14.21.3,binaryTrees_1_original.js 21,27.944436,1046,1692265586.101102,-,-,620,76.68,808,1896,1.57,276528,0,426,48259,9557,2338,4275,3,6216,42,9450,0.00,2.50,0.77,0.17,0.66,0.00,3.81,0.06,15.00,16.04,0.11,0.48,6.70,69,69,98.90,300,300,355.86,99.43,0.75,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,285.45,209.46,0.12,33.75,0.00,0.00
2,v14.21.3,binaryTrees_1_original.js 21,27.748640,1256,1692265613.938771,-,-,631,77.81,811,1896,1.55,268028,0,295,44874,9969,2067,3730,2,5779,21,9046,0.00,2.44,0.71,0.17,0.55,0.00,3.59,0.03,14.33,15.28,0.11,0.42,6.38,78,78,99.00,300,300,357.91,99.43,0.62,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,286.98,211.64,0.10,33.60,0.00,0.00
3,v14.21.3,binaryTrees_1_original.js 21,28.017828,1044,1692265642.047370,-,-,626,77.54,807,1896,1.56,271123,0,355,42070,11865,2369,4393,2,6458,54,9521,0.00,2.20,0.80,0.19,0.63,0.00,3.86,0.06,14.37,15.00,0.11,0.44,6.92,80,82,98.90,300,300,358.23,99.42,0.73,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,290.00,213.60,0.13,33.89,0.00,0.00
4,v14.21.3,binaryTrees_1_original.js 21,29.152573,1031,1692265671.279923,-,-,585,76.91,760,1896,1.59,278062,0,412,42175,13065,2077,4199,0,6670,47,9532,0.00,2.04,0.79,0.16,0.60,0.00,4.13,0.03,15.00,16.70,0.10,0.45,5.84,78,78,99.11,300,300,360.33,99.44,0.59,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,284.86,206.08,0.10,34.47,0.00,0.00
5,v14.21.3,binaryTrees_1_original.js 21,23.699838,1119,1692265695.060045,-,-,577,75.24,767,1896,1.56,253518,0,760,41313,6255,1636,3466,0,4744,25,7183,0.00,2.14,0.67,0.17,0.67,0.00,3.40,0.04,17.32,14.04,0.10,0.47,10.16,74,74,98.82,300,300,341.79,99.44,0.78,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,234.11,170.11,0.12,28.03,0.00,0.00
6,v14.21.3,binaryTrees_1_original.js 21,27.578114,1045,1692265722.710334,-,-,638,77.54,822,1896,1.55,264482,0,691,47698,9313,1886,3765,0,5962,26,8703,0.00,2.36,0.75,0.14,0.61,0.00,4.04,0.04,14.17,14.61,0.09,0.45,7.31,75,76,98.91,300,300,355.63,99.44,0.72,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,291.32,216.26,0.12,33.60,0.00,0.00
7,v14.21.3,binaryTrees_1_original.js 21,27.822484,1026,1692265750.582999,-,-,638,78.15,817,1896,1.53,283448,0,307,45980,10784,2189,3972,0,6091,32,9000,0.00,2.40,0.77,0.17,0.60,0.00,3.91,0.03,13.61,14.77,0.11,0.35,6.62,75,75,98.88,300,300,358.60,99.45,0.77,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,289.28,213.70,0.13,33.82,0.00,0.00
8,v14.21.3,binaryTrees_1_original.js 21,27.932259,1068,1692265778.595623,-,-,619,77.06,803,1896,1.57,269132,0,437,41481,10912,2381,4312,0,6435,26,9261,0.00,2.26,0.83,0.18,0.63,0.00,3.97,0.04,14.70,15.53,0.12,0.43,6.86,74,75,99.08,300,300,356.32,99.45,0.59,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,289.66,213.94,0.10,33.71,0.00,0.00
9,v14.21.3,binaryTrees_1_original.js 21,22.807277,1142,1692265801.476734,-,-,644,76.21,845,1896,1.52,348613,0,1559,73070,10912,1967,4502,1,6429,53,8288,0.01,3.68,0.74,0.18,0.74,0.00,3.34,0.19,14.60,13.88,0.07,0.38,9.46,76,76,98.89,300,300,344.15,99.47,0.76,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,249.41,187.66,0.10,27.24,0.00,0.00
10,v14.21.3,binaryTrees_1_original.js 21,29.138057,1355,1692265830.695934,-,-,604,77.33,781,1896,1.56,282169,0,595,46586,10535,2417,4445,0,6728,51,9235,0.00,2.23,0.73,0.20,0.59,0.00,4.14,0.06,14.37,15.86,0.14,0.36,6.31,79,79,99.00,300,300,359.72,99.45,0.70,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,289.00,210.23,0.12,34.66,0.00,0.00
