test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v16.20.2,binaryTrees_7_original.js 21,25.212947,1264,1692884388.142071,-,-,590,15.24,3869,1896,1.80,465451,0,196,231411,16434,295,844,2,3942,29,6715,0.00,3.74,0.83,0.14,0.37,0.00,5.60,0.06,74.02,19.52,0.19,0.56,64.49,70,71,98.95,300,300,116.51,99.48,0.95,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,430.10,364.30,0.22,22.09,0.00,0.00
2,v16.20.2,binaryTrees_7_original.js 21,25.685725,1545,1692884413.869481,-,-,580,15.21,3812,1896,1.81,467228,0,238,233726,18634,408,753,2,3675,28,6915,0.00,3.41,0.97,0.09,0.27,0.00,4.99,0.13,74.91,19.76,0.15,0.43,64.47,74,74,98.82,300,300,116.77,99.47,0.97,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,435.60,367.26,0.23,22.37,0.00,0.00
3,v16.20.2,binaryTrees_7_original.js 21,29.362298,1335,1692884443.272244,-,-,498,15.18,3280,1896,1.84,468214,0,152,216967,29714,400,847,0,4422,39,7322,0.00,2.92,1.14,0.09,0.22,0.00,5.10,0.11,75.29,20.08,0.12,0.28,64.33,72,73,98.69,300,300,117.55,99.74,0.92,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,348.88,271.16,0.22,24.46,0.00,0.00
4,v16.20.2,binaryTrees_7_original.js 21,29.150663,1263,1692884472.463601,-,-,508,15.41,3295,1896,1.81,458474,0,185,207951,34154,381,719,4,4197,35,7525,0.00,2.88,1.16,0.09,0.24,0.00,4.84,0.11,75.31,18.76,0.14,0.35,65.34,71,71,98.74,300,300,117.38,99.74,0.90,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,348.33,271.53,0.22,24.33,0.00,0.00
5,v16.20.2,binaryTrees_7_original.js 21,29.510738,1356,1692884502.009131,-,-,498,15.10,3297,1896,1.83,473304,0,180,217908,32711,298,805,0,4113,41,7338,0.00,2.85,1.16,0.07,0.27,0.00,4.73,0.11,75.75,19.67,0.10,0.41,64.72,72,72,98.69,300,300,116.49,99.74,0.93,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,352.38,274.69,0.23,24.56,0.00,0.00
6,v16.20.2,binaryTrees_7_original.js 21,29.390962,1422,1692884531.443684,-,-,500,15.18,3295,1896,1.83,458183,0,192,211119,37600,361,874,1,4551,58,7718,0.00,2.84,1.30,0.09,0.27,0.00,5.12,0.30,74.94,18.93,0.13,0.40,65.37,70,70,98.72,300,300,116.25,99.74,0.91,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350.41,272.80,0.22,24.48,0.00,0.00
7,v16.20.2,binaryTrees_7_original.js 21,29.388666,1574,1692884560.869877,-,-,508,15.43,3293,1896,1.81,466608,0,334,211341,39780,456,840,8,4397,64,7656,0.00,2.77,1.33,0.09,0.28,0.00,4.86,0.16,75.12,19.05,0.13,0.35,65.04,73,73,98.70,300,300,117.58,99.74,0.92,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,352.55,274.83,0.23,24.55,0.00,0.00
8,v16.20.2,binaryTrees_7_original.js 21,29.412922,1432,1692884590.321534,-,-,502,15.32,3278,1896,1.83,462958,0,173,212438,39255,335,864,1,4509,41,7585,0.00,2.86,1.28,0.09,0.26,0.00,5.15,0.13,74.95,19.32,0.13,0.38,64.86,72,72,98.76,300,300,117.97,99.74,0.88,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,349.91,272.46,0.22,24.52,0.00,0.00
9,v16.20.2,binaryTrees_7_original.js 21,29.365357,1385,1692884619.730651,-,-,500,15.21,3287,1896,1.83,464600,0,245,212359,37416,408,907,1,4519,75,8007,0.00,2.83,1.12,0.14,0.27,0.00,5.13,0.24,75.10,19.30,0.21,0.41,64.86,71,71,98.74,300,300,116.98,99.73,0.92,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350.58,273.18,0.21,24.51,0.00,0.00
10,v16.20.2,binaryTrees_7_original.js 21,29.605490,1433,1692884649.376384,-,-,497,15.11,3292,1896,1.83,468153,0,194,215942,32822,401,854,2,4538,60,7669,0.00,2.89,1.15,0.09,0.22,0.00,5.44,0.19,74.96,19.52,0.10,0.32,64.95,70,70,98.75,300,300,116.81,99.74,0.89,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,353.01,275.04,0.22,24.63,0.00,0.00
