version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
v0.8.28,binaryTrees_7_original.js 21,0.0298,2804.7,1692188418.711499,0.00,0.00,632.40,16.32,3969.90,1856.70,1.18,243.60,0.00,1.70,32.70,37.20,15.20,71.60,0.20,56.70,0.00,0.70,0.02,6.90,4.25,2.25,20.23,0.10,47.29,0.00,0.62,33.15,2.86,22.21,25.47,68.40,69.00,69.72,300.00,300.00,120.03,93.40,25.42,24.86,0.94,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.45,0.01,0.03,0.00,0.00
v0.10.48,binaryTrees_7_original.js 21,0.0281465,1946.7,1692188782.921336,0.00,0.00,626.50,15.80,4007.00,1879.30,1.17,235.60,0.00,1.90,16.40,25.40,25.10,70.80,0.00,52.90,0.00,0.60,0.01,3.01,3.63,3.70,20.35,0.00,52.18,0.00,0.12,26.36,4.39,23.82,29.63,65.50,66.30,74.82,300.00,300.00,119.30,96.60,22.12,21.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.43,0.01,0.03,0.00,0.00
v0.12.18,binaryTrees_7_original.js 21,0.0497969,1060.3,1692189147.335446,0.00,0.00,562.60,13.91,4040.60,1898.40,1.19,271.00,0.00,1.00,29.50,20.60,13.10,36.20,0.00,106.10,0.00,1.70,0.00,3.11,1.30,1.70,8.62,0.00,69.53,0.00,1.67,20.57,1.50,8.06,55.96,64.90,65.80,87.37,300.00,300.00,108.39,98.45,12.20,11.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.72,0.01,0.05,0.00,0.00
v1.8.4,binaryTrees_7_original.js 21,0.0502148,1099.4,1692189512.004271,0.00,0.00,575.20,14.33,4012.90,1896.80,1.16,274.50,0.00,1.20,72.30,45.70,12.90,30.70,0.00,110.40,0.00,1.20,0.01,6.50,1.66,0.80,7.34,0.00,68.28,0.00,0.92,24.59,0.49,6.55,54.05,63.60,64.40,87.84,400.00,300.00,110.27,98.55,11.53,11.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.72,0.01,0.04,0.00,0.00
v2.5.0,binaryTrees_7_original.js 21,0.046904,1058,1692189876.561805,0.00,0.00,583.40,14.37,4054.90,1898.30,1.17,265.90,0.00,0.60,21.00,16.60,16.10,38.90,0.00,93.30,0.00,3.50,0.00,1.58,1.10,1.86,9.62,0.00,69.51,0.00,1.71,19.26,1.83,10.88,53.65,61.50,61.90,83.21,400.00,300.00,112.69,98.12,15.69,15.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.69,0.01,0.04,0.00,0.00
v3.3.1,binaryTrees_7_original.js 21,0.0477159,1067,1692190241.126750,0.00,0.00,594.80,14.75,4027.50,1898.80,1.15,276.70,0.00,1.50,46.00,36.50,23.60,39.90,0.60,91.60,0.00,1.00,0.01,3.65,1.87,1.53,8.95,0.14,68.45,0.00,0.52,21.13,1.03,8.66,54.42,62.30,62.90,87.66,400.00,300.00,113.84,98.47,11.52,11.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.70,0.00,0.04,0.00,0.00
v4.9.1,binaryTrees_7_original.js 21,0.0560782,1060.5,1692190605.703009,0.00,0.00,557.80,13.72,4058.70,1898.30,1.18,289.00,0.00,0.10,23.10,20.50,16.50,30.70,0.00,109.90,0.20,3.40,0.00,2.47,1.05,1.81,7.99,0.00,70.35,0.24,2.23,18.84,1.51,7.41,58.52,63.00,64.50,85.12,300.00,300.00,106.64,98.57,14.15,13.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,0.80,0.01,0.05,0.00,0.00
v5.12.0,binaryTrees_7_original.js 21,0.0306051,1083.7,1692190970.276508,0.00,0.00,583.80,14.49,4024.70,1898.20,1.07,225.00,0.00,0.80,26.00,23.80,16.80,39.20,0.00,61.80,0.00,0.10,0.01,3.60,1.75,3.19,14.85,0.00,61.66,0.00,0.19,22.74,3.15,14.39,45.23,61.40,61.90,77.50,300.00,300.00,111.55,97.96,20.96,20.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.44,0.01,0.03,0.00,0.00
v6.17.1,binaryTrees_7_original.js 21,23.5991,1165.7,1692191570.233556,0.00,0.00,478.00,13.90,3437.10,1896.00,2.03,82657.10,0.00,45.20,10595.30,21768.20,132.20,440.40,1.40,3055.90,48.50,5528.30,0.00,0.24,0.39,0.02,0.17,0.00,4.64,0.14,80.48,14.67,0.03,0.24,71.16,72.30,73.10,98.36,300.00,300.00,108.78,99.76,1.29,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,297.90,234.28,0.28,25.50,0.00,0.00
v7.10.1,binaryTrees_7_original.js 21,24.5085,1191.4,1692192219.529513,0.00,0.00,500.30,14.72,3398.60,1896.00,1.94,247295.00,0.00,184.20,77462.80,4507.40,157.40,488.00,1.50,3391.80,48.00,6021.10,0.00,1.29,0.17,0.03,0.18,0.00,4.88,0.15,78.58,15.82,0.03,0.26,69.17,73.60,74.40,98.38,300.00,300.00,113.26,99.61,1.24,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,308.97,242.64,0.27,26.11,0.00,0.00
v8.17.0,binaryTrees_7_original.js 21,22.0228,1229.6,1692192842.855786,0.00,0.00,487.20,13.84,3520.80,1896.00,1.87,182257.40,0.00,87.50,93245.90,549.00,159.10,489.10,1.60,3052.40,41.20,5291.90,0.00,1.35,0.10,0.03,0.20,0.00,4.81,0.15,79.51,15.55,0.04,0.30,70.27,73.50,74.40,98.32,300.00,300.00,108.89,99.75,1.29,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,277.94,219.95,0.28,18.78,0.00,0.00
v9.11.2,binaryTrees_7_original.js 21,22.0331,1233.6,1692193463.540668,0.00,0.00,485.90,13.80,3522.00,1896.00,1.87,173611.50,0.00,89.50,93274.30,624.80,167.30,529.40,1.20,3021.60,46.30,5325.80,0.00,1.30,0.10,0.03,0.22,0.00,4.72,0.15,79.68,15.44,0.04,0.32,70.40,73.00,74.00,98.38,400.00,320.00,108.60,99.74,1.21,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,278.30,220.36,0.29,18.78,0.00,0.00
v10.24.1,binaryTrees_7_original.js 21,26.8146,1386.1,1692194132.099712,0.00,0.00,968.50,35.38,2736.90,1896.00,1.69,319989.90,0.00,101.50,90469.20,4089.70,266.10,888.10,1.80,5804.00,67.80,9387.80,0.00,2.71,0.54,0.05,0.27,0.00,7.14,0.18,53.67,28.15,0.05,0.28,36.14,69.90,70.20,98.88,398.30,308.30,238.84,99.75,1.12,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,355.39,282.94,0.29,27.69,0.00,0.00
v11.15.0,binaryTrees_7_original.js 21,25.552,1339.6,1692194788.910413,0.00,0.00,1023.70,34.17,2994.20,1896.00,1.76,321367.00,0.00,82.90,91254.30,2861.20,278.60,1011.40,1.80,6001.40,256.80,9918.90,0.00,2.64,0.47,0.05,0.36,0.00,7.53,0.73,53.99,28.34,0.06,0.39,37.05,77.10,77.50,98.76,398.30,318.30,234.17,99.67,1.15,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,399.27,329.76,0.30,26.70,0.00,0.00
v12.22.12,binaryTrees_7_original.js 21,19.3892,1273.5,1692195383.471030,0.00,0.00,736.40,21.94,3389.80,1896.00,1.70,523416.10,0.00,1686.10,164981.80,2257.90,556.60,1431.30,4.00,4608.70,523.10,8259.10,0.01,2.02,0.21,0.10,0.53,0.00,7.65,1.95,65.58,21.58,0.10,0.56,55.80,78.60,78.80,98.40,400.00,300.00,162.47,99.49,1.33,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,315.12,262.15,0.28,19.46,0.00,0.00
v13.14.0,binaryTrees_7_original.js 21,18.615,1214.4,1692195965.083457,0.00,0.00,791.70,23.27,3399.60,1896.00,1.63,529331.00,0.00,1424.20,164483.00,871.30,200.50,699.30,2.20,3937.90,438.10,7424.70,0.01,2.07,0.14,0.05,0.39,0.00,7.01,1.70,65.35,20.82,0.07,0.50,55.35,78.90,79.20,98.36,400.00,300.00,164.40,99.52,1.37,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,308.09,257.40,0.28,18.57,0.00,0.00
v14.21.3,binaryTrees_7_original.js 21,25.6746,1175.8,1692196615.251238,0.00,0.00,563.10,15.42,3651.10,1896.00,1.85,614967.80,0.00,747.30,181319.30,906.90,274.80,878.90,1.30,4775.70,762.90,11675.60,0.00,1.95,0.12,0.05,0.33,0.00,5.87,1.95,74.30,16.84,0.07,0.46,67.22,80.80,81.30,98.50,398.30,308.30,117.84,99.48,1.14,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,393.28,324.80,0.31,22.79,0.00,0.00
v15.14.0,binaryTrees_7_original.js 21,26.8346,1160.8,1692197291.662781,0.00,0.00,563.90,15.32,3677.70,1896.00,1.73,608435.00,0.00,1932.50,184462.20,588.20,257.40,890.70,1.50,4624.00,900.00,11816.90,0.01,1.75,0.09,0.04,0.31,0.00,5.45,2.11,74.90,16.24,0.05,0.44,67.95,81.10,81.60,98.52,398.30,328.30,116.52,99.48,1.12,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,411.02,339.70,0.31,23.47,0.00,0.00
