version,release_date,path,appplication,no_measurement,timestamp,pid,command,time,virt,res,shr,percent_cpu,percent_mem,nTH,P,TIME,SWAP,CODE,DATA,nMaj,nMin,nDRT,USED,tasks_total,tasks_running,tasks_sleeping,tasks_stopped,tasks_zombie,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,mem_total,mem_free,mem_used,mem_buff_cache,swap_total,swap_free,swap_used,swap_avail,Unnamed: 43
0.8.28,2014-07-31,binaryTrees_21_v7,binaryTrees_7.js 21,0,1692122895,38203,node,0:00.16,732110848,84848640,9424896,93.8,0.5,2.0,6.0,0:00,0,7593984,84901888,0,22528,0.0,84848640,277,2,275,0,0,12.2,3.1,0.0,84.7,0.0,0.0,0.0,0.0,15795.0 MiB,10928.4 MiB,1436.3 MiB,3430.3 MiB,4096.0 MiB,4062.2 MiB,33.8 MiB,13718.6 MiB,
0.8.28,2014-07-31,binaryTrees_21_v7,binaryTrees_7.js 21,1,1692122896,38203,node,0:01.33,834871296,218992640,9490432,93.8,1.3,2.0,2.0,0:01,0,7593984,219119616,0,138240,0.0,218992640,277,2,275,0,0,13.0,0.8,0.0,85.5,0.0,0.0,0.8,0.0,15795.0 MiB,10801.4 MiB,1562.6 MiB,3431.0 MiB,4096.0 MiB,4062.2 MiB,33.8 MiB,13592.0 MiB,
0.8.28,2014-07-31,binaryTrees_21_v7,binaryTrees_7.js 21,2,1692122897,38203,node,0:02.52,834871296,219262976,9490432,100.0,1.3,2.0,6.0,0:02,0,7593984,219119616,0,138240,0.0,219262976,277,2,275,0,0,12.4,0.8,0.0,86.8,0.0,0.0,0.0,0.0,15795.0 MiB,10799.2 MiB,1564.8 MiB,3431.0 MiB,4096.0 MiB,4062.2 MiB,33.8 MiB,13589.8 MiB,
0.8.28,2014-07-31,binaryTrees_21_v7,binaryTrees_7.js 21,3,1692122898,38203,node,0:03.70,834871296,219262976,9490432,100.0,1.3,2.0,2.0,0:03,0,7593984,219119616,0,138240,0.0,219262976,277,2,275,0,0,13.1,0.8,0.0,86.2,0.0,0.0,0.0,0.0,15795.0 MiB,10798.9 MiB,1565.0 MiB,3431.0 MiB,4096.0 MiB,4062.2 MiB,33.8 MiB,13589.5 MiB,
0.8.28,2014-07-31,binaryTrees_21_v7,binaryTrees_7.js 21,4,1692122900,38203,node,0:04.88,834871296,219262976,9490432,100.0,1.3,2.0,2.0,0:04,0,7593984,219119616,0,138240,0.0,219262976,277,2,275,0,0,13.7,0.8,0.0,85.5,0.0,0.0,0.0,0.0,15795.0 MiB,10799.2 MiB,1564.8 MiB,3431.0 MiB,4096.0 MiB,4062.2 MiB,33.8 MiB,13589.8 MiB,
0.8.28,2014-07-31,binaryTrees_21_v7,binaryTrees_7.js 21,5,1692122901,38203,node,0:06.06,834871296,219262976,9490432,100.0,1.3,2.0,2.0,0:06,0,7593984,219119616,0,138240,0.0,219262976,277,2,275,0,0,13.2,1.6,0.0,85.3,0.0,0.0,0.0,0.0,15795.0 MiB,10798.2 MiB,1565.8 MiB,3431.0 MiB,4096.0 MiB,4062.2 MiB,33.8 MiB,13588.8 MiB,
0.8.28,2014-07-31,binaryTrees_21_v7,binaryTrees_7.js 21,6,1692122902,38203,node,0:07.23,834871296,219262976,9490432,100.0,1.3,2.0,6.0,0:07,0,7593984,219119616,0,138240,0.0,219262976,277,2,275,0,0,12.5,0.8,0.0,86.7,0.0,0.0,0.0,0.0,15795.0 MiB,10797.9 MiB,1566.0 MiB,3431.0 MiB,4096.0 MiB,4062.2 MiB,33.8 MiB,13588.6 MiB,
0.8.28,2014-07-31,binaryTrees_21_v7,binaryTrees_7.js 21,7,1692122903,38203,node,0:08.42,864231424,248459264,9490432,113.3,1.5,2.0,6.0,0:08,0,7593984,248479744,0,145408,0.0,248459264,277,2,275,0,0,12.4,0.8,0.0,86.8,0.0,0.0,0.0,0.0,15795.0 MiB,10771.1 MiB,1592.8 MiB,3431.0 MiB,4096.0 MiB,4062.2 MiB,33.8 MiB,13561.8 MiB,
0.8.28,2014-07-31,binaryTrees_21_v7,binaryTrees_7.js 21,8,1692122904,38203,node,0:09.59,850599936,235335680,9490432,106.7,1.4,2.0,6.0,0:09,0,7593984,234848256,0,155648,0.0,235335680,277,2,275,0,0,13.7,0.8,0.0,85.5,0.0,0.0,0.0,0.0,15795.0 MiB,10786.1 MiB,1577.8 MiB,3431.0 MiB,4096.0 MiB,4062.2 MiB,33.8 MiB,13576.8 MiB,
0.8.28,2014-07-31,binaryTrees_21_v7,binaryTrees_7.js 21,9,1692122905,38203,node,0:10.76,934486016,319295488,9490432,93.8,1.9,2.0,6.0,0:10,0,7593984,318734336,0,252928,0.0,319295488,277,2,275,0,0,12.2,2.3,0.0,85.5,0.0,0.0,0.0,0.0,15795.0 MiB,10707.2 MiB,1656.8 MiB,3431.0 MiB,4096.0 MiB,4062.2 MiB,33.8 MiB,13497.8 MiB,
0.8.28,2014-07-31,binaryTrees_21_v7,binaryTrees_7.js 21,10,1692122907,38203,node,0:11.93,860037120,245174272,9490432,93.8,1.5,2.0,6.0,0:11,0,7593984,244285440,0,336896,0.0,245174272,277,2,275,0,0,12.3,1.5,0.0,86.2,0.0,0.0,0.0,0.0,15795.0 MiB,10779.5 MiB,1584.4 MiB,3431.0 MiB,4096.0 MiB,4062.2 MiB,33.8 MiB,13570.2 MiB,
0.8.28,2014-07-31,binaryTrees_21_v7,binaryTrees_7.js 21,11,1692122908,38203,node,0:13.11,928194560,312500224,9490432,93.8,1.9,2.0,6.0,0:13,0,7593984,312442880,0,430080,0.0,312500224,277,2,275,0,0,10.1,3.1,0.0,86.8,0.0,0.0,0.0,0.0,15795.0 MiB,10714.3 MiB,1656.6 MiB,3424.0 MiB,4096.0 MiB,4062.2 MiB,33.8 MiB,13505.0 MiB,
0.8.28,2014-07-31,binaryTrees_21_v7,binaryTrees_7.js 21,12,1692122909,38203,node,0:14.29,850599936,234913792,9490432,100.0,1.4,2.0,6.0,0:14,0,7593984,234848256,0,514048,0.0,234913792,277,2,275,0,0,12.5,1.6,0.0,85.9,0.0,0.0,0.0,0.0,15795.0 MiB,10783.6 MiB,1587.3 MiB,3424.0 MiB,4096.0 MiB,4062.2 MiB,33.8 MiB,13574.2 MiB,
0.8.28,2014-07-31,binaryTrees_21_v7,binaryTrees_7.js 21,13,1692122910,38203,node,0:15.47,998449152,351145984,9490432,100.0,2.1,2.0,6.0,0:15,0,7593984,351240192,0,617472,0.0,351145984,277,2,275,0,0,10.9,1.6,0.0,87.5,0.0,0.0,0.0,0.0,15795.0 MiB,10673.9 MiB,1690.0 MiB,3431.0 MiB,4096.0 MiB,4062.2 MiB,33.8 MiB,13464.6 MiB,
0.8.28,2014-07-31,binaryTrees_21_v7,binaryTrees_7.js 21,14,1692122911,38203,node,0:16.65,909320192,262524928,9490432,100.0,1.6,2.0,6.0,0:16,0,7593984,262111232,0,723968,0.0,262524928,277,2,275,0,0,12.2,2.3,0.0,84.7,0.8,0.0,0.0,0.0,15795.0 MiB,10706.2 MiB,1657.7 MiB,3431.1 MiB,4096.0 MiB,4062.2 MiB,33.8 MiB,13496.8 MiB,
0.8.28,2014-07-31,binaryTrees_21_v7,binaryTrees_7.js 21,15,1692122912,38203,node,0:17.83,1052975104,437358592,9490432,100.0,2.6,2.0,6.0,0:17,0,7593984,437223424,0,845824,0.0,437358592,277,2,275,0,0,11.5,2.3,0.0,86.3,0.0,0.0,0.0,0.0,15795.0 MiB,10588.3 MiB,1782.6 MiB,3424.1 MiB,4096.0 MiB,4062.2 MiB,33.8 MiB,13379.0 MiB,
0.8.28,2014-07-31,binaryTrees_21_v7,binaryTrees_7.js 21,16,1692122914,38203,node,0:19.00,1153638400,538615808,9490432,100.0,3.3,2.0,2.0,0:19,0,7593984,537886720,0,940032,0.0,538615808,277,2,275,0,0,12.4,0.8,0.0,86.8,0.0,0.0,0.0,0.0,15795.0 MiB,10498.2 MiB,1872.7 MiB,3424.1 MiB,4096.0 MiB,4062.2 MiB,33.8 MiB,13288.9 MiB,
