test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v16.20.2,binaryTrees_7.js 21,24.717609,1284,1692967116.667391,-,-,601,15.78,3809,1896,1.80,429787,0,253,217444,9849,570,1213,4,4300,48,7126,0.00,3.31,0.60,0.09,0.40,0.00,5.55,0.16,74.09,18.95,0.14,0.56,64.57,86,88,98.52,300,300,120.60,99.50,1.24,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,447.37,382.38,0.30,23.17,0.00,0.00
2,v16.20.2,binaryTrees_7.js 21,24.872657,996,1692967141.580136,-,-,606,15.88,3815,1896,1.79,454725,0,439,227581,10715,749,1415,6,4654,420,9914,0.00,3.24,0.76,0.11,0.45,0.00,5.58,1.15,72.83,18.81,0.14,0.53,64.65,89,92,98.45,300,300,120.14,99.46,1.25,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,467.87,401.36,0.31,23.35,0.00,0.00
3,v16.20.2,binaryTrees_7.js 21,24.917466,1102,1692967166.596919,-,-,606,15.94,3801,1896,1.78,464027,0,372,219913,7961,802,1760,8,7203,2065,19934,0.00,2.78,0.39,0.09,0.55,0.00,7.70,5.56,66.93,18.61,0.10,0.76,64.59,92,92,98.50,300,300,120.92,99.09,1.22,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,468.25,401.28,0.31,23.36,0.00,0.00
4,v16.20.2,binaryTrees_7.js 21,28.889724,1342,1692967195.584666,-,-,508,15.38,3301,1896,1.85,467767,0,253,220843,19150,449,1239,1,5748,149,8524,0.00,2.75,0.75,0.11,0.38,0.00,6.61,0.40,73.65,19.62,0.17,0.52,64.30,75,75,98.43,300,300,119.51,99.73,1.15,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,358.73,282.31,0.29,25.89,0.00,0.00
5,v16.20.2,binaryTrees_7.js 21,29.273408,1224,1692967224.894881,-,-,498,15.12,3297,1896,1.84,450492,0,256,219384,19422,628,1286,9,4972,58,8118,0.00,2.82,0.90,0.13,0.35,0.00,5.48,0.25,75.00,18.76,0.18,0.42,65.53,78,78,98.45,300,300,116.13,99.77,1.17,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,348.62,271.16,0.30,26.14,0.00,0.00
6,v16.20.2,binaryTrees_7.js 21,28.787272,1362,1692967253.717074,-,-,519,15.93,3258,1896,1.81,464843,0,421,220847,24002,448,855,7,4802,33,7643,0.00,2.97,1.00,0.12,0.27,0.00,5.53,0.13,74.10,19.47,0.16,0.34,64.10,71,72,98.48,300,300,121.23,99.77,1.15,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,344.50,268.19,0.29,25.86,0.00,0.00
7,v16.20.2,binaryTrees_7.js 21,29.242534,1219,1692967282.998276,-,-,501,15.21,3294,1896,1.84,451876,0,230,220008,20113,599,1078,3,5305,57,8205,0.00,2.70,0.78,0.10,0.35,0.00,6.00,0.25,74.65,18.63,0.15,0.50,65.52,74,76,98.46,300,300,116.78,99.78,1.16,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,348.20,270.65,0.29,26.07,0.00,0.00
8,v16.20.2,binaryTrees_7.js 21,29.331855,1208,1692967312.366830,-,-,500,15.12,3306,1896,1.84,450662,0,333,219880,21064,577,1019,9,4924,56,7766,0.00,2.77,0.90,0.11,0.34,0.00,5.61,0.20,75.00,18.50,0.16,0.50,65.73,75,76,98.49,300,300,115.87,99.77,1.11,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350.08,272.38,0.28,26.14,0.00,0.00
9,v16.20.2,binaryTrees_7.js 21,28.978390,1155,1692967341.383601,-,-,501,15.21,3290,1896,1.84,446139,0,253,217388,21566,520,978,4,4820,52,7768,0.00,2.90,0.80,0.09,0.29,0.00,5.72,0.11,74.92,19.08,0.14,0.40,65.17,80,80,98.43,300,300,117.22,99.77,1.17,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,345.59,268.76,0.30,25.91,0.00,0.00
10,v16.20.2,binaryTrees_7.js 21,29.211741,1163,1692967370.632081,-,-,504,15.34,3288,1896,1.83,460257,0,241,221970,22028,459,966,5,4916,62,8038,0.00,2.93,0.91,0.11,0.34,0.00,5.60,0.22,74.60,18.85,0.15,0.51,65.15,75,76,98.49,300,300,117.55,99.78,1.11,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,348.95,271.61,0.28,26.08,0.00,0.00
