test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v6.17.1,binaryTrees_7.js 21,0.99,0.48,0.54,0.17,0.04,0.27,6.45,2.04,0.23,4.58,2.14,20052463115 ns,87301658535,3.968 GHz,177526152647,2.02,22001.47 msec,1.097,87542428509,3.979 GHz,16,40938312546,518812998,22003.31 msec,1.097,151 C,31509147552,80718023,0.26%,8,30811718380,5929376,5929376,0,2520907360,1518097354,60.220,42284357422,1447318655,3.42%,169566114,53364695,31.47%,131044752,42642776540,14916831,0.03%,254216,9053746,3561.44%,0,0
2,v6.17.1,binaryTrees_7.js 21,1.00,0.48,0.54,0.17,0.04,0.25,6.54,2.10,0.24,3.89,1.82,23237480147 ns,86003648489,3.410 GHz,181381799066,2.11,25218.46 msec,1.085,86072257074,3.413 GHz,5,47209089579,598134487,25221.15 msec,1.085,199 C,31512782858,78434754,0.25%,0,30902342588,5932155,5932155,0,2568256486,1526959788,59.455,42510449740,1449121529,3.41%,173146258,54226394,31.32%,137936712,41867885666,14509283,0.03%,162993,9137366,5605.99%,0,0
3,v6.17.1,binaryTrees_7.js 21,1.00,0.48,0.54,0.17,0.04,0.26,6.48,2.07,0.24,3.79,1.75,24120515214 ns,86143404415,3.294 GHz,181812774799,2.11,26148.78 msec,1.084,86412416795,3.304 GHz,6,49124878620,622171191,26151.86 msec,1.084,199 C,32014883198,84648931,0.26%,8,30732207778,5932158,5932158,0,2578601959,1524479211,59.120,42443821387,1435827291,3.38%,173220361,54618458,31.53%,142618360,42420122092,14289543,0.03%,267997,8709229,3249.75%,0,0
4,v6.17.1,binaryTrees_7.js 21,1.00,0.47,0.55,0.17,0.04,0.24,6.54,2.12,0.24,3.75,1.75,24095311112 ns,86019001706,3.291 GHz,180349101725,2.10,26133.32 msec,1.085,85736239347,3.281 GHz,14,48893453955,619377509,26135.34 msec,1.085,191 C,32032101089,84272603,0.26%,4,30780286336,5929425,5929425,0,2506726811,1532253824,61.126,41873107461,1422613704,3.40%,164312268,50027392,30.45%,139362754,42146039655,14887253,0.04%,317648,8530057,2685.38%,0,0
5,v6.17.1,binaryTrees_7.js 21,1.00,0.48,0.54,0.17,0.04,0.25,6.46,2.09,0.24,3.71,1.75,24405199683 ns,86771597238,3.273 GHz,180379358636,2.07,26509.92 msec,1.086,86876811678,3.277 GHz,12,49687138825,629573993,26512.24 msec,1.086,180 C,31678515842,83374395,0.26%,26,30727014288,5929421,5929421,0,2577225010,1545478257,59.967,42331409476,1452723388,3.43%,167707488,49482069,29.50%,135704657,42674073649,14708431,0.03%,304366,9090427,2986.68%,0,0
6,v6.17.1,binaryTrees_7.js 21,1.00,0.47,0.55,0.17,0.04,0.25,6.51,2.08,0.24,3.83,1.74,24095969236 ns,85613817597,3.284 GHz,180056346853,2.10,26065.42 msec,1.082,85633343235,3.285 GHz,9,49108554789,617460576,26067.76 msec,1.082,206 C,31682515398,82344547,0.26%,17,30837189091,5932156,5932156,0,2506645028,1513471973,60.378,42314312104,1443953387,3.41%,163675282,48141762,29.41%,142427582,42185154906,14541308,0.03%,53028,8390546,15822.86%,0,0
7,v6.17.1,binaryTrees_7.js 21,1.00,0.47,0.55,0.17,0.04,0.23,6.58,2.11,0.24,3.74,1.74,24144722982 ns,85133791308,3.260 GHz,179320988756,2.10,26110.17 msec,1.081,85197623950,3.263 GHz,8,48900535154,619599260,26112.21 msec,1.081,190 C,31856570508,82316214,0.26%,13,30865172362,5931007,5931007,0,2555045308,1537917904,60.191,42131945963,1438219092,3.41%,162836576,49718041,30.53%,138677117,42595415090,14699295,0.03%,149186,8257897,5535.30%,0,0
8,v6.17.1,binaryTrees_7.js 21,1.00,0.47,0.55,0.17,0.04,0.26,6.56,2.10,0.23,3.77,1.74,24067517920 ns,85884752673,3.269 GHz,180200840310,2.10,26270.13 msec,1.092,85993563247,3.273 GHz,18,49413632626,625832705,26272.20 msec,1.092,187 C,31965013715,85685033,0.27%,8,31195067674,5929426,5929426,0,2533461924,1525407028,60.210,42658723036,1431183193,3.35%,166849563,52862329,31.68%,136614828,42747109823,14767751,0.03%,326978,8661246,2648.88%,0,0
9,v6.17.1,binaryTrees_7.js 21,1.00,0.48,0.55,0.17,0.04,0.24,6.53,2.10,0.24,3.80,1.74,24148172572 ns,86506092660,3.285 GHz,181239317341,2.10,26332.23 msec,1.090,86584427589,3.288 GHz,20,49702103683,626983874,26334.19 msec,1.091,172 C,31946752398,84795979,0.27%,8,31022764848,5929426,5929426,0,2531054861,1534336296,60.620,42081641718,1455735563,3.46%,166421865,50302835,30.23%,133802917,42433030332,14804314,0.03%,432130,8397920,1943.38%,0,0
10,v6.17.1,binaryTrees_7.js 21,1.00,0.47,0.55,0.17,0.04,0.25,6.59,2.10,0.23,3.77,1.74,24106013975 ns,85863578181,3.276 GHz,180445511256,2.10,26211.13 msec,1.087,85861832994,3.276 GHz,13,49292327580,621825667,26213.00 msec,1.087,168 C,31661663418,83563195,0.26%,8,31172105191,5929417,5929417,0,2468226451,1503497519,60.914,42602967979,1426633155,3.35%,164228698,52227919,31.80%,133926761,42481477086,14896499,0.04%,366451,8623809,2353.33%,0,0
