test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v13.14.0,binaryTrees_7.js 21,17.347865,1125,1692966017.743902,-,-,993,32.23,3082,1896,1.52,569633,0,14186,136185,8079,1327,2296,4,5288,30,5081,0.04,1.99,0.59,0.20,0.71,0.00,9.68,0.11,54.43,22.94,0.13,0.47,44.23,93,93,98.35,300,300,210.32,99.46,1.48,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,401.46,353.44,0.26,20.79,0.00,0.00
2,v13.14.0,binaryTrees_7.js 21,22.951863,1133,1692966040.838690,-,-,886,45.31,1956,1896,1.53,577055,0,4675,163596,35137,6034,6749,10,7013,307,7739,0.02,2.23,1.43,0.54,1.21,0.01,8.30,0.75,40.14,21.85,0.24,0.60,32.00,86,86,98.45,300,300,258.39,99.35,1.33,1.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,461.60,394.27,0.30,25.50,0.00,0.00
3,v13.14.0,binaryTrees_7.js 21,16.992771,1096,1692966057.902985,-,-,842,26.01,3237,1896,1.64,581474,0,14797,121338,16005,794,1232,0,4964,748,12463,0.05,1.35,0.65,0.11,0.54,0.00,8.13,3.39,59.78,22.26,0.13,0.68,50.92,89,89,98.12,300,300,182.59,99.24,1.54,1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,362.70,315.98,0.28,18.27,0.00,0.00
4,v13.14.0,binaryTrees_7.js 21,19.454152,1248,1692966077.482050,-,-,728,24.66,2952,1896,1.67,584842,0,4748,137944,10552,720,953,2,5390,834,10235,0.02,1.43,0.43,0.10,0.41,0.00,8.49,2.19,62.30,20.95,0.12,0.49,53.78,78,78,98.30,300,300,172.50,99.47,1.44,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,291.86,238.74,0.27,19.87,0.00,0.00
5,v13.14.0,binaryTrees_7.js 21,20.005270,1258,1692966097.526012,-,-,676,23.12,2925,1896,1.74,558222,0,1778,160673,593,151,559,5,3911,27,5315,0.01,1.72,0.13,0.07,0.25,0.01,7.25,0.06,67.43,20.14,0.07,0.34,56.34,72,72,98.45,300,300,164.13,99.77,1.31,1.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,238.29,184.22,0.24,20.15,0.00,0.00
6,v13.14.0,binaryTrees_7.js 21,20.428365,1393,1692966117.991396,-,-,689,23.48,2935,1896,1.66,572096,0,3488,142529,467,159,387,1,3144,13,5256,0.01,1.63,0.09,0.05,0.18,0.00,5.84,0.11,68.64,19.62,0.07,0.24,56.59,71,71,98.48,300,300,163.08,99.77,1.26,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,244.56,189.42,0.23,20.40,0.00,0.00
7,v13.14.0,binaryTrees_7.js 21,20.673745,1417,1692966138.700535,-,-,685,23.33,2934,1896,1.67,568501,0,3092,154644,969,446,875,4,4011,36,5266,0.01,1.62,0.15,0.08,0.34,0.00,7.21,0.13,67.17,19.74,0.09,0.39,56.45,70,70,98.35,300,300,163.86,99.77,1.42,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,246.88,191.06,0.26,20.67,0.00,0.00
8,v13.14.0,binaryTrees_7.js 21,19.799980,1266,1692966158.546142,-,-,687,23.51,2922,1896,1.71,561930,0,3814,141716,408,219,535,8,3473,24,5348,0.01,1.55,0.12,0.06,0.28,0.00,6.47,0.07,67.98,19.82,0.07,0.33,56.28,72,73,98.40,300,300,164.44,99.77,1.35,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,235.47,181.81,0.24,20.01,0.00,0.00
9,v13.14.0,binaryTrees_7.js 21,19.728941,1420,1692966178.310842,-,-,693,23.69,2924,1896,1.71,576479,0,4290,142552,447,196,436,2,3547,44,5413,0.01,1.67,0.13,0.05,0.29,0.00,6.49,0.24,67.48,20.43,0.05,0.36,55.47,73,73,98.39,300,300,166.51,99.77,1.35,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,236.61,183.04,0.24,19.98,0.00,0.00
10,v13.14.0,binaryTrees_7.js 21,20.548032,1473,1692966198.895751,-,-,690,23.56,2931,1896,1.67,576126,0,3779,145410,881,438,716,10,3668,34,5331,0.01,1.69,0.13,0.08,0.30,0.01,6.38,0.11,67.78,19.73,0.10,0.32,56.30,71,71,98.37,300,300,163.42,99.77,1.38,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,245.33,189.75,0.25,20.56,0.00,0.00
