test,version,appplication,time_elapsed,usec,Time_Of_Day_Seconds,APIC,X2APIC,Avg_MHz,Busy%,Bzy_MHz,TSC_MHz,IPC,IRQ,SMI,POLL,C1,C1E,C3,C6,C7s,C8,C9,C10,POLL%,C1%,C1E%,C3%,C6%,C7s%,C8%,C9%,C10%,CPU%c1,CPU%c3,CPU%c6,CPU%c7,CoreTmp,PkgTmp,GFX%rc6,GFXMHz,GFXAMHz,Totl%C0,Any%C0,GFX%C0,CPUGFX%,Pkg%pc2,Pkg%pc3,Pkg%pc6,Pkg%pc7,Pkg%pc8,Pkg%pc9,Pk%pc10,CPU%LPI,SYS%LPI,Pkg_J,Cor_J,GFX_J,RAM_J,PKG_%,RAM_%
1,v19.9.0,binaryTrees_7.js 21,23.885523,1025,1692968307.247031,-,-,595,16.43,3623,1896,1.75,590268,0,946,120292,8137,573,1274,1,4590,42,6684,0.00,2.57,0.35,0.08,0.29,0.00,5.77,0.12,74.35,18.17,0.12,0.38,64.90,80,81,98.58,300,300,122.22,99.54,1.23,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,418.80,355.99,0.28,22.82,0.00,0.00
2,v19.9.0,binaryTrees_7.js 21,23.900329,1036,1692968331.258337,-,-,608,15.66,3879,1896,1.72,623607,0,362,131303,8426,248,745,6,3985,32,6221,0.00,2.55,0.41,0.08,0.24,0.00,5.75,0.20,75.07,16.80,0.10,0.35,67.08,83,85,98.43,300,300,116.27,99.54,1.27,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,437.45,373.23,0.30,22.78,0.00,0.00
3,v19.9.0,binaryTrees_7.js 21,25.611097,1247,1692968356.967819,-,-,547,17.66,3095,1896,1.79,622320,0,612,125472,18631,603,1431,2,6164,755,12930,0.00,2.44,0.51,0.09,0.38,0.00,6.81,1.61,70.48,19.19,0.12,0.52,62.51,75,75,98.41,300,300,131.45,99.40,1.25,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,419.04,350.48,0.31,24.06,0.00,0.00
4,v19.9.0,binaryTrees_7.js 21,27.695450,1147,1692968384.702217,-,-,504,15.14,3326,1896,1.79,617687,0,2208,106095,19190,266,924,1,4215,50,7033,0.01,2.16,0.61,0.11,0.31,0.00,4.99,0.16,76.55,17.24,0.17,0.44,67.01,76,76,98.38,300,300,114.59,99.77,1.20,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,329.57,255.84,0.30,25.24,0.00,0.00
5,v19.9.0,binaryTrees_7.js 21,27.926558,3754,1692968412.664357,-,-,498,14.93,3334,1896,1.81,627131,0,1454,130445,14079,333,914,9,4484,38,7158,0.00,2.23,0.49,0.08,0.23,0.00,5.36,0.13,76.57,17.76,0.13,0.31,66.88,71,74,98.35,300,300,114.89,99.77,1.21,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,333.26,259.02,0.29,25.38,0.00,0.00
6,v19.9.0,binaryTrees_7.js 21,27.704261,1196,1692968440.406057,-,-,501,15.04,3329,1896,1.81,629723,0,2711,106865,16033,289,814,3,4154,56,6956,0.00,2.25,0.47,0.07,0.24,0.00,5.01,0.10,76.84,18.10,0.12,0.33,66.42,76,77,98.48,300,300,115.74,99.78,1.14,1.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,330.65,256.99,0.27,25.25,0.00,0.00
7,v19.9.0,binaryTrees_7.js 21,27.969053,1161,1692968468.413911,-,-,503,15.06,3338,1896,1.79,624352,0,1344,121643,18635,326,804,0,4509,45,7156,0.00,2.29,0.50,0.08,0.25,0.00,5.28,0.25,76.32,16.99,0.12,0.38,67.46,74,75,98.41,300,300,114.30,99.78,1.17,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,333.85,259.51,0.28,25.41,0.00,0.00
8,v19.9.0,binaryTrees_7.js 21,27.533976,1217,1692968495.985476,-,-,501,15.06,3323,1896,1.81,610467,0,2421,112148,18761,300,812,5,4308,54,6852,0.00,2.38,0.47,0.06,0.24,0.00,5.25,0.21,76.33,18.25,0.08,0.37,66.24,74,74,98.52,300,300,115.90,99.78,1.13,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,328.37,254.92,0.27,25.11,0.00,0.00
9,v19.9.0,binaryTrees_7.js 21,27.772642,1133,1692968523.795301,-,-,502,15.07,3333,1896,1.79,599194,0,1880,123882,18284,294,836,4,4309,47,7409,0.01,2.27,0.45,0.08,0.24,0.00,5.18,0.13,76.60,17.66,0.11,0.33,66.83,76,76,98.34,300,300,115.05,99.78,1.23,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,331.50,257.73,0.30,25.30,0.00,0.00
10,v19.9.0,binaryTrees_7.js 21,27.839856,1255,1692968551.667271,-,-,502,15.07,3333,1896,1.80,611929,0,900,126684,19568,536,1200,7,4159,39,7055,0.00,2.25,0.59,0.09,0.32,0.00,4.80,0.28,76.62,17.47,0.11,0.36,66.98,77,77,98.46,300,300,114.71,99.78,1.12,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,332.45,258.48,0.28,25.34,0.00,0.00
