test,version,appplication,time_elapsed,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v0.8.28,binaryTrees_1_original.js 21,24204908,0.91,0.73,0.37,0.37,0.14,0.14,5.97,1.32,0.64,,,24204908 ns,95179895,3.942 GHz,<not,(0.00%),24.15 msec,0.998,<not,(0.00%) ,0,<not,<not,24.15 msec,0.998,85 C,<not,<not,(0.00%),<not,<not,1702,1702,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
2,v0.8.28,binaryTrees_1_original.js 21,24348755,0.90,0.74,0.36,0.36,0.14,0.14,6.19,1.43,0.28,,,24348755 ns,92926214,3.824 GHz,<not,(0.00%),24.29 msec,0.998,<not,(0.00%) ,0,<not,<not,24.31 msec,0.998,85 C,<not,<not,(0.00%),<not,<not,1702,1702,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
3,v0.8.28,binaryTrees_1_original.js 21,24137060,0.93,0.73,0.37,0.37,0.14,0.15,5.95,1.40,0.72,,,24137060 ns,96073507,3.990 GHz,<not,(0.00%),24.07 msec,0.997,<not,(0.00%) ,0,<not,<not,24.08 msec,0.998,83 C,<not,<not,(0.00%),<not,<not,1701,1701,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
4,v0.8.28,binaryTrees_1_original.js 21,24825909,0.90,0.71,0.37,0.37,0.14,0.16,5.88,1.28,0.58,,,24825909 ns,92045534,3.711 GHz,<not,(0.00%),24.80 msec,0.999,<not,(0.00%) ,1,<not,<not,24.81 msec,0.999,84 C,<not,<not,(0.00%),<not,<not,1701,1701,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
5,v0.8.28,binaryTrees_1_original.js 21,24066792,0.89,0.71,0.37,0.37,0.14,0.16,5.68,1.17,0.88,,,24066792 ns,94256545,3.896 GHz,<not,(0.00%),24.19 msec,1.005,<not,(0.00%) ,0,<not,<not,24.20 msec,1.006,84 C,<not,<not,(0.00%),<not,<not,1701,1701,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
6,v0.8.28,binaryTrees_1_original.js 21,23977194,0.88,0.71,0.37,0.37,0.14,0.15,5.70,1.17,0.84,,,23977194 ns,92917431,3.891 GHz,<not,(0.00%),23.87 msec,0.996,<not,(0.00%) ,0,<not,<not,23.89 msec,0.996,81 C,<not,<not,(0.00%),<not,<not,1700,1700,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
7,v0.8.28,binaryTrees_1_original.js 21,23819624,0.90,0.70,0.37,0.37,0.14,0.17,5.93,1.29,1.00,,,23819624 ns,92147073,3.872 GHz,<not,(0.00%),23.79 msec,0.999,<not,(0.00%) ,1,<not,<not,23.81 msec,1.000,82 C,<not,<not,(0.00%),<not,<not,1698,1698,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
8,v0.8.28,binaryTrees_1_original.js 21,24165874,0.91,0.72,0.37,0.36,0.14,0.14,6.16,1.40,0.33,,,24165874 ns,91563943,3.799 GHz,<not,(0.00%),24.09 msec,0.997,<not,(0.00%) ,0,<not,<not,24.11 msec,0.998,80 C,<not,<not,(0.00%),<not,<not,1700,1700,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
9,v0.8.28,binaryTrees_1_original.js 21,24083958,0.91,0.72,0.37,0.36,0.14,0.17,3.53,0.06,1.00,,,24083958 ns,90633859,3.764 GHz,<not,(0.00%),24.07 msec,1.000,<not,(0.00%) ,0,<not,<not,24.09 msec,1.000,79 C,<not,<not,(0.00%),<not,<not,1703,1703,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
10,v0.8.28,binaryTrees_1_original.js 21,38630172,0.86,0.79,0.34,0.35,0.12,0.11,4.37,1.00,0.16,0.50,0.32,38630172 ns,15747021,0.403 GHz,19108181,0.19,39.01 msec,1.010,16871801,0.432 GHz,5,<not,<not,39.04 msec,1.011,93 C,<not,<not,(0.00%),<not,<not,1700,1700,0,<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,(0.00%),<not,<not,<not,(0.00%),<not,<not,(0.00%),0,0
