test,version,appplication,CPU_Utilization,CPI,Retiring,Frontend_Bound,Bad_Speculation,Backend_Bound,ILP,IPC,Kernel_Utilization,L1D_Cache_Fill_BW,Turbo_Utilization,time_elapsed,cycles,freq_cycles,instructions,insn_per_cycle,cpu_clock,no_cpus,cpu_cycles,freq_cpu_cycles,cpu_migrations,ref_cycles,bus_cycles,task_clock,no_cpus_task_clock,cpu_thermal_margin,branches,branch_misses,percent_branch_misses,mem_loads,mem_stores,page_faults,minor_faults,major_faults,cache_references,cache_misses,percent_cache_misses,L1_dcache_loads,L1_dcache_load_misses,percent_L1_dcache_load_misses,LLC_loads,LLC_load_misses,percent_LLC_load_misses,L1_icache_load_misses,dTLB_loads,dTLB_load_misses,percent_dTLB_load_misses,iTLB_loads,iTLB_load_misses,percent_iTLB_load_misses,block_rq_issue,block_rq_complete
1,v12.22.12,binaryTrees_1_original.js 21,0.99,0.74,0.35,0.13,0.02,0.51,3.90,1.31,0.12,15.26,2.01,4296217215 ns,84210718312,3.665 GHz,110423700683,1.31,22969.81 msec,5.347,84089345894,3.660 GHz,4222,41870504947,526755257,22978.08 msec,5.348,329 C,22006448633,42783483,0.19%,326,19853760819,1502398,1502398,0,1993914088,1175126714,58.936,32820066319,1057975083,3.22%,69830911,21576940,30.90%,159131318,32375246264,8874808,0.03%,1264536,6155485,486.78%,0,0
2,v12.22.12,binaryTrees_1_original.js 21,0.98,0.73,0.35,0.13,0.02,0.50,3.88,1.35,0.11,15.73,1.93,4316160334 ns,82564017677,3.513 GHz,113852862380,1.37,23495.81 msec,5.444,82814670932,3.524 GHz,4229,43005315134,545480048,23504.01 msec,5.446,191 C,22643686197,45385466,0.20%,653,20261270165,1495333,1495333,0,1981472086,1156471465,58.364,32247137708,1033508596,3.20%,66497952,21658106,32.57%,150577900,32300953321,7879068,0.02%,1225534,6264852,511.19%,0,16
3,v12.22.12,binaryTrees_1_original.js 21,0.98,0.70,0.36,0.14,0.02,0.49,4.00,1.39,0.11,14.39,1.83,4557620041 ns,79224173322,3.324 GHz,109866226246,1.38,23830.98 msec,5.229,79093647851,3.318 GHz,4274,43471030607,548936391,23839.48 msec,5.231,191 C,21950982382,42778133,0.19%,304,19860121766,1502081,1502081,0,1981243003,1159360782,58.517,32484928920,1050247693,3.23%,67935648,20944593,30.83%,163689889,32143927531,7395484,0.02%,1203882,5562125,462.02%,0,8
4,v12.22.12,binaryTrees_1_original.js 21,0.98,0.70,0.37,0.14,0.02,0.48,3.90,1.38,0.13,14.22,1.76,4631303360 ns,80168293291,3.231 GHz,112285389466,1.41,24810.21 msec,5.357,80387967255,3.240 GHz,4588,45616203911,573947814,24819.11 msec,5.359,151 C,22598306777,46805898,0.21%,711,19856602202,1503055,1503055,0,1982735820,1125352134,56.758,32130426356,1044651573,3.25%,69800929,21389549,30.64%,158308155,32011206665,8396698,0.03%,1202341,6178172,513.85%,0,88
5,v12.22.12,binaryTrees_1_original.js 21,0.99,0.69,0.37,0.14,0.01,0.48,4.03,1.43,0.11,14.25,1.71,4730868082 ns,78109683147,3.119 GHz,110807570355,1.42,25038.36 msec,5.293,77824696440,3.108 GHz,4845,45701736860,577631253,25047.88 msec,5.295,158 C,21856386562,49593123,0.23%,929,19513267366,1500835,1500835,0,2016668227,1118464850,55.461,31824169850,1035909837,3.26%,68112924,20135815,29.56%,150930719,31337981668,8589007,0.03%,1226529,6197257,505.27%,0,0
6,v12.22.12,binaryTrees_1_original.js 21,0.99,0.67,0.38,0.14,0.01,0.48,3.96,1.43,0.12,12.67,1.59,5290612725 ns,78722852039,2.907 GHz,114043312941,1.45,27072.73 msec,5.117,78813348449,2.911 GHz,4940,49403547639,624592816,27084.20 msec,5.119,248 C,22484407487,54073271,0.24%,686,19839786451,1495258,1495258,0,2013052266,1120425768,55.658,31885092063,1049498265,3.29%,68090916,20816291,30.57%,156598033,32515305089,7959599,0.02%,1381475,6142072,444.60%,0,4
7,v12.22.12,binaryTrees_1_original.js 21,0.99,0.65,0.39,0.14,0.01,0.45,4.12,1.51,0.13,9.44,1.07,7039340835 ns,73698210982,1.964 GHz,112169912856,1.51,37524.62 msec,5.331,74158364058,1.976 GHz,7308,69324770184,876801311,37542.48 msec,5.333,430 C,22089057060,52914666,0.24%,3424,19822302113,1500871,1500871,0,2238252354,1129255274,50.453,32410205209,1054373317,3.25%,75634217,21837003,28.87%,196613211,33083443259,8932248,0.03%,2189223,7264038,331.81%,0,15
8,v12.22.12,binaryTrees_1_original.js 21,0.99,0.66,0.39,0.14,0.01,0.46,4.03,1.51,0.12,9.24,1.02,7287671854 ns,75233127679,1.898 GHz,114286001062,1.53,39629.24 msec,5.438,75247157494,1.898 GHz,7018,73889573581,929822870,39645.88 msec,5.440,462 C,22812271630,40766911,0.18%,1116,19665614614,1499813,1499813,0,2214772858,1105193101,49.901,31554496305,1051227264,3.33%,80661757,20171431,25.01%,253393769,31863326575,9070975,0.03%,4979830,7911114,158.86%,0,0
9,v12.22.12,binaryTrees_1_original.js 21,0.99,0.66,0.39,0.14,0.01,0.45,4.03,1.51,0.12,9.15,1.02,7242558945 ns,74932206086,1.895 GHz,114075929439,1.52,39537.49 msec,5.459,75089394116,1.899 GHz,7579,73443264075,925441248,39553.84 msec,5.461,492 C,22399157001,49508380,0.22%,2768,19547125343,1497077,1497077,0,2195138651,1092257525,49.758,31556686637,1043773934,3.31%,74098044,19956452,26.93%,229104021,32013891020,9411271,0.03%,3206862,7083580,220.89%,0,13
10,v12.22.12,binaryTrees_1_original.js 21,0.99,0.65,0.39,0.14,0.01,0.46,4.16,1.55,0.12,9.42,1.03,7289120428 ns,75558663517,1.900 GHz,116193169918,1.53,39755.66 msec,5.454,75441295842,1.897 GHz,7768,73774418153,930615993,39772.85 msec,5.456,517 C,22691391160,45238759,0.20%,1938,19904098562,1516167,1516167,0,2268471558,1149035978,50.652,32134087678,1064701845,3.31%,82832163,21973820,26.53%,267710649,32097186304,9548502,0.03%,3605557,7332058,203.35%,0,83
